Pos Klasse;name;bib;Class;chiptime;FE1;FE1 Pos;FE2;FE2 Pos;FE3;FE3 Pos;FE4;FE4 Pos;FE5;FE5 Pos;gender
;Silje Holmsen;10;Kvinner senior;DNF;00:09:35;1;DNS;DNS;DNS;DNS;DNS;DNS;DNS;DNS;F
1;Stina Bondehagen;14;Kvinner senior;00:41:52;00:10:12;2;00:09:06;1;00:10:04;1;00:07:25;1;00:05:05;1;F
2;Alice Grindheim;11;Kvinner senior;01:01:35;00:19:16;3;00:12:05;2;00:16:26;2;00:08:30;2;00:05:18;2;F
1;Knut Lønnqvist;4;Menn senior;00:25:50;00:06:33;2;00:02:37;2;00:07:49;2;00:04:54;4;00:03:57;3;M
2;Pål Bakken;3;Menn senior;00:26:52;00:07:03;4;00:02:39;3;00:08:18;3;00:04:44;2;00:04:08;5;M
3;John Ola Buøy;9;Menn senior;00:28:36;00:07:05;5;00:03:41;6;00:08:18;5;00:05:19;7;00:04:13;6;M
4;Morgan Bakken;2;Menn senior;00:29:10;00:07:37;6;00:02:58;5;00:08:36;11;00:05:17;6;00:04:42;7;M
5;Tom Ole Haukom;1;Menn senior;00:29:49;00:06:28;1;00:02:23;1;00:12:53;4;00:04:26;1;00:03:39;1;M
6;Bård Sturla Stokke;5;Menn senior;00:30:00;00:09:39;10;00:02:46;4;00:08:20;1;00:05:09;5;00:04:06;4;M
7;Ove Grøndal;15;Menn senior;00:31:14;00:06:50;3;00:08:05;8;00:07:36;7;00:04:51;3;00:03:52;2;M
8;Pål Opperud;7;Menn senior;00:31:49;00:08:30;8;00:04:00;7;00:09:04;6;00:05:31;8;00:04:44;8;M
9;Frank Seidel;13;Menn senior;00:40:59;00:08:50;9;00:11:52;9;00:09:03;8;00:06:02;10;00:05:12;11;M
10;Roy Ripe;8;Menn senior;00:46:18;00:18:48;12;00:03:43;11;00:12:36;10;00:06:02;11;00:05:09;10;M
11;Johannes Lagos;12;Menn senior;00:49:24;00:11:15;11;00:12:15;10;00:11:01;9;00:08:30;12;00:06:23;12;M
12;Carl Henrik Tvete;6;Menn senior;00:52:18;00:08:28;7;00:16:21;12;00:16:42;12;00:05:58;9;00:04:49;9;M
