Rank;Startnumber;Firstname;Surname;Gender;Nat;Club;Race;Class;Total Time;Diff Winner;TimeOfDay;City
1;;;Jostein Hole;M;;;FE1;Menn;27:15;;;
2;;;Svenn Fjeldheim;M;;;FE1;Menn;28:14;;;
3;;;Lars Sandviken;M;;;FE1;Menn;28:19;;;
4;;;Tom Ole Haukom;M;;;FE1;Menn;29:15;;;
5;;;Oyvind Sｾtra;M;;;FE1;Menn;30:21;;;
6;;;Ove Grøndal;M;;;FE1;Menn;30:37;;;
7;;;Brage Vestavik;M;;;FE1;Menn;31:14;;;
8;;;Joar Sorvik Solem;M;;;FE1;Menn;31:23;;;
9;;;Andre Aamodt;M;;;FE1;Menn;31:38;;;
10;;;Martin I. Dalen;M;;;FE1;Menn;31:50;;;
11;;;Oyvind Østvedt;M;;;FE1;Menn;31:59;;;
12;;;Morten Mølsted;M;;;FE1;Menn;32:0;;;
13;;;Bård Sturla Stokke;M;;;FE1;Menn;32:29;;;
14;;;Audun Bugge;M;;;FE1;Menn;32:29;;;
15;;;Fredrik Stormo;M;;;FE1;Menn;32:35;;;
16;;;Sander Solvær;M;;;FE1;Menn;33:31;;;
17;;;Pal Erik Engedahl;M;;;FE1;Menn;33:37;;;
18;;;Jeoffrey Thievemon;M;;;FE1;Menn;33:46;;;
19;;;Rickard Sundell;M;;;FE1;Menn;33:52;;;
20;;;Jarand Sørsdal;M;;;FE1;Menn;34:03;;;
21;;;Finn Nordgarden;M;;;FE1;Menn;34:33;;;
22;;;Trygve Loyd;M;;;FE1;Menn;34:34;;;
23;;;Petter Andreas Strøm;M;;;FE1;Menn;34:52;;;
24;;;Kristian Ertnes;M;;;FE1;Menn;35:35;;;
25;;;Asmund Jordet;M;;;FE1;Menn;35:37;;;
26;;;Steinar Halos;M;;;FE1;Menn;35:57;;;
27;;;Atle Kleiven;M;;;FE1;Menn;36:07;;;
28;;;Geir Hanssen;M;;;FE1;Menn;36:32;;;
29;;;Bjorn Ellingsen;M;;;FE1;Menn;36:39;;;
30;;;Henrik Mülbradt;M;;;FE1;Menn;37:11;;;
31;;;Anders Samnｿy;M;;;FE1;Menn;37:11;;;
32;;;Even Nyhus;M;;;FE1;Menn;37:19;;;
33;;;Håkon Flaen;M;;;FE1;Menn;37:19;;;
34;;;Morgan Bakken;M;;;FE1;Menn;37:26;;;
35;;;Espen Hermans;M;;;FE1;Menn;38:0;;;
36;;;Torbjorn Fjeld;M;;;FE1;Menn;38:26;;;
37;;;Magnus Edvardsen;M;;;FE1;Menn;39:0;;;
38;;;Anders G Skarstein;M;;;FE1;Menn;39:02;;;
39;;;Eirik Haanes;M;;;FE1;Menn;39:44;;;
40;;;Stig Nerland;M;;;FE1;Menn;40:37;;;
41;;;Snorre Sverreson;M;;;FE1;Menn;41:49;;;
42;;;Kristian Larsen;M;;;FE1;Menn;42:21;;;
43;;;Jarle Wathne Johansen;M;;;FE1;Menn;43:20;;;
44;;;Erik Noss Poissant;M;;;FE1;Menn;43:23;;;
45;;;Jorgen Tollefsrud;M;;;FE1;Menn;43:57;;;
46;;;Preben Halseth;M;;;FE1;Menn;44:21;;;
47;;;Ole Petter Moksnes;M;;;FE1;Menn;46:31;;;
48;;;Steinar Willassen;M;;;FE1;Menn;46:31;;;
49;;;Kjetil Etterlid;M;;;FE1;Menn;52:05;;;
50;;;Adrian Vindedal fames;M;;;FE1;Menn;52:37;;;
51;;;Henrik Ulleland;M;;;FE1;Menn;54:42;;;
52;;;Kim Stale Haugero;M;;;FE1;Menn;55:32;;;
53;;;Andreas Nome;M;;;FE1;Menn;01:00:00;;;
54;;;Jørgen Dolvik Husbyn;M;;;FE1;Menn;00:00:00;;;
55;;;Fredrik Amundsen;M;;;FE1;Menn;00:00:00;;;
56;;;Håkon Eggebø;M;;;FE1;Menn;00:00:00;;;
57;;;Joachim Venberget;M;;;FE1;Menn;00:00:00;;;
58;;;Jan Helge Aalbu;M;;;FE1;Menn;00:00:00;;;
59;;;Jonas Strømquist;M;;;FE1;Menn;00:00:00;;;
60;;;Jørgen Strømquist;M;;;FE1;Menn;00:00:00;;;
61;;;Christen Bryn-Elvik;M;;;FE1;Menn;00:00:00;;;
62;;;Pål Andreassen;M;;;FE1;Menn;00:00:00;;;
63;;;Tov Lerheim;M;;;FE1;Menn;00:00:00;;;
64;;;Vegard Vereide;M;;;FE1;Menn;00:00:00;;;
65;;;Stian K. Elton;M;;;FE1;Menn;00:00:00;;;
66;;;Stian Langeland;M;;;FE1;Menn;00:00:00;;;
67;;;Christopher Svennevik;M;;;FE1;Menn;00:00:00;;;
1;;;Stina Bondehagen;F;;;FE1;Kvinner;34:49;;;
2;;;Hilde Sangesland;F;;;FE1;Kvinner;39:54;;;
3;;;Helene Thon Moland;F;;;FE1;Kvinner;40:55;;;
4;;;Ida Hakonsson;F;;;FE1;Kvinner;42:26;;;
5;;;Inger Helene Hamborg;F;;;FE1;Kvinner;53:26;;;
6;;;Gunvor Huseby;F;;;FE1;Kvinner;57:06;;;
7;;;Beate Akselsen;F;;;FE1;Kvinner;58:47;;;
8;;;Silje Holmsen;F;;;FE1;Kvinner;00:00:00;;;
9;;;Kaja Krogh;F;;;FE1;Kvinner;00:00:00;;;
10;;;Ane Elisabeth Krogh;F;;;FE1;Kvinner;00:00:00;;;
11;;;Bodil Oust;F;;;FE1;Kvinner;00:00:00;;;
