Rank;Startnumber;Firstname;Surname;Gender;Nat;Club;Race;Class;Total Time;Diff Winner;TimeOfDay;City
1;42;Stina;Bondehagen;F;NOR;OSLO;SS1;Kvinner;10:25;00:00;2014-08-03T11:51:25.6760000;Oslo
2;53;Alice;Grindheim;F;NOR;Drammen CK / Team Ibis;SS1;Kvinner;10:49;00:24;2014-08-03T12:02:49.4140000;Oslo
3;52;Vera;Leivsdottir;F;NOR;NTNUI;SS1;Kvinner;11:04;00:39;2014-08-03T12:02:04.5910000;Bergen
4;67;Helene Thon;Moland;F;NOR;HOSLE;SS1;Kvinner;11:27;01:02;2014-08-03T12:17:27.0090000;Hosle
5;64;Joline;Johansson;F;SWE;Drammen CK / Friksjon Sykkel;SS1;Kvinner;12:32;02:07;2014-08-03T12:15:32.5220000;Nittedal
6;66;Astri;Knudsen;F;NOR;SK Rye sykkel / Team Ibis;SS1;Kvinner;13:16;02:51;2014-08-03T12:18:16.8490000;LEIKANGER
7;68;Rikke;Westvig;F;NOR;Trysil SK;SS1;Kvinner;13:51;03:26;2014-08-03T12:20:51.3980000;SOGNDAL
8;71;Ragnhild;Solheim;F;NOR;Snertne Pigers Velocipedklub;SS1;Kvinner;14:33;04:08;2014-08-03T12:24:33.3010000;Bergen
9;78;Ingvild;Andersen;F;NOR;Freeride Radicals;SS1;Kvinner;15:00;04:35;2014-08-03T12:32:00.1860000;SOGNDAL
10;69;Synne;Opsand;F;NOR;Freeride Radicals;SS1;Kvinner;15:45;05:20;2014-08-03T12:23:45.3030000;OSLO
1;5;Ove;Grøndal;M;NOR;Trailhead Nesbyen;SS1;Menn;07:46;00:00;2014-08-03T11:11:46.0680000;NESBYEN
2;4;Jostein;Hole;M;NOR;Drammen CK / Nedre Buskerud Nerroverlag;SS1;Menn;07:57;00:11;2014-08-03T11:10:57.9810000;Drammen
3;6;John Ola;Buøy;M;NOR;Orkla CK / Team Ibis;SS1;Menn;08:06;00:20;2014-08-03T11:13:06.9350000;Buvika
4;2;Svenn;Fjeldheim;M;NOR;Nedre Buskerud Nerroverlag;SS1;Menn;08:07;00:21;2014-08-03T11:09:07.8710000;SOLBERGMOEN
5;1;Niclas;Andersen;M;NOR;Drøbak-Frogn IL Sykkel / Bjørnstad Sport;SS1;Menn;08:08;00:22;2014-08-03T11:08:08.5670000;DRØBAK
6;9;Nils Einar;Berget;M;NOR;Sære Sogninger;SS1;Menn;08:21;00:35;2014-08-03T11:16:21.1870000;VALDERØYA
7;3;Pål;Nakken;M;NOR;Molde CK;SS1;Menn;08:32;00:46;2014-08-03T11:10:32.0210000;Molde
8;16;Bjørn;Ballangrud;M;NOR;Lillehammer CK / NTG Lillehammer;SS1;Menn;08:34;00:48;2014-08-03T11:23:34.8600000;Lillehammer
9;7;Nicklas;Fastegård;M;NOR;Oppdal SK / Vpg Enduro;SS1;Menn;08:35;00:49;2014-08-03T11:14:35.2940000;Oppdal
10;13;Baard;Hellebostad;M;NOR;Nesodden SK;SS1;Menn;08:42;00:56;2014-08-03T11:20:42.8150000;Borgen
11;23;Thomas;Klingenberg;M;NOR;SK Rye sykkel / Rye;SS1;Menn;08:51;01:05;2014-08-03T11:30:51.4320000;Oslo
12;25;Bendik Stubstad;Henriksen;M;NOR;SK Rye sykkel / Sti5;SS1;Menn;08:57;01:11;2014-08-03T11:32:57.7660000;Oslo
1;27;Ted;Johansen;M;NOR;IF Frøy;SS1;Menn junior;09:07;01:21;2014-08-03T11:35:07.3000000;OSLO
14;34;Jan Helge;Aalbu;M;NOR;Sogn CK;SS1;Menn;09:11;01:25;2014-08-03T11:42:11.0780000;Sogndal
15;14;Pål;Neverdal;M;NOR;SK Rye sykkel;SS1;Menn;09:11;01:25;2014-08-03T11:22:11.2290000;OSLO
16;19;Yngve;Ydersbond;M;NOR;OSLO;SS1;Menn;09:28;01:42;2014-08-03T11:27:28.0540000;OSLO
17;30;Jonas;Lundin;M;SWE;OSLO;SS1;Menn;09:28;01:42;2014-08-03T11:38:28.8250000;OSLO
18;11;Bård Sturla;Stokke;M;NOR;OSLO;SS1;Menn;09:28;01:42;2014-08-03T11:19:28.9240000;OSLO
19;10;Per Morten;Mølsted;M;NOR;Oslostudentenes IK / Nordmarka Æksklusife Elitesykkelforæning;SS1;Menn;09:35;01:49;2014-08-03T11:18:35.5060000;Oslo
20;36;Arild;Gravdal;M;NOR;Bergen MTB Klubb;SS1;Menn;09:46;02:00;2014-08-03T11:44:46.0530000;Øvre Ervik
21;15;Alf Petter;Syvertsen;M;NOR;Freeride Radicals;SS1;Menn;09:50;02:04;2014-08-03T11:23:50.2130000;OSLO
22;21;Martin A;Steen;M;NOR;KROKKLEIVA;SS1;Menn;09:51;02:05;2014-08-03T11:29:51.8670000;KROKKLEIVA
23;12;Martin;Tveitnes;M;NOR;EIKELANDSOSEN;SS1;Menn;10:01;02:15;2014-08-03T11:21:01.3140000;EIKELANDSOSEN
24;20;Stian;Rånes;M;NOR;Drammen CK;SS1;Menn;10:01;02:15;2014-08-03T11:29:01.5120000;Drammen
25;8;Lars Vatnebryn;Sandviken;M;NOR;Drammen CK;SS1;Menn;10:18;02:32;2014-08-03T11:17:18.6480000;Kongsberg
26;43;Daniel;Jarstø;M;NOR;Klepp Cykle Club;SS1;Menn;10:20;02:34;2014-08-03T11:52:20.9560000;Stavanger
27;54;Erik;Olsson;M;NOR;Trysil SK / Team TDS;SS1;Menn;10:24;02:38;2014-08-03T12:03:24.2580000;Trysil
