Pos Klasse;bib;name;club;FE1;FE1 Pos;FE2;FE2 Pos;FE3;FE3 Pos;FE4;FE4 Pos;FE5;FE5 Pos;chiptime;diff;gender;Class
;;Pål Nakken;;00:03:27;2;00:04:25;1;00:03:05;1;00:03:30;2;00:03:22;1;00:17:49;;M;Menn senior
;;Magnus Espeland;;00:03:43;3;00:04:37;3;00:03:08;2;00:03:20;1;00:03:25;3;00:18:13;;M;Menn senior
;;Hallvard Barlaup;;00:03:18;1;00:04:45;4;00:03:20;3;00:03:30;2;00:03:23;2;00:18:16;;M;Menn senior
;;Andreas Sæter;;00:03:49;5;00:04:35;2;00:03:27;5;00:03:45;5;00:03:40;6;00:19:16;;M;Menn senior
;;Josh Firth;;00:03:55;6;00:04:46;5;00:03:30;6;00:03:37;4;00:03:30;4;00:19:18;;M;Menn senior
;;Frode Mikkelsen;;00:04:00;7;00:05:00;8;00:03:34;7;00:03:50;7;00:03:35;5;00:19:59;;M;Menn senior
;;Jean Christopher Barbier;;00:03:45;4;00:05:00;8;00:03:51;10;00:03:58;10;00:03:42;8;00:20:16;;M;Menn senior
;;Kjetil Søvik;;00:04:06;8;00:05:00;8;00:03:38;8;00:03:56;9;00:03:44;9;00:20:24;;M;Menn senior
;;Øyvind Høgset;;00:04:17;9;00:05:13;11;00:03:26;4;00:03:51;8;00:03:40;6;00:20:27;;M;Menn senior
;;Øystein Nesse;;00:05:03;18;00:04:50;6;00:03:45;9;00:03:47;6;00:03:50;10;00:21:15;;M;Menn senior
;;Knut Festervoll;;00:04:49;13;00:04:55;7;00:03:57;11;00:04:07;12;00:04:02;11;00:21:50;;M;Menn senior
;;Trond Orheim;;00:04:29;11;00:05:25;12;00:04:01;12;00:04:10;13;00:04:03;12;00:22:08;;M;Menn senior
;;Ola Tangen;;00:04:25;10;00:05:30;13;00:04:20;15;00:04:15;14;00:04:03;12;00:22:33;;M;Menn senior
;;Bartosz Zeligowski;;00:04:23;12;00:06:00;16;00:04:04;13;00:04:40;21;00:04:16;17;00:23:32;;M;Menn senior
;;Trond Wollan;;00:05:00;16;00:06:10;17;00:04:28;18;00:04:03;11;00:04:10;14;00:23:51;;M;Menn senior
;;Colin Furmston;;00:05:01;17;00:06:10;17;00:04:14;14;00:04:25;19;00:04:15;15;00:24:05;;M;Menn senior
;;Tomas Hånde;;00:05:34;22;00:06:10;17;00:04:32;20;00:04:20;16;00:04:44;21;00:25:20;;M;Menn senior
;;Stian Engebretsen;;00:05:20;20;00:07:05;22;00:04:24;16;00:04:17;15;00:04:15;15;00:25:21;;M;Menn senior
;;Gabriel Sørensen;;00:05:18;19;00:06:24;21;00:04:42;22;00:04:21;18;00:04:42;20;00:25:27;;M;Menn senior
;;Isidor Gelabert Pascual;;00:04:46;14;00:00:00;DNS;00:04:25;17;00:00:00;DNS;00:00:00;DNS;00:00:00;;M;Menn senior
;;Bartek Wichrowski;;00:06:06;23;00:05:55;15;00:00:00;DNS;00:05:00;22;00:04:49;22;00:00:00;;M;Menn senior
;;Anne Melbø;;00:04:56;1;00:05:50;1;00:04:29;1;00:04:20;1;00:04:24;2;00:23:59;;F;Kvinner senior
;;Elin Berg;;00:05:22;2;00:06:16;2;00:04:32;2;00:04:35;2;00:04:16;1;00:25:01;;F;Kvinner senior
