name;Nationalit;Class;gender;FE1;FE1 Pos
Brage Evensen Vestavik;NOR;Gutter 12-17;M;07:05;1
Morten Ligård;NOR;Gutter 12-17;M;08:33;2
Elias Kaarstad;NOR;Gutter 12-17;M;09:14;3
Marius Brakestad;NOR;Gutter 12-17;M;11:43;4
Mathias Juklestad;NOR;Gutter 12-17;M;11:51;5
Frida Helen Rønning;NOR;Kvinner senior;F;08:25;1
Vera Leivsdottir;NOR;Kvinner senior;F;08:37;3
Helene Thon Moland;NOR;Kvinner senior;F;08:43;4
Hilde S. Strædet;NOR;Kvinner senior;F;09:13;4
Martine Walbye;NOR;Kvinner senior;F;09:42;5
Guro Stjernvang;NOR;Kvinner senior;F;09:51;6
Silje Frøysland;NOR;Kvinner senior;F;10:06;7
Kamilla Sporsheim;NOR;Kvinner senior;F;10:18;8
Tone Kristiansen;NOR;Kvinner senior;F;10:34;9
Ragne Elise Berre;NOR;Kvinner senior;F;10:42;10
Ragnhild Århus;NOR;Kvinner senior;F;14:35;11
Nina Christensen;NOR;Kvinner senior;F;21:05;12
Lars Sandviken;NOR;Menn senior;M;07:22;1
Isak Leivsson;NOR;Menn senior;M;07:23;2
Preben Nøkleby;NOR;Menn senior;M;07:46;3
Andreas Drageset;NOR;Menn senior;M;07:48;4
Aapo Halonen;FIN;Menn senior;M;08:02;5
Nikolai Sele;NOR;Menn senior;M;08:04;6
Petter Andreas Strøm;NOR;Menn senior;M;08:04;6
Anders Veland;NOR;Menn senior;M;08:27;7
Frank Seidel;NOR;Menn senior;M;08:04;8
Mads Øfsthus;NOR;Menn senior;M;08:42;9
Ben Hargreaves;GBR;Menn senior;M;08:51;10
Mark Basso;CAN;Menn senior;M;08:51;10
Håkon Sandven;NOR;Menn senior;M;09:03;11
Anders Ekkje Slettebø;NOR;Menn senior;M;09:04;12
Petter D. Nygaard;NOR;Menn senior;M;09:05;13
Øystein Gaukstad;NOR;Menn senior;M;09:06;14
Martin Johannessen;NOR;Menn senior;M;09:06;14
Petter Salen;NOR;Menn senior;M;09:26;15
Tommy Aslaksen;NOR;Menn senior;M;09:26;16
Morten Eilertsen;NOR;Menn senior;M;09:45;17
Inge Aarnæs;NOR;Menn senior;M;09:54;18
Richard Heltzer;NOR;Menn senior;M;10:01;19
Frank Juklestad;NOR;Menn senior;M;10:06;20
Magnus Fuglerud;NOR;Menn senior;M;10:15;21
Christopher Hammersland;NOR;Menn senior;M;DNS;22
Lars-Georg S. Paulsen;NOR;Menn senior;M;DNS;23
Carsten Cleve-Hansen;NOR;Menn senior;M;DNF;24
Jørgen Omre Larsen;NOR;Menn senior;M;DNF;25
Espen Iversen;NOR;Menn senior;M;DNF;26
Jørgen Aarland;NOR;Menn senior;M;DNF;27
