Rank;Startnumber;Firstname;Surname;Gender;Nat;Club;Race;Class;Total Time;Diff Winner;TimeOfDay;City
1;53;Stina;Bondehagen;F;NOR;Aron Skiklubb;FE 1;K Senior;5:19.2;0:00.0;2016-08-28T10:18:19.9240000;Oslo
2;160;Hilde;Strædet;F;NOR;Kristiansands CK;FE 1;K Senior;5:20.3;0:01.1;2016-08-28T10:17:21.3900000;Kristiansand S
3;84;Helene Thon;Moland;F;NOR;Hemsedal IL Sykkel;FE 1;K Senior;5:40.8;0:21.6;2016-08-28T10:18:11.2950000;Hosle
4;109;Anne;Melbo;F;NOR;Molde CK;FE 1;K Senior;5:40.9;0:21.7;2016-08-28T11:01:41.4670000;Molde
5;161;Ida;Håkonsson;F;NOR;SK Rye Sykkel;FE 1;K Senior;5:46.2;0:27.0;2016-08-28T11:00:46.8230000;Oslo
6;74;Alice;Grindheim;F;NOR;Drammen CK;FE 1;K Senior;5:48.5;0:29.3;2016-08-28T10:59:49.2950000;Oslo
7;43;Anette Røssum;Bastnes;F;NOR;OSLO;FE 1;K Senior;6:04.1;0:44.9;2016-08-28T11:01:34.3440000;Oslo
8;50;Silje Katarina;Holmsen;F;NOR;Aron Skiklubb;FE 1;K Senior;6:50.0;1:30.8;2016-08-28T10:34:20.1340000;Drammen
9;105;Julia;Hamre;F;SWE;Lågen CK;FE 1;K Senior;6:50.9;1:31.7;2016-08-28T10:36:51.5630000;Ringebu
10;91;Marte;Lund;F;NOR;IF Frøy;FE 1;K Senior;6:54.5;1:35.3;2016-08-28T10:31:55.0000000;Oslo
11;98;Julie;Appelkvist;F;NOR;IL Stjørdals-Blink;FE 1;K Senior;7:00.7;1:41.5;2016-08-28T10:49:31.7360000;TRONDHEIM
12;122;Eva;Spilleth;F;NOR;Oppdal SK;FE 1;K Senior;7:04.9;1:45.7;2016-08-28T11:03:35.1460000;VOGNILL
13;6;Marit;Rolvsjord;F;NOR;OPPDAL;FE 1;K Senior;7:19.7;2:00.5;2016-08-28T10:52:20.0600000;OPPDAL
14;97;Siv;Kristoffersen;F;NOR;IL Norodd;FE 1;K Senior;8:22.0;3:02.8;2016-08-28T10:51:22.6300000;Kristiansund N
15;52;Silje;Gjerde;F;NOR;Aron Skiklubb;FE 1;K Senior;9:02.4;3:43.2;2016-08-28T10:48:02.9610000;OSLO
16;39;Kate;Cornfield;F;GBR;DEVON;FE 1;K Senior;10:15.4;4:56.2;2016-08-28T11:07:15.8240000;Devon
1;141;Zakarias Blom;Johansen;M;NOR;SK Rye sykkel;FE 1;M Senior;3:58.1;0:00.0;2016-08-28T10:03:59.0000000;Kolsås
2;115;Andreas;Øhrn;M;NOR;Oppdal SK;FE 1;M Senior;4:11.1;0:13.0;2016-08-28T10:07:42.0000000;OPPDAL
3;63;Preben;Nøkleby;M;NOR;Bergen MTB Klubb;FE 1;M Senior;4:11.3;0:13.2;2016-08-28T10:05:42.0000000;BERGEN
4;66;Espen;Johnsen;M;NOR;Bergen MTB Klubb;FE 1;M Senior;4:13.1;0:15.0;2016-08-28T10:05:14.0000000;Bergen
5;51;Baard;Hellebostad;M;NOR;Aron Skiklubb;FE 1;M Senior;4:24.5;0:26.4;2016-08-28T10:10:25.0000000;Borgen
6;92;Simon;Johansson;M;SWE;IK Hero;FE 1;M Senior;4:27.1;0:29.0;2016-08-28T10:07:28.0000000;Slependen
7;72;Lars;Sandviken;M;NOR;Drammen CK;FE 1;M Senior;4:30.0;0:31.9;2016-08-28T10:06:31.0000000;KONGSBERG
8;142;Thomas;Klingenberg;M;NOR;SK Rye sykkel;FE 1;M Senior;4:32.4;0:34.3;2016-08-28T10:07:03.0000000;Oslo
9;89;Erlend Hegrum;Askjer;M;NOR;Horten og Omegn's Cykleklubb;FE 1;M Senior;4:33.9;0:35.8;2016-08-28T10:23:04.7590000;Horten
10;123;Trygve ;Sande;M;NOR;Oppdal SK / VPG;FE 1;M Senior;4:36.4;0:38.3;2016-08-28T10:09:07.0000000;
11;120;Snorre;Setrom;M;NOR;Oppdal SK;FE 1;M Senior;4:37.7;0:39.6;2016-08-28T10:12:38.6060000;OPPDAL
12;149;Øyvind;Sætra;M;NOR;Sogn CK;FE 1;M Senior;4:38.1;0:40.0;2016-08-28T10:09:39.0000000;Sogndal
13;157;Kristoffer;Haugland;M;NOR;OSLO;FE 1;M Senior;4:38.2;0:40.1;2016-08-28T10:05:16.0000000;OSLO
14;148;Tage Rickard;Sundell;M;SWE;Sogn CK;FE 1;M Senior;4:42.8;0:44.7;2016-08-28T10:10:14.0000000;LEIKANGER
15;17;Magnus;Drøpping;M;NOR;TRONDHEIM;FE 1;M Senior;4:42.9;0:44.8;2016-08-28T10:14:43.1980000;TRONDHEIM
16;112;Johan;Schjerve;M;NOR;Namdal SK;FE 1;M Senior;4:44.8;0:46.7;2016-08-28T10:12:15.5070000;Namsos
17;106;Magnus Kalstad;Forseth;M;NOR;Lillehammer CK;FE 1;M Senior;4:54.1;0:56.0;2016-08-28T10:25:24.9050000;LILLEHAMMER
18;126;Nils Bjarne;Krohn;M;NOR;Rauma SK;FE 1;M Senior;4:55.0;0:56.9;2016-08-28T10:37:55.9720000;Åndalsnes
19;78;Eirik;Semb;M;NOR;Follo SK;FE 1;M Senior;4:56.3;0:58.2;2016-08-28T10:22:27.0920000;Ski
20;111;Pål;Nakken;M;NOR;Molde CK;FE 1;M Senior;4:56.7;0:58.6;2016-08-28T10:30:57.8000000;Molde
21;57;Mathias Huuse;Marley;M;NOR;Bærum OCK;FE 1;M Senior;4:58.2;1:00.1;2016-08-28T10:11:58.8430000;Oslo
22;80;Pål;Grotnes;M;NOR;Gresvik IF;FE 1;M Senior;4:59.4;1:01.3;2016-08-28T10:29:30.5330000;Fredrikstad
23;118;Simen Bjerke;Bekken;M;NOR;Oppdal SK;FE 1;M Senior;5:01.0;1:02.9;2016-08-28T10:09:08.0000000;OPPDAL
24;58;Pål Einar;Spilleth;M;NOR;Bærum OCK;FE 1;M Senior;5:03.1;1:05.0;2016-08-28T10:43:33.9150000;OSLO
25;3;Björn;Larsson;M;SWE;JÄRPEN;FE 1;M Senior;5:03.2;1:05.1;2016-08-28T10:54:04.0090000;Järpen
26;85;Magnus;Grönberg;M;NOR;Hemsedal IL Sykkel;FE 1;M Senior;5:05.9;1:07.8;2016-08-28T10:27:07.0610000;Hemsedal
27;125;John Ola;Buøy;M;NOR;Orkla CK;FE 1;M Senior;5:06.4;1:08.3;2016-08-28T10:30:37.2340000;Buvika
28;37;Øyvind;Hem;M;NOR;OPPDAL;FE 1;M Senior;5:06.6;1:08.5;2016-08-28T10:16:07.7650000;Oppdal
29;60;Arild;Gravdal;M;NOR;Bergen MTB Klubb;FE 1;M Senior;5:10.6;1:12.5;2016-08-28T10:20:42.0390000;Øvre Ervik
30;65;Anders;Veland;M;NOR;Bergen MTB Klubb;FE 1;M Senior;5:12.4;1:14.3;2016-08-28T10:20:13.5680000;SOGNDAL
31;103;Morgan;Bakken;M;NOR;Kragerø SK;FE 1;M Senior;5:12.9;1:14.8;2016-08-28T10:11:43.7480000;Kragerø
32;8;Espen;Kebely;M;NOR;NØTTERØY;FE 1;M Senior;5:18.4;1:20.3;2016-08-28T10:16:50.1360000;Nøtterøy
33;30;Martin;Svendsen;M;NOR;OSLO;FE 1;M Senior;5:19.2;1:21.1;2016-08-28T10:18:50.2280000;Oslo
34;99;Kim;Andersen;M;NOR;Kolbotn SK;FE 1;M Senior;5:20.6;1:22.5;2016-08-28T10:41:21.4760000;SOFIEMYR
35;108;Kenneth;Bjørseth;M;NOR;Molde CK;FE 1;M Senior;5:22.5;1:24.4;2016-08-28T10:33:53.4020000;Molde
