bib;name;gender;club;FE1;FE1 Pos;FE2;FE2 Pos;FE3;FE3 Pos;FE4;FE4 Pos;FE5;FE5 Pos;chiptime;Pos Klasse;Class;status
82;Espen Johnsen;M;;00:06:30;1;00:05:37;1;00:02:28;1;00:04:02;2;00:04:18;1;00:22:55;;Menn senior;
79;Thomas Klingenberg;M;;00:06:31;2;00:05:45;2;00:02:30;2;00:03:59;1;00:04:35;2;00:23:20;;Menn senior;
73;Baard Hellebostad;M;;00:06:46;3;00:06:03;3;00:02:38;4;00:04:14;5;00:04:37;3;00:24:18;;Menn senior;
72;Andre Aamodt;M;;00:06:58;5;00:06:07;4;00:02:37;3;00:04:10;4;00:04:42;4;00:24:34;;Menn senior;
81;Joar Sørvik Solem;M;;00:06:56;4;00:06:15;7;00:02:53;9;00:04:08;3;00:04:44;5;00:24:56;;Menn senior;
92;Anders Røkenes;M;;00:07:06;7;00:06:09;5;00:02:45;7;00:04:23;6;00:05:05;12;00:25:28;;Menn senior;
52;Erlend Hegrum Askjer;M;;00:07:17;10;00:06:17;8;00:02:56;11;00:04:24;7;00:04:56;6;00:25:50;;Menn senior;
83;Johannes Lund;M;;00:07:24;14;00:06:10;6;00:02:40;5;00:04:40;12;00:04:57;8;00:25:51;;Menn senior;
90;Gaute Brenna Mortensen;M;;00:07:07;8;00:06:20;11;00:02:50;8;00:04:36;11;00:05:03;11;00:25:56;;Menn senior;
89;Michal Wiecyk;M;;00:07:19;12;00:06:19;9;00:02:56;12;00:04:24;8;00:04:59;10;00:25:57;;Menn senior;
74;Björn Larsson;M;;00:07:30;15;00:06:27;12;00:02:54;10;00:04:27;9;00:04:58;9;00:26:16;;Menn senior;
75;Simen Kalnæs Danielsen;M;;00:07:17;11;00:06:38;16;00:02:59;13;00:04:43;17;00:05:24;16;00:27:01;;Menn senior;
25;Simon Clements;M;;00:07:20;13;00:06:39;20;00:03:19;21;00:04:40;13;00:05:15;14;00:27:13;;Menn senior;
47;Harald Brekke;M;;00:07:40;16;00:06:37;14;00:02:44;6;00:04:52;20;00:05:31;19;00:27:24;;Menn senior;
