bib;name;gender;FE1;FE1 Pos;FE2;FE2 Pos;FE3;FE3 Pos;FE4;FE4 Pos;FE5;FE5 Pos;chiptime;Pos Klasse;Class
5;Alice Grindheim;F;00:06:14;1;00:04:47;1;00:08:00;3;00:05:52;1;00:06:09;1;00:31:02;1;Kvinner senior
4;Vera Leivsdottir;F;00:06:26;4;00:05:02;5;00:08:00;2;00:06:03;2;00:06:17;2;00:31:48;2;Kvinner senior
7;Ida Håkonsson;F;00:06:33;6;00:05:00;2;00:07:54;1;00:06:04;3;00:06:23;3;00:31:54;3;Kvinner senior
3;Helene Thon Moland;F;00:06:28;5;00:05:12;6;00:08:16;4;00:06:15;4;00:06:23;4;00:32:34;4;Kvinner senior
2;Anette Røssum Bastnes;F;00:06:23;2;00:05:00;3;00:08:38;8;00:06:22;6;00:06:35;5;00:32:58;5;Kvinner senior
1;Hilde Strædet;F;00:06:23;3;00:05:01;4;00:08:27;6;00:06:38;9;00:06:38;6;00:33:07;6;Kvinner senior
8;Anne Melbø;F;00:06:47;7;00:05:18;7;00:08:23;5;00:06:18;5;00:07:15;11;00:34:01;7;Kvinner senior
6;Elin Berg;F;00:06:54;10;00:05:26;8;00:08:42;9;00:06:29;7;00:06:52;9;00:34:23;8;Kvinner senior
10;Julia Hamre;F;00:06:51;8;00:05:43;11;00:09:10;12;00:06:40;10;00:06:48;8;00:35:12;9;Kvinner senior
11;Marte Lund;F;00:06:53;9;00:05:43;12;00:09:19;13;00:06:47;11;00:06:38;7;00:35:20;10;Kvinner senior
18;Iselin Silja Kaspersen;F;00:07:25;11;00:05:32;9;00:08:50;10;00:07:02;13;00:07:04;10;00:35:53;11;Kvinner senior
14;Mari Guton Olsen;F;00:07:40;13;00:05:59;14;00:09:01;11;00:07:12;15;00:07:50;15;00:37:42;12;Kvinner senior
22;Kristine Størmer Lied;F;00:08:06;17;00:06:05;16;00:09:35;14;00:07:16;17;00:08:13;16;00:39:15;13;Kvinner senior
20;Ida Rydland Nærum;F;00:08:05;16;00:06:05;17;00:09:47;15;00:07:11;14;00:08:25;18;00:39:33;14;Kvinner senior
19;Tone Løk;F;00:07:51;14;00:06:01;15;00:10:20;18;00:07:34;18;00:08:37;19;00:40:23;15;Kvinner senior
15;Silje Nedland Molnes;F;00:08:18;18;00:06:33;19;00:10:05;17;00:07:12;16;00:08:18;17;00:40:26;16;Kvinner senior
17;Aina Prestholdt;F;00:07:55;15;00:06:18;18;00:09:55;16;00:08:49;19;00:07:49;14;00:40:46;17;Kvinner senior
13;Jennifer Jones Arnesen;F;00:07:36;12;00:05:50;13;00:19:25;21;00:06:57;12;00:07:25;12;00:47:13;18;Kvinner senior
12;Eleonora Dabizzi;F;00:09:19;19;00:06:58;20;00:12:24;19;00:08:55;20;00:10:04;20;00:47:40;19;Kvinner senior
21;Mariama Jammeh;F;00:11:34;20;00:09:22;21;00:16:35;20;00:11:06;21;;DNS;00:48:37;20;Kvinner senior
16;Julie Appelkvist;F;;DNS;00:05:42;10;00:08:35;7;00:06:33;8;00:07:28;DNF;00:28:18;DNF;Kvinner senior
9;Silje Gjerde;F;;DNS;;DNS;;DNS;;DNS;;DNS;DNS;DNS;Kvinner senior
142;Adrian Hilde;M;00:05:30;7;00:04:07;2;00:06:26;1;00:04:50;1;00:05:17;2;00:26:10;1;Menn senior
131;Espen Bergli-johnsen;M;00:05:18;1;00:04:07;3;00:06:39;4;00:04:54;2;00:05:14;1;00:26:12;2;Menn senior
141;Jon Bokrantz;M;00:05:25;3;00:04:05;1;00:06:47;6;00:05:01;4;00:05:18;3;00:26:36;3;Menn senior
143;Ole Christian Fagerli;M;00:05:31;8;00:04:07;4;00:06:38;2;00:04:55;3;00:05:26;5;00:26:37;4;Menn senior
137;Thomas Klingenberg;M;00:05:42;12;00:04:15;6;00:06:38;3;00:05:02;5;00:05:22;4;00:26:59;5;Menn senior
157;Jostein Hole;M;00:05:24;2;00:04:19;7;00:06:42;5;00:05:07;6;00:05:29;8;00:27:01;6;Menn senior
139;Bård Stærkebye Pettersen;M;00:05:32;9;00:04:25;12;00:06:52;9;00:05:14;10;00:05:29;9;00:27:32;7;Menn senior
