bib;name;gender;FE1;FE1 Pos;FE2;FE2 Pos;FE3;FE3 Pos;FE4;FE4 Pos;FE5;FE5 Pos;chiptime;Pos Klasse;Class
71;Isak Leivsson;M;00:02:15;1;00:04:51;2;00:06:30;4;00:04:11;1;00:03:15;1;00:21:02;;Menn senior
101;Espen Bergli-johnsen;M;00:02:22;3;00:04:54;3;00:06:28;3;00:04:35;3;00:03:23;2;00:21:42;;Menn senior
103;Thomas Klingenberg;M;00:02:28;13;00:04:50;1;00:06:15;2;00:04:52;9;00:03:34;7;00:21:59;;Menn senior
124;Ola Jåvold Landmark;M;00:02:28;11;00:04:57;4;00:06:12;1;00:04:57;13;00:03:32;6;00:22:06;;Menn senior
108;Preben Alexander Nøkleby;M;00:02:21;2;00:05:04;7;00:06:40;9;00:04:45;5;00:03:26;3;00:22:16;;Menn senior
120;Andreas Øhrn;M;00:02:28;15;00:04:59;6;00:06:34;6;00:04:50;8;00:03:35;8;00:22:26;;Menn senior
60;Magnus Slinger Sørli;M;00:02:28;12;00:05:10;10;00:06:53;18;00:04:34;2;00:03:36;9;00:22:41;;Menn senior
102;Adrian Hilde;M;00:02:35;30;00:04:57;5;00:06:33;5;00:04:55;12;00:03:41;13;00:22:41;;Menn senior
77;Emil Carlson;M;00:02:27;8;00:05:10;9;00:06:47;12;00:04:49;6;00:03:36;10;00:22:49;;Menn senior
106;Albin Littorin-Sandbu;M;00:02:26;7;00:05:12;11;00:06:51;14;00:04:49;7;00:03:31;5;00:22:49;;Menn senior
112;Johannes Lund;M;00:02:28;9;00:05:04;8;00:06:40;8;00:05:03;16;00:03:40;12;00:22:55;;Menn senior
123;Michael Cook;M;00:02:25;6;00:05:28;23;00:06:54;20;00:04:52;10;00:03:28;4;00:23:07;;Menn senior
65;Baard Hellebostrand;M;00:02:28;14;00:05:24;17;00:07:01;27;00:04:54;11;00:03:38;11;00:23:25;;Menn senior
34;Simen Kalnæs Danielsen;M;00:02:35;33;00:05:26;20;00:06:53;17;00:05:00;14;00:03:48;18;00:23:42;;Menn senior
117;Niklas Halvorsen;M;00:02:35;32;00:05:24;18;00:07:03;30;00:05:06;20;00:03:42;15;00:23:50;;Menn senior
111;Andre Aamodt;M;00:02:34;23;00:05:14;12;00:06:56;22;00:05:23;30;00:03:53;23;00:24:00;;Menn senior
33;Fredrik Smith;M;00:02:38;43;00:05:14;13;00:06:38;7;00:05:38;41;00:03:58;29;00:24:06;;Menn senior
91;Magnus Grönberg;M;00:02:32;19;00:05:26;22;00:07:01;28;00:05:22;27;00:03:50;20;00:24:11;;Menn senior
61;Nils Einar Berget;M;00:02:36;37;00:05:34;31;00:06:56;23;00:05:10;23;00:03:56;25;00:24:12;;Menn senior
89;Ted Johansen;M;00:02:34;25;00:05:24;16;00:06:53;19;00:05:14;25;00:04:12;45;00:24:17;;Menn senior
121;Simon Johansson;M;00:02:33;20;00:05:31;28;00:06:59;25;00:05:13;24;00:04:01;31;00:24:17;;Menn senior
116;Stig Ove Simensen;M;00:02:34;28;00:05:31;27;00:06:41;10;00:05:29;35;00:04:06;40;00:24:21;;Menn senior
55;John Ola Buøy;M;00:02:31;18;00:05:44;46;00:07:12;37;00:05:05;18;00:03:49;19;00:24:21;;Menn senior
129;Morten Mølsted;M;00:02:31;17;00:05:46;49;00:07:22;42;00:05:01;15;00:03:43;16;00:24:23;;Menn senior
130;Pål Nakken;M;00:02:34;24;00:05:36;36;00:07:13;38;00:05:08;21;00:03:52;22;00:24:23;;Menn senior
115;Øyvind Hem;M;00:02:43;60;00:05:17;14;00:06:46;11;00:05:24;31;00:04:16;55;00:24:26;;Menn senior
104;Erlend Hegrum Askjer;M;00:02:41;55;00:05:25;19;00:06:52;15;00:05:28;34;00:04:06;39;00:24:32;;Menn senior
80;Filip Eklund;M;00:02:41;54;00:05:31;29;00:07:25;46;00:05:10;22;00:03:47;17;00:24:34;;Menn senior
88;Simen Smestad;M;00:02:34;26;00:05:44;45;00:07:36;54;00:05:04;17;00:03:41;14;00:24:39;;Menn senior
90;Trond Hansen;M;00:02:24;5;00:05:36;37;00:07:35;52;00:05:05;19;00:04:02;34;00:24:42;;Menn senior
107;Michal Wiecyk;M;00:02:39;46;00:05:35;34;00:07:00;26;00:05:38;42;00:03:56;24;00:24:48;;Menn senior
67;Oscar Smith;M;00:02:38;42;00:05:45;48;00:06:59;24;00:05:30;36;00:04:01;32;00:24:53;;Menn senior
93;Simen Aaslestad;M;00:02:37;40;00:05:38;38;00:07:23;43;00:05:27;33;00:03:51;21;00:24:56;;Menn senior
126;Petter Fyksen Lund;M;00:02:43;61;00:05:28;24;00:07:10;35;00:05:35;39;00:04:01;30;00:24:57;;Menn senior
114;Pål Grotnes;M;00:02:33;21;00:05:40;42;00:07:06;32;00:05:39;43;00:04:02;33;00:25:00;;Menn senior
72;Christoffer Engebretsen Bakke;M;00:02:41;53;00:05:18;15;00:06:48;13;00:06:00;58;00:04:13;48;00:25:00;;Menn senior
32;Jørgen Heir;M;00:02:39;48;00:05:26;21;00:06:52;16;00:05:52;52;00:04:15;54;00:25:04;;Menn senior
73;Thomas Velde;M;00:02:35;35;00:05:36;35;00:07:18;40;00:05:40;45;00:03:57;26;00:25:06;;Menn senior
75;Markus Minge;M;00:02:36;39;00:05:30;26;00:07:11;36;00:05:46;48;00:04:05;38;00:25:08;;Menn senior
118;Karsten Hjelseth;M;00:02:33;22;00:05:35;33;00:07:02;29;00:05:49;49;00:04:09;43;00:25:08;;Menn senior
63;Christian Coll;M;00:02:39;47;00:05:34;32;00:06:54;21;00:06:02;60;00:04:09;42;00:25:18;;Menn senior
28;Kristoffer Apeland;M;00:02:35;31;00:06:00;60;00:07:07;33;00:05:23;29;00:04:13;49;00:25:18;;Menn senior
27;Øyvind Sætra;M;00:02:29;16;00:05:29;25;00:07:24;45;00:06:12;62;00:03:58;27;00:25:32;;Menn senior
