bib;name;Class;Team;FE1;FE1 Pos;FE2;FE2 Pos;FE3;FE3 Pos;FE4;FE4 Pos;FE5;FE5 Pos;FE6;FE6 Pos;chiptime;Pos Klasse;gender
39;Gard Brovold;Menn;;0:04:25;1;0:06:25;2;0:04:05;1;0:04:35;1;0:06:13;1;0:03:59;1;00:29:42;1;M
82;Ola Jåvold Landmark;Menn;BOC;0:04:42;4;0:06:25;1;0:04:16;2;0:04:41;2;0:06:18;2;0:04:13;2;00:30:35;2;M
114;Magnus Slinger Sørli;Menn;;0:04:38;2;0:06:34;3;0:04:17;3;0:04:45;4;0:06:40;3;0:04:17;3;00:31:11;3;M
108;Fredrik Smith;Menn;;0:04:41;3;0:06:50;7;0:04:25;7;0:05:06;14;0:06:44;4;0:04:33;7;00:32:19;4;M
139;Anders Skarstein;Menn;Ponny Pirater;0:04:47;7;0:06:53;8;0:04:20;4;0:04:55;8;0:07:00;5;0:04:33;8;00:32:28;5;M
66;Jostein Hole;Menn;Aron SK;0:04:52;9;0:06:50;6;0:04:22;6;0:04:56;9;0:07:03;7;0:04:31;5;00:32:34;6;M
133;Svenn Fjeldheim;Menn;Aron SK;0:04:46;6;0:07:10;17;0:04:22;5;0:04:42;3;0:07:09;12;0:04:27;4;00:32:36;7;M
136;Baard Hellebostad;Menn;Aron SK;0:04:43;5;0:06:55;9;0:04:25;8;0:04:55;7;0:07:09;11;0:04:32;6;00:32:39;8;M
28;Magnus Bergan;Menn;;0:05:06;19;0:06:48;5;0:04:40;12;0:04:57;10;0:07:00;6;0:04:39;12;00:33:10;9;M
49;Marius Fjeld;Menn;BOC;0:04:53;10;0:07:04;13;0:04:42;13;0:04:54;6;0:07:08;9;0:04:35;9;00:33:16;10;M
26;Erlend Hegrum Askjer;Menn;Kongsberg sti/landevei;0:04:54;12;0:06:56;10;0:04:48;18;0:04:59;11;0:07:07;8;0:04:45;14;00:33:29;11;M
38;Harald Brekke;Menn;Enduro Fun Team;0:04:57;14;0:07:06;15;0:04:44;15;0:05:06;13;0:07:17;15;0:04:44;13;00:33:54;12;M
75;Ola Myklatun Krosness;Menn;;0:05:06;18;0:07:04;12;0:04:46;16;0:05:16;19;0:07:13;14;0:04:50;17;00:34:15;13;M
137;Simon Johansson;Menn;;0:04:53;11;0:06:47;4;0:04:29;9;0:04:53;5;0:08:38;58;0:04:39;11;00:34:19;14;M
64;Karsten Hjelseth;Menn;Ponny Pirater;0:04:56;13;0:07:08;16;0:04:38;11;0:05:23;28;0:07:30;20;0:04:46;15;00:34:21;15;M
71;Oskar Johansson;Menn;Arvika Enduro syklister;0:05:00;17;0:07:05;14;0:04:43;14;0:05:21;24;0:07:37;22;0:04:53;19;00:34:39;16;M
68;Jakob Høvik;Menn;;0:05:09;21;0:07:11;18;0:04:57;30;0:05:14;16;0:07:22;17;0:04:53;20;00:34:46;17;M
