Rank;Bib;name;Nationality;FE1;FE1 Pos;Class;gender
1;26;Preben Nøkleby;NOR;10:39.26;1;Menn senior;M
2;65;Adrian Hilde;NOR;10:45.05;2;Menn senior;M
3;30;Svein Øvsthus;NOR;10:55.20;3;Menn senior;M
4;32;Tom Custers Nedrebø;NOR;11:04.06;4;Menn senior;M
5;58;Robert Schistad;NOR;11:13.78;5;Menn senior;M
6;27;Thorstein Gallefoss;NOR;11:18.76;6;Menn senior;M
7;46;Robin Andre Ryste Skjeret;NOR;11:30.46;7;Menn senior;M
8;41;Marcio Franco;ALA;11:33.51;8;Menn senior;M
9;36;Håkon Skålnes;NOR;11:40.34;9;Menn senior;M
10;64;Simen Aaslesyad;NOR;11:40.96;10;Menn senior;M
11;69;Magne Hølland;NOR;11:44.71;11;Menn senior;M
12;37;Oddbjørn Egge Ødegaard;NOR;12:03.71;12;Menn senior;M
13;28;Anders Veland;NOR;12:07.37;13;Menn senior;M
14;33;Mads Øfsthus;NOR;12:19.61;14;Menn senior;M
15;79;Mikael Amberntsson;SWE;12:27.10;15;Menn senior;M
16;29;Andreas Nordheim;NOR;12:27.94;16;Menn senior;M
17;43;Sindre Aarøy Holtet;NOR;12:31.32;17;Menn senior;M
18;50;Kurt Lauvås;NOR;12:36.63;18;Menn senior;M
19;35;Lars-Georg S. Paulsen;NOR;12:36.64;19;Menn senior;M
20;47;Magnus Innerdal;NOR;12:41.09;20;Menn senior;M
21;70;Ole-Christian Soland Mellerud;NOR;12:47.35;21;Menn senior;M
22;53;Tord Irgens Kylling;NOR;12:56.59;22;Menn senior;M
23;40;Frank Seidel;DEU;13:06.30;23;Menn senior;M
24;48;Sam McCloy;NZL;13:10.94;24;Menn senior;M
25;54;Halvor Larsen;NOR;13:11.50;25;Menn senior;M
26;34;Kristoffer Rakneberg;NOR;13:13.81;26;Menn senior;M
27;42;Borge Håmsø;NOR;13:22.81;27;Menn senior;M
28;59;Henning Tandberg;NOR;13:28.97;28;Menn senior;M
29;74;Joachim Klungseth;NOR;13:30.43;29;Menn senior;M
30;76;Knut Vegard Melby;NOR;13:41.57;30;Menn senior;M
31;52;Tommy Aslaksen;NOR;13:42.45;31;Menn senior;M
32;67;André Olsen;NOR;13:44.76;32;Menn senior;M
33;49;Carl van den Boom;NZL;13:47.36;33;Menn senior;M
34;66;Robert Worthington;GBR;13:52.20;34;Menn senior;M
35;38;Daniel Sapak;SVK;13:56.55;35;Menn senior;M
36;77;Christopher Hammersland;Nor;13:58.61;36;Menn senior;M
37;44;Frode Bredesen;NOR;14:01.41;37;Menn senior;M
38;39;Petter Salen;NOR;14:07.62;38;Menn senior;M
39;63;Sondre Folkedal;NOR;14:32.30;39;Menn senior;M
40;45;Christian Vassbakk;NOR;14:41.42;40;Menn senior;M
41;75;Jørn Espen Lona;NOR;14:54.38;41;Menn senior;M
42;71;Anders Ekkje Slettebø;NOR;14:54.91;42;Menn senior;M
43;62;Atle Berg;NOR;14:55.91;43;Menn senior;M
44;68;Vidar Olsnes;NOR;14:56.28;44;Menn senior;M
45;57;John Torvald Indrebø;NOR;14:56.54;45;Menn senior;M
46;51;Jon Tøn;NOR;14:58.44;46;Menn senior;M
47;72;Henning Halvorsen;NOR;15:11.08;47;Menn senior;M
48;78;Andreas Brekken;Nor;15:17.23;48;Menn senior;M
49;73;Daniel Meling;NOR;15:23.99;49;Menn senior;M
50;60;Åsmund Skancke Karlsnes;NOR;15:32.67;50;Menn senior;M
51;61;Johannes Breivik;NOR;16:27.34;51;Menn senior;M
52;56;Bjørn Sætnan;NOR;16:37.93;52;Menn senior;M
53;31;Daniel Eriksson;swe;17:51.53;53;Menn senior;M
54;55;Andreas Aarnes Lerøy;NOR;18:53.01;54;Menn senior;M
1;11;Hilde Sangesland Strædet;NOR;13:00.82;1;Kvinner senior;F
2;12;Vera Leivsdottir;NOR;13:18.03;2;Kvinner senior;F
3;17;Marit Skjelbred-Knudsen;NOR;14:42.87;3;Kvinner senior;F
4;13;Margrethe Alm;NOR;14:44.80;4;Kvinner senior;F
5;24;Liv Keiser Richter;NOR;15:08.59;5;Kvinner senior;F
6;20;Eline Moen;NOR;15:22.31;6;Kvinner senior;F
7;16;June Jansson;NOR;15:53.86;7;Kvinner senior;F
8;14;Hanne Hedenstad;NOR;16:19.78;8;Kvinner senior;F
9;21;Eveliina Kallioniemi;FIN;17:01.72;9;Kvinner senior;F
10;22;Mari Sannes Sannes Innerdal;NOR;20:14.79;10;Kvinner senior;F
11;23;Ingrid Mork Nygård;NOR;20:24.90;11;Kvinner senior;F
12;15;Anna Hård;SWE;20:38.98;12;Kvinner senior;F
13;19;Iselin Osdal;NOR;23:32.32;13;Kvinner senior;F
14;18;Ida Elisabeth Nilsen;NOR;23:43.07;14;Kvinner senior;F
1;6;Tobias Utne;NOR;11:39.08;1;Gutter 12-17;M
2;1;Marius Brakestad;NOR;12:46.61;2;Gutter 12-17;M
3;4;Jørgen Velure;NOR;13:08.74;3;Gutter 12-17;M
4;2;Hallstein Finne Engelsen;NOR;13:16.58;4;Gutter 12-17;M
5;3;Didrik Nevland;NOR;13:56.78;5;Gutter 12-17;M
6;5;Noah Holmefjord-Dalland;NOR;14:25.21;6;Gutter 12-17;M
7;7;Jakob Søyland;NOR;16:32.86;7;Gutter 12-17;M
