bib;name;Class;club;FE1 Pos;FE1;FE2 Pos;FE2;FE3 Pos;FE3;FE4 Pos;FE4;FE5 Pos;FE5;FE6 Pos;FE6;chiptime;Pos Klasse;gender;;;;;;;;;;;;;;;
6;Vera Leivsdottir;Kvinner Enduro 17+;Team SANTACRUZ;1;0:06:35;1;0:03:51;1;0:07:31;1;0:06:05;1;0:05:35;1;0:01:35;00:31:12;;F;;;;;;;;;;;;;;;
4;Lene snerk Pettersen;Kvinner Enduro 17+;Eidanger GROMS;3;0:07:08;2;0:04:12;2;0:07:54;2;0:06:24;2;0:06:04;2;0:01:39;00:33:21;;F;;;;;;;;;;;;;;;
12;Else Bratteland;Kvinner Enduro 17+;Sk Rye;2;0:07:00;3;0:04:18;3;0:08:26;3;0:06:53;4;0:06:22;4;0:01:49;00:34:48;;F;;;;;;;;;;;;;;;
13;Ida Håkonsson;Kvinner Enduro 17+;Trek / Atomic Speed Goat;4;0:07:27;4;0:04:24;4;0:08:36;4;0:06:53;3;0:06:18;3;0:01:47;00:35:25;;F;;;;;;;;;;;;;;;
3;Ida Rydland Nærum;Kvinner Enduro 17+;CK Nittedal;5;0:07:32;5;0:04:36;6;0:08:56;6;0:07:15;5;0:06:40;5;0:01:54;00:36:53;;F;;;;;;;;;;;;;;;
9;Linda Lønmo;Kvinner Enduro 17+;Aron SK;6;0:07:56;6;0:04:46;5;0:08:48;5;0:07:15;6;0:06:48;6;0:02:00;00:37:33;;F;;;;;;;;;;;;;;;
2;Silje Nedland Molnes;Kvinner Enduro 17+;SK Rye;11;0:08:54;7;0:04:55;7;0:09:04;7;0:07:50;7;0:07:16;8;0:02:11;00:40:10;;F;;;;;;;;;;;;;;;
7;Mari Guton Olsen;Kvinner Enduro 17+;Arok SK;7;0:08:33;9;0:05:06;8;0:09:25;9;0:08:00;8;0:07:35;7;0:02:06;00:40:45;;F;;;;;;;;;;;;;;;
10;Leyla Kutlu;Kvinner Enduro 17+;Tea & Biscuits;10;0:08:53;11;0:05:30;10;0:10:58;10;0:08:15;9;0:07:55;9;0:02:12;00:43:43;;F;;;;;;;;;;;;;;;
1;Elin K Morgan;Kvinner Enduro 17+;Team Letth;12;0:09:34;13;0:05:48;12;0:11:54;11;0:09:15;10;0:08:29;10;0:02:27;00:47:27;;F;;;;;;;;;;;;;;;
11;Elise Marie Bugge;Kvinner Enduro 17+;;14;0:10:23;12;0:05:47;11;0:11:28;13;0:09:38;11;0:08:46;12;0:02:30;00:48:32;;F;;;;;;;;;;;;;;;
14;Torunn Engen Røse;Kvinner Enduro 17+;Multiconsult BIL Oslo;13;0:09:59;14;0:06:05;14;0:12:26;12;0:09:34;12;0:09:05;11;0:02:30;00:49:39;;F;;;;;;;;;;;;;;;
5;Silje Kile;Kvinner Enduro 17+;;8;0:08:41;8;0:04:58;9;0:09:44;8;0:07:51;DNS;00:00:00;DNS;00:00:00;DNF;;F;;;;;;;;;;;;;;;
8;Tone Løk;Kvinner Enduro 17+;CK Nittedal;9;0:08:46;10;0:05:13;13;0:12:12;DNS;00:00:00;DNS;00:00:00;DNS;00:00:00;DNF;;F;;;;;;;;;;;;;;;
58;Magnus Slinger Sørli;Menn Enduro 17+;Svelvik SK;1;0:05:26;3;0:03:20;1;0:06:21;1;0:05:03;1;0:04:42;1;0:01:17;00:26:09;;M;;;;;;;;;;0,005138889;;0,004722222;;0,001458333;00:16:18
36;Bård Stærkebye Pettersen;Menn Enduro 17+;Team Sykleriet;2;0:05:34;1;0:03:14;3;0:06:30;2;0:05:22;3;0:04:54;6;0:01:23;00:26:57;;M;;;;;;;;;;0,006342593;;0,006574074;;0,001643519;00:20:58
70;Ola Jåvold Landmark;Menn Enduro 17+;Bærum OCK;4;0:05:57;2;0:03:17;2;0:06:25;7;0:05:35;5;0:04:58;2;0:01:19;00:27:31;;M;;;;;;;;;;0,005486111;;0,004953704;;0,001435185;00:17:06
81;Pontus Olofsson;Menn Enduro 17+;Göteborgs Stigcyklister;3;0:05:46;5;0:03:24;5;0:06:41;5;0:05:29;4;0:04:56;8;0:01:25;00:27:41;;M;;;;;;;;;;;;;;;
25;Joachim Ski Torp;Menn Enduro 17+;Aron Sportsklubb;22;0:06:19;4;0:03:24;4;0:06:38;4;0:05:28;2;0:04:53;4;0:01:23;00:28:05;;M;;;;;;;;;;;;;;;
64;Fredrik Smith;Menn Enduro 17+;;9;0:06:05;6;0:03:26;10;0:06:55;6;0:05:30;7;0:05:03;15;0:01:28;00:28:27;;M;;;;;;;;;;;;;;;
43;Kristian Holiman;Menn Enduro 17+;team Santacruz;5;0:06:01;19;0:03:38;13;0:06:59;12;0:05:36;10;0:05:07;3;0:01:22;00:28:43;;M;;;;;;;;;;;;;;;
86;Andreas Hegrum Askjer;Menn Enduro 17+;Lillehamme ck;8;0:06:05;11;0:03:31;16;0:07:03;3;0:05:27;13;0:05:12;12;0:01:27;00:28:45;;M;;;;;;;;;;;;;;;
122;Baard Hellebostad;Menn Enduro 17+;Arin sk;7;0:06:03;8;0:03:30;11;0:06:57;9;0:05:35;17;0:05:16;24;0:01:31;00:28:52;;M;;;;;;;;;;;;;;;
106;Anders Gundersen;Menn Enduro 17+;Flytsti;11;0:06:07;7;0:03:27;9;0:06:52;17;0:05:42;23;0:05:21;7;0:01:25;00:28:54;;M;;;;;;;;;;;;;;;
95;Stig Ove Simensen;Menn Enduro 17+;;17;0:06:14;23;0:03:41;6;0:06:46;20;0:05:45;8;0:05:06;18;0:01:29;00:29:01;;M;;;;;;;;;;;;;;;
41;Pål Grotnes;Menn Enduro 17+;Gresvik if stisyklister;12;0:06:08;12;0:03:33;20;0:07:13;19;0:05:43;9;0:05:06;10;0:01:25;00:29:08;;M;;;;;;;;;;;;;;;
54;Anders Skarstein;Menn Enduro 17+;Santa Cruz Norge;48;0:06:46;10;0:03:31;7;0:06:47;23;0:05:47;6;0:04:58;5;0:01:23;00:29:12;;M;;;;;;;;;;;;;;;
50;Are Tallaksrud;Menn Enduro 17+;Hemsedal IL/Sykkel og Aron SK OG Nedre Buskerud Nerroverlag;10;0:06:07;9;0:03:30;28;0:07:19;8;0:05:35;20;0:05:18;11;0:01:26;00:29:15;;M;;;;;;;;;;;;;;;
39;Simen Kalnæs Danielsen;Menn Enduro 17+;Drøbak SK;19;0:06:17;18;0:03:37;15;0:07:02;18;0:05:43;11;0:05:08;27;0:01:32;00:29:19;;M;;;;;;;;;;;;;;;
71;Fredrik Lysakerrud;Menn Enduro 17+;Odal Sk;27;0:06:25;22;0:03:40;14;0:07:02;15;0:05:40;12;0:05:09;29;0:01:33;00:29:29;;M;;;;;;;;;;;;;;;
85;Erlend Hegrum Askjer;Menn Enduro 17+;Horten CK;16;0:06:14;25;0:03:42;21;0:07:13;10;0:05:35;24;0:05:22;19;0:01:29;00:29:35;;M;;;;;;;;;;;;;;;
114;Simon Johansson;Menn Enduro 17+;IK HERO;26;0:06:23;20;0:03:39;12;0:06:59;13;0:05:38;26;0:05:24;31;0:01:33;00:29:36;;M;;;;;;;;;;;;;;;
22;Thomas Asbjørnhus;Menn Enduro 17+;Six Inch;23;0:06:19;21;0:03:39;34;0:07:27;11;0:05:35;16;0:05:16;9;0:01:25;00:29:41;;M;;;;;;;;;;;;;;;
44;Max Lenthall;Menn Enduro 17+;;13;0:06:09;30;0:03:44;29;0:07:21;14;0:05:39;22;0:05:20;17;0:01:28;00:29:41;;M;;;;;;;;;;;;;;;
60;Niklas Halvorsen;Menn Enduro 17+;KCK;32;0:06:33;16;0:03:36;18;0:07:06;21;0:05:45;18;0:05:18;14;0:01:28;00:29:46;;M;;;;;;;;;;;;;;;
74;Eirik Jelstad;Menn Enduro 17+;Team Kjølstadkara;6;0:06:03;14;0:03:35;22;0:07:14;16;0:05:41;36;0:05:33;55;0:01:43;00:29:49;;M;;;;;;;;;;;;;;;
73;Jon Anders Iversen;Menn Enduro 17+;Sande Sykkelklubb;15;0:06:12;38;0:03:51;19;0:07:13;26;0:05:50;25;0:05:23;25;0:01:31;00:30:00;;M;;;;;;;;;;;;;;;
75;Sigmund Horrig;Menn Enduro 17+;Aron;34;0:06:33;13;0:03:33;17;0:07:05;25;0:05:50;31;0:05:27;28;0:01:33;00:30:01;;M;;;;;;;;;;;;;;;
68;Kristian Hauglum;Menn Enduro 17+;;24;0:06:20;24;0:03:41;27;0:07:18;32;0:05:58;19;0:05:18;13;0:01:27;00:30:02;;M;;;;;;;;;;;;;;;
112;Morten Mølsted;Menn Enduro 17+;Ik Hero/Trail Cartel;28;0:06:29;33;0:03:46;24;0:07:16;27;0:05:51;21;0:05:19;16;0:01:28;00:30:09;;M;;;;;;;;;;;;;;;
117;Magnus Finnes Jahnsen;Menn Enduro 17+;RYE;20;0:06:18;31;0:03:44;30;0:07:21;48;0:06:23;32;0:05:28;22;0:01:30;00:30:44;;M;;;;;;;;;;;;;;;
29;Kristoffer Steen;Menn Enduro 17+;;33;0:06:33;32;0:03:44;25;0:07:17;34;0:06:01;39;0:05:37;41;0:01:36;00:30:48;;M;;;;;;;;;;;;;;;
37;Karsten Hjelseth;Menn Enduro 17+;Meg&megsjæl;14;0:06:11;78;0:04:36;23;0:07:15;24;0:05:47;29;0:05:25;34;0:01:34;00:30:48;;M;;;;;;;;;;;;;;;
113;Tommy Pham;Menn Enduro 17+;Flow Enduro;37;0:06:35;39;0:03:51;32;0:07:23;30;0:05:57;35;0:05:32;26;0:01:32;00:30:50;;M;;;;;;;;;;;;;;;
109;Rolf Mauritz Pedersen;Menn Enduro 17+;;41;0:06:39;28;0:03:43;33;0:07:25;37;0:06:03;27;0:05:24;48;0:01:39;00:30:53;;M;;;;;;;;;;;;;;;
67;Ola Myklatun Krosness;Menn Enduro 17+;;18;0:06:16;15;0:03:35;8;0:06:49;78;0:07:33;14;0:05:14;21;0:01:30;00:30:57;;M;;;;;;;;;;;;;;;
99;Torfinn Dahl;Menn Enduro 17+;Atomic Speed Goats;31;0:06:32;27;0:03:42;40;0:07:36;36;0:06:03;38;0:05:35;33;0:01:34;00:31:02;;M;;;;;;;;;;;;;;;
