bib;name;Class;club;FE1 Pos;FE1;FE2 Pos;FE2;FE3 Pos;FE3;FE4 Pos;FE4;FE5 Pos;FE5;gender;Pos Klasse
1;Hilde Strædet;Kvinner senior;KCK;1;0:03:37;2;0:07:42;1;0:03:03;1;0:05:34;3;0:04:26;F;
2;Vera Leivsdottir;Kvinner senior;BMK;2;0:03:45;1;0:07:39;2;0:03:12;2;0:05:46;2;0:04:25;F;
3;Anette Røssum Bastnes;Kvinner senior;Team Ibis Norge;3;0:03:56;3;0:08:36;3;0:03:29;3;0:05:49;4;0:04:30;F;
5;Anna Littorin-Sandbu;Kvinner senior;SK Rye;4;0:03:56;4;0:08:41;6;0:03:58;4;0:05:54;1;0:04:20;F;
8;Marit Skjelbred Knudsen;Kvinner senior;TnV;5;0:04:09;5;0:09:22;5;0:03:51;7;0:07:01;6;0:04:54;F;
7;June Jansson;Kvinner senior;TnV;6;0:04:16;6;0:09:50;4;0:03:44;6;0:06:54;7;0:04:56;F;
6;Ida Nærum;Kvinner senior;CK Nittedal;7;0:04:39;7;0:10:13;7;0:04:02;5;0:06:52;5;0:04:44;F;
4;Else Bratteland;Kvinner senior;SK Rye;8;0:05:43;8;0:10:17;8;0:04:25;DNS;;DNS;;F;
94;Simen Smestad;Menn;SK Rye ;3;0:03:23;1;0:06:27;1;0:02:37;2;0:04:46;2;0:03:46;M;
84;Espen Bergli-johnsen;Menn;BMK;4;0:03:24;2;0:06:38;2;0:02:37;1;0:04:44;3;0:03:49;M;
81;Magnus Slinger Sørli;Menn;Team Santa Cruz Norge;2;0:03:23;3;0:06:43;4;0:02:44;3;0:04:52;7;0:03:52;M;
62;Ole-Herman Bergby;Menn;SK Rye;1;0:03:17;4;0:06:45;5;0:02:44;7;0:05:02;11;0:03:57;M;
51;Ola Jåvold Landmark;Menn;BOC;9;0:03:30;12;0:07:04;8;0:02:46;4;0:04:59;1;0:03:42;M;
102;Gard Brovold;Menn;Maridalen skiklubb;8;0:03:29;5;0:06:51;7;0:02:46;9;0:05:02;8;0:03:55;M;
97;Michael Cook;Menn;IK Hero;7;0:03:26;7;0:06:53;15;0:02:55;6;0:05:00;10;0:03:56;M;
90;Johannes Lund;Menn;Sogn CK;12;0:03:32;10;0:07:00;6;0:02:45;10;0:05:04;4;0:03:51;M;
100;Emil Carlson;Menn;SK Rye;11;0:03:30;8;0:06:54;11;0:02:50;13;0:05:08;9;0:03:55;M;
99;Atle Laakso;Menn;SK Rye;5;0:03:25;9;0:06:55;10;0:02:49;11;0:05:06;17;0:04:05;M;
70;Joar Sørvik Solem;Menn;;6;0:03:26;13;0:07:05;12;0:02:52;5;0:04:59;15;0:04:03;M;
48;Frikk Hess-Bolstad;Menn;IK Hero;16;0:03:34;6;0:06:53;3;0:02:40;16;0:05:14;29;0:04:17;M;
83;Anders Skarstein;Menn;Team Santa Cruz Norge;10;0:03:30;11;0:07:04;9;0:02:47;14;0:05:10;20;0:04:07;M;
55;Nils einar Berget;Menn;Kinder-maxi-mafiaen;17;0:03:35;18;0:07:24;13;0:02:54;8;0:05:02;5;0:03:51;M;
69;Sebastian Andreassen;Menn;Høvik Rullende Gutter;15;0:03:34;14;0:07:07;14;0:02:55;12;0:05:07;23;0:04:11;M;
93;Niklas Halvorsen;Menn;KCK;13;0:03:33;15;0:07:08;18;0:02:59;18;0:05:16;12;0:03:59;M;
88;Kristoffer Engen;Menn;Hemsedal IL sykkel;23;0:03:43;17;0:07:23;16;0:02:57;17;0:05:16;18;0:04:05;M;
95;Andre Aamodt;Menn;Team Santa Cruz Norge;19;0:03:41;16;0:07:22;17;0:02:58;15;0:05:14;24;0:04:13;M;
86;Andreas Aalby;Menn;Asker CK;14;0:03:33;30;0:08:03;20;0:03:02;19;0:05:17;6;0:03:52;M;
87;Erlend Hegrum Askjer;Menn;Horten CK;27;0:03:46;19;0:07:26;21;0:03:03;21;0:05:21;25;0:04:14;M;
33;Eirik Jelstad;Menn;Vikersund;18;0:03:41;23;0:07:48;19;0:03:02;27;0:05:37;13;0:04:00;M;
31;Simon Johansson;Menn;IK Hero;30;0:03:47;22;0:07:48;30;0:03:15;20;0:05:18;21;0:04:08;M;
96;Ola Myklatun Krosness;Menn;;35;0:03:50;21;0:07:48;23;0:03:09;22;0:05:25;22;0:04:09;M;
37;Øyvind Sætra;Menn;Sogn CK;22;0:03:43;20;0:07:29;27;0:03:12;32;0:05:45;26;0:04:15;M;
66;Ola Bjølgerud;Menn;Vikersund;24;0:03:43;28;0:07:58;32;0:03:17;24;0:05:29;19;0:04:06;M;
92;Ola Ranes;Menn;BMK;20;0:03:42;25;0:07:53;22;0:03:08;25;0:05:34;27;0:04:17;M;
91;Jonas Olsson;Menn;SK Rye;29;0:03:47;26;0:07:54;26;0:03:11;28;0:05:38;33;0:04:21;M;
65;Ole Jacob Hauge;Menn;The Single-Track Life;21;0:03:42;27;0:07:57;31;0:03:16;30;0:05:44;32;0:04:18;M;
58;Joakim Karlsson;Menn;Ol´dirty bikebums;39;0:03:55;32;0:08:18;24;0:03:09;29;0:05:42;35;0:04:23;M;
36;Jonathan Paddon;Menn;;25;0:03:44;31;0:08:16;34;0:03:18;35;0:05:46;36;0:04:25;M;
46;Kristoffer Rakneberg;Menn;BMK;31;0:03:48;42;0:08:56;25;0:03:10;26;0:05:34;14;0:04:02;M;
56;Håkon Døsrønningen;Menn;Lillehammer CK;33;0:03:48;33;0:08:24;33;0:03:17;33;0:05:45;30;0:04:17;M;
35;Fredrik Minde;Menn;BMK;32;0:03:48;29;0:08:03;28;0:03:12;41;0:06:08;40;0:04:30;M;
45;Piotr Susfal;Menn;Burger King Sørlansparken ;38;0:03:54;35;0:08:34;35;0:03:22;34;0:05:45;31;0:04:18;M;
59;Jostein Authen;Menn;Ol´dirty bikebums;28;0:03:47;36;0:08:39;29;0:03:13;38;0:05:57;47;0:04:43;M;
47;Kristian Østlie;Menn;;37;0:03:53;41;0:08:52;37;0:03:24;37;0:05:49;37;0:04:26;M;
41;Knut Erik Haugen;Menn;CK Nittedal;43;0:04:02;38;0:08:47;38;0:03:30;31;0:05:44;34;0:04:22;M;
101;Lars Frederic Nordbakken;Menn;Romeriksåsen Sykkelklubb;49;0:04:07;39;0:08:48;46;0:03:42;36;0:05:47;28;0:04:17;M;
53;Lukas Leiro;Menn;Gresvikifstisyklister;45;0:04:06;40;0:08:50;43;0:03:37;40;0:06:07;38;0:04:27;M;
52;Tobias Bjerknes;Menn;CK Nittedal;50;0:04:12;37;0:08:47;40;0:03:35;42;0:06:10;45;0:04:39;M;
60;Vegard Brække;Menn;Ottestad IL;42;0:04:00;45;0:08:57;39;0:03:31;46;0:06:17;46;0:04:40;M;
98;Marius Wilberg;Menn;Blaker IL Sykkel;48;0:04:07;44;0:08:57;47;0:03:56;39;0:05:57;39;0:04:29;M;
57;Steinar Haugros;Menn;Norconsult;46;0:04:07;43;0:08:56;45;0:03:39;43;0:06:11;42;0:04:34;M;
63;Andreas Berglihn;Menn;Team syglekogle;41;0:04:00;46;0:08:57;41;0:03:36;48;0:06:19;49;0:04:46;M;
44;Ivar Haug;Menn;Holmsbu IF;47;0:04:07;47;0:09:07;42;0:03:37;45;0:06:12;43;0:04:35;M;
67;Martin Stene;Menn;;40;0:03:58;48;0:09:07;44;0:03:39;47;0:06:17;44;0:04:38;M;
32;Einar Frønum;Menn;Harstad CK;26;0:03:46;24;0:07:50;55;0:08:00;23;0:05:27;16;0:04:04;M;
38;Kristian Hauglum;Menn;;36;0:03:51;34;0:08:26;36;0:03:24;54;0:10:02;41;0:04:32;M;
54;Håvard Gerner;Menn;Hashtagenduro;55;0:04:28;50;0:10:24;48;0:03:56;51;0:07:18;52;0:04:59;M;
49;Kay Arne Bruland;Menn;6800;53;0:04:27;49;0:10:23;52;0:04:36;49;0:07:00;51;0:04:51;M;
64;Kristian Sørlie;Menn;TeamSørlie;56;0:04:36;51;0:10:50;50;0:04:19;50;0:07:06;48;0:04:45;M;
34;Bjørn Tscherning Hjulstad;Menn;Sagene IF Sykkel;51;0:04:15;55;0:13:15;49;0:04:10;44;0:06:12;50;0:04:48;M;
43;Atle Philip Gulliksen;Menn;OSI;57;0:04:46;52;0:11:08;53;0:04:45;52;0:07:56;53;0:05:10;M;
50;Kristian Berge;Menn;6800;52;0:04:21;54;0:11:18;54;0:05:34;53;0:08:16;54;0:05:36;M;
39;Oskar Omdal;Menn;Sokndal IK;44;0:04:04;DNS;;DNS;;DNS;;DNS;;M;
68;Sigmund Innset Berntsen;Menn;;54;0:04:28;53;0:11:09;51;0:04:33;DNS;;DNS;;M;
82;Andreas Øhrn;Menn;Oppdal SK;34;0:03:48;DNS;;DNS;;DNS;;DNS;;M;
14;Pål Grotnes;Master Menn;Gresvikifstisyklister;2;0:03:37;2;0:07:24;1;0:02:59;3;0:05:18;1;0:03:55;M;
17;Johan Schjerve;Master Menn;Team Nava;1;0:03:34;1;0:07:13;5;0:03:07;2;0:05:11;4;0:04:09;M;
11;Fredrik Lysakerrud;Master Menn;Odal Sk;3;0:03:37;5;0:07:43;4;0:03:03;7;0:05:44;2;0:03:55;M;
16;Leiv Tvenning;Master Menn;BMK;6;0:03:46;4;0:07:39;2;0:03:02;4;0:05:24;6;0:04:14;M;
29;Ove Grøndal;Master Menn;;5;0:03:44;6;0:08:01;6;0:03:14;1;0:05:09;3;0:04:00;M;
12;Øyvind Hem;Master Menn;;9;0:03:52;3;0:07:34;3;0:03:03;5;0:05:27;5;0:04:12;M;
13;Arild Gravdal;Master Menn;BMK;10;0:03:53;7;0:08:05;8;0:03:23;9;0:05:47;12;0:04:23;M;
25;Vidar Folden;Master Menn;VOTLNC;4;0:03:44;8;0:08:16;10;0:03:26;8;0:05:45;10;0:04:21;M;
27;Ernst Andersen;Master Menn;;7;0:03:51;10;0:08:22;7;0:03:14;11;0:05:50;15;0:04:33;M;
42;Tom Ruud;Master Menn;Lillehammer CK;11;0:03:54;12;0:08:40;13;0:03:28;6;0:05:36;8;0:04:19;M;
26;Srian Lunn;Master Menn;;8;0:03:52;9;0:08:17;11;0:03:28;12;0:05:54;13;0:04:28;M;
22;Petter Anthonsen;Master Menn;Totenkranken ;13;0:03:57;13;0:08:41;9;0:03:26;10;0:05:49;7;0:04:17;M;
89;Anders Disen;Master Menn;Odal Sk;12;0:03:55;11;0:08:36;12;0:03:28;13;0:06:05;14;0:04:29;M;
20;Geir Hanssen;Master Menn;Stiftstaden Sykkelklubb;18;0:04:12;15;0:09:13;17;0:04:00;14;0:06:09;9;0:04:20;M;
15;Christian Aronsen;Master Menn;BMK;16;0:04:08;14;0:09:11;14;0:03:38;16;0:06:17;19;0:04:45;M;
19;Andreas Klette;Master Menn;Bodø Freeride Team;15;0:04:05;16;0:09:27;15;0:03:44;18;0:06:22;18;0:04:43;M;
18;Fredrik Lingvall;Master Menn;SK Rye;17;0:04:09;17;0:09:49;16;0:03:52;17;0:06:20;11;0:04:22;M;
24;Jamieson Pothecary;Master Menn;VOTLNC;14;0:04:05;18;0:10:15;19;0:04:12;15;0:06:15;16;0:04:34;M;
21;Jan Henrik Høilund;Master Menn;Njård;19;0:04:49;19;0:10:54;18;0:04:05;20;0:08:04;20;0:04:53;M;
28;Christian Fæste;Master Menn;;20;0:04:57;20;0:22:44;20;0:04:58;19;0:07:32;17;0:04:41;M;
128;Jimmie Holm;Explorer menn;;3;0:04:06;3;0:09:12;3;0:03:44;2;0:06:19;1;0:04:29;M;
127;Joakim Ericsson;Explorer menn;;1;0:03:54;1;0:08:42;1;0:03:43;1;0:05:45;2;0:04:35;M;
122;Magnus Eckeskog;Explorer menn;;4;0:04:14;4;0:09:49;4;0:03:59;3;0:06:27;3;0:04:41;M;
126;Anders Mobæk Ulstad;Explorer menn;;6;0:04:20;5;0:10:30;5;0:04:17;5;0:06:34;4;0:04:58;M;
125;Thomas R Braaten;Explorer menn;;7;0:04:50;8;0:14:18;8;0:07:14;8;0:09:22;5;0:05:14;M;
121;Mattias Schillen;Explorer menn;;2;0:04:03;2;0:09:01;2;0:03:44;4;0:06:30;6;0:05:16;M;
124;Christian Mandrup-Poulsen;Explorer menn;;5;0:04:14;6;0:12:06;6;0:04:40;6;0:07:33;7;0:05:20;M;
123;Johan Lindbratt;Explorer menn;;8;0:05:17;7;0:13:04;7;0:05:50;7;0:08:59;8;0:05:22;M;
