bib;name;Class;club;FE1 Pos;FE1;FE2 Pos;FE2;FE3 Pos;FE3;FE4 Pos;FE4;chiptime;Pos Klasse;gender
10;Berit Nordsæter Resell;Kvinner Senior 17+;TVK;1;0:04:54;1;0:09:15;1;0:07:15;1;0:05:37;;;F
4;Alice Grindheim;Kvinner Senior 17+;Team Ibis;2;0:05:02;6;0:10:05;2;0:07:24;2;0:05:42;;;F
12;Sunniva  Dring;Kvinner Senior 17+;Sagene IF/Tam Milslukeren;3;0:05:11;5;0:09:54;3;0:07:42;5;0:06:13;;;F
9;Else Bratteland;Kvinner Senior 17+;Sk Rye/Atomic speed goats;6;0:05:17;3;0:09:47;4;0:08:00;4;0:06:06;;;F
2;Stina Bondehagen;Kvinner Senior 17+;;5;0:05:15;2;0:09:26;8;0:08:58;3;0:06:03;;;F
5;Ida Håkonsson;Kvinner Senior 17+;Atomic Speed Goats;7;0:05:22;4;0:09:48;7;0:08:50;6;0:06:16;;;F
6;Lene snerk Pettersen;Kvinner Senior 17+;Eidanger GROMS;4;0:05:13;7;0:10:16;6;0:08:45;7;0:06:30;;;F
8;Linda Lønmo;Kvinner Senior 17+;Aron SK;8;0:05:32;8;0:10:49;5;0:08:29;8;0:06:47;;;F
11;Silje Holmsen;Kvinner Senior 17+;Aron SK;10;0:06:40;9;0:11:45;9;0:09:44;9;0:07:06;;;F
3;Kari Gulden Olstad;Kvinner Senior 17+;Nittedal CK ;11;0:08:24;10;0:17:00;11;0:15:43;11;0:11:16;;;F
1;Ida Rydland Nærum;Kvinner Senior 17+;CK Nittedal;9;0:05:53;11;0:36:21;10;0:10:16;10;0:07:31;;;F
91;Magnus Slinger Sørli;Menn Senior 17+;Svelvik SK / Team Young Guns;1;0:03:52;1;0:07:23;6;0:06:10;5;0:04:23;;;M
95;Ole-Herman Bergby;Menn Senior 17+;SK Rye;5;0:04:05;6;0:07:47;1;0:05:47;1;0:04:12;;;M
101;Bård Stærkebye Pettersen;Menn Senior 17+;Team Sykleriet;3;0:04:02;4;0:07:40;4;0:06:06;2;0:04:14;;;M
114;Ola Jåvold Landmark;Menn Senior 17+; Bærum OCK / Team Young Guns;2;0:04:00;3;0:07:38;3;0:05:58;6;0:04:27;;;M
98;Albin Littorin-Sandbu;Menn Senior 17+;Sk Rye<3;10;0:04:16;5;0:07:43;2;0:05:56;4;0:04:23;;;M
115;Jan Erik Kørra;Menn Senior 17+;Lillehammer CK;6;0:04:08;7;0:07:48;7;0:06:13;3;0:04:19;;;M
117;Michael Cook;Menn Senior 17+;Jafs Racing;8;0:04:13;9;0:07:53;5;0:06:09;10;0:04:41;;;M
92;Gard Brovold;Menn Senior 17+;Maridalen skiklubb;4;0:04:05;8;0:07:49;8;0:06:14;12;0:04:49;;;M
53;Joar Sørvik Solem;Menn Senior 17+;;12;0:04:25;10;0:07:53;11;0:06:26;9;0:04:38;;;M
100;Fredrik Smith;Menn Senior 17+;Njård;14;0:04:25;13;0:08:13;10;0:06:17;7;0:04:34;;;M
30;Erlend Hegrum Askjer;Menn Senior 17+;Horten OCK Team young guns;20;0:04:31;11;0:08:11;9;0:06:16;8;0:04:37;;;M
108;Sindre Rustan;Menn Senior 17+;Sportsklubben rye;17;0:04:29;14;0:08:20;14;0:06:32;13;0:04:50;;;M
103;Fredrik Lysakerrud;Menn Senior 17+;Odal Sk;13;0:04:25;12;0:08:12;13;0:06:32;20;0:05:14;;;M
90;Kristoffer Engen;Menn Senior 17+;;16;0:04:28;22;0:08:47;12;0:06:28;14;0:04:53;;;M
94;Andreas Hegrum Askjer;Menn Senior 17+;Lillehammer ck;24;0:04:38;20;0:08:37;16;0:06:37;11;0:04:49;;;M
109;Hans Jørgen Kvåle;Menn Senior 17+;Hadeland CK / Team Skør'n Offroad;26;0:04:43;15;0:08:31;18;0:06:44;17;0:05:09;;;M
118;Anders Rekdal;Menn Senior 17+;;18;0:04:30;21;0:08:41;19;0:06:46;19;0:05:13;;;M
55;Piotr Susfal;Menn Senior 17+;Burger King Sørlandsparken Race Team ;28;0:04:46;19;0:08:36;23;0:06:59;18;0:05:09;;;M
82;Harald Brekke;Menn Senior 17+;SK Rye/Team Ibis;19;0:04:30;36;0:09:28;17;0:06:38;15;0:04:57;;;M
72;Anders Samnøy;Menn Senior 17+;Atomic Speed Goats;43;0:05:03;16;0:08:31;22;0:06:57;24;0:05:25;;;M
102;Ola Myklatun Krosness;Menn Senior 17+;;23;0:04:37;18;0:08:34;15;0:06:32;56;0:06:28;;;M
105;Niklas Halvorsen;Menn Senior 17+;KCK;15;0:04:27;17;0:08:32;50;0:08:09;21;0:05:15;;;M
106;Knut Erik Haugen;Menn Senior 17+;CK Nittedal;29;0:04:49;26;0:09:07;30;0:07:17;22;0:05:16;;;M
112;Anders Mjøen;Menn Senior 17+;;40;0:04:58;24;0:08:53;29;0:07:14;37;0:05:47;;;M
86;Pål Thomas Kvil;Menn Senior 17+;Team Letth;42;0:05:02;27;0:09:13;25;0:07:05;33;0:05:37;;;M
45;Tommy Pham;Menn Senior 17+;Flow Enduro ;38;0:04:57;35;0:09:27;26;0:07:09;27;0:05:30;;;M
64;Eirik Hånes;Menn Senior 17+;Shredalot;36;0:04:54;32;0:09:26;27;0:07:12;29;0:05:31;;;M
110;Stian Østen;Menn Senior 17+;Lille Toyen;34;0:04:52;31;0:09:18;28;0:07:12;34;0:05:42;;;M
43;Even Baardseth;Menn Senior 17+;Flytsti;41;0:05:01;29;0:09:16;36;0:07:28;23;0:05:24;;;M
44;Jostein Authen;Menn Senior 17+;;25;0:04:42;47;0:09:46;34;0:07:28;26;0:05:29;;;M
111;Karsten Hjelseth;Menn Senior 17+;;32;0:04:50;23;0:08:52;33;0:07:25;53;0:06:22;;;M
24;Karl Andreas Sagadalen;Menn Senior 17+;Hadeland CK;27;0:04:46;51;0:09:55;24;0:07:05;38;0:05:47;;;M
29;Magnus Finnes Jahnsen;Menn Senior 17+;RYE;55;0:05:17;43;0:09:37;38;0:07:30;30;0:05:35;;;M
76;Kristian Eckhoff;Menn Senior 17+;SK Rye Sykkel;53;0:05:15;37;0:09:30;37;0:07:29;40;0:05:52;;;M
83;Björn Asplund;Menn Senior 17+;;37;0:04:55;39;0:09:33;39;0:07:34;47;0:06:05;;;M
38;Erik Morset;Menn Senior 17+;;44;0:05:05;59;0:10:21;31;0:07:18;28;0:05:31;;;M
93;Anders Skarstein;Menn Senior 17+;Team Santa Cruz;7;0:04:08;72;0:12:20;20;0:06:52;16;0:04:58;;;M
26;Anders Disen;Menn Senior 17+;Odal SK;48;0:05:10;40;0:09:33;42;0:07:40;41;0:05:56;;;M
113;Geir Jørgensen;Menn Senior 17+;Enduro Fun Team;21;0:04:36;34;0:09:27;53;0:08:21;48;0:06:05;;;M
34;Martin Aasen;Menn Senior 17+;Årvoll øl og sykkelklubb;47;0:05:10;46;0:09:44;40;0:07:38;45;0:06:00;;;M
75;Kristoffer Andresen;Menn Senior 17+;Aron SK;62;0:05:27;45;0:09:43;47;0:07:55;32;0:05:36;;;M
21;Simon Börjars;Menn Senior 17+;;51;0:05:14;49;0:09:48;46;0:07:54;36;0:05:46;;;M
74;Sander Blomgren;Menn Senior 17+;Sykkelsport AS;49;0:05:12;53;0:09:58;41;0:07:40;42;0:05:56;;;M
78;Jo Christer Frysjøenden;Menn Senior 17+;Glåmdal SK;58;0:05:22;50;0:09:54;48;0:07:58;44;0:05:59;;;M
107;Magnus Brandtzæg;Menn Senior 17+;Equinor BIL Oslo;52;0:05:15;55;0:10:03;45;0:07:49;49;0:06:07;;;M
