Rank;Startnumber;Firstname;Surname;Gender;Nat;Club;Race;Class;Total Time;Diff Winner;TimeOfDay;City
1;1;Helene;Gismervik;F;NOR;TVERLANDET;FE1;Trim/Adventure;7:48.6;0:00.0;2018-09-23T12:15:06.4810000;Tverlandet
2;2;Bjørnar Orion;Klinkenberg;M;NOR;Harstad CK;FE1;Trim/Adventure;10:22.9;2:34.3;2018-09-23T12:18:03.3290000;Harstad
999;4;Birk;Jørgensen;M;NOR;Harstad CK;FE1;M Junior;0:00.0;;;Harstad
999;5;Ask;Jørgensen;M;NOR;Harstad CK;FE1;M Junior;0:00.0;;;Harstad
999;6;Oliver S.;Klinkenberg;M;NOR;Harstad CK / Team Råtøff;FE1;M Junior;0:00.0;;;Harstad
999;7;Sebastian;Molund Enoksen;M;NOR;Harstad CK / Leon Sport;FE1;M Junior;0:00.0;;;Evenskjer
1;9;Amund;Røkenes;M;NOR;Harstad CK;FE1;M Junior;7:24.4;0:00.0;2018-09-23T12:10:58.3330000;Harstad
2;8;Jesper;Stattin;M;NOR;Harstad CK;FE1;M Junior;8:25.9;1:01.5;2018-09-23T12:12:40.4660000;Harstad
3;3;Julian Johan;Strand-Mikalsen;M;NOR;Harstad CK;FE1;M Junior;17:21.5;9:57.1;2018-09-23T12:22:03.6700000;HARSTAD
1;15;Stefanie;Schramm;F;NOR;SVOLVÆR;FE1;Kvinner master;0:00.0;;;Svolvｾr
1;70;Peter;Nilsson;M;SWE;Vesterålen SK;FE1;Menn master;7:06.9;0:00.0;2018-09-23T12:22:24.7500000;Sortland
2;68;Jimmy;Johansen;M;NOR;Lofoten Ekstremsportklubb;FE1;Menn master;0:00.0;;;Gravdal
2;69;Bjørn-Ståle;Larsen;M;NOR;Lofoten Ekstremsportklubb;FE1;Menn master;0:00.0;;;Gravdal
1;13;Ida Kristine;Sletta;F;NOR;NARVIK;FE1;K Sport 17+;7:49.6;0:00.0;2018-09-23T12:14:33.3470000;Narvik
2;12;Tonje Mari;Amundsen;F;NOR;Harstad CK;FE1;K Sport 17+;7:58.9;0:09.3;2018-09-23T12:13:45.8010000;Harstad
3;14;Vanja;Bråten;F;NOR;SØRVIK;FE1;K Sport 17+;9:14.7;1:25.1;2018-09-23T12:15:30.5510000;Sørvik
1;38;Einar;Frønum;M;NOR;Harstad CK;FE1;M Sport 17+;5:34.8;0:00.0;2018-09-23T12:25:17.4060000;Harstad
2;64;Tord;Nese;M;NOR;Tromsø Enduro/Peab Bjørn Bygg;FE1;M Sport 17+;5:42.5;0:07.7;2018-09-23T12:37:55.5420000;Tromsø
3;41;Stian;Storeng;M;NOR;Harstad CK;FE1;M Sport 17+;5:46.9;0:12.1;2018-09-23T12:37:08.0770000;Harstad
4;34;Anders;Røkenes;M;NOR;Harstad CK;FE1;M Sport 17+;5:48.7;0:13.9;2018-09-23T12:20:23.0050000;Harstad
5;18;Alex;Rufibach;M;SUI;TROMSØ;FE1;M Sport 17+;5:52.7;0:17.9;2018-09-23T12:34:54.1950000;Tromsø
6;44;Håvard;Torvanger;M;NOR;Harstad CK / Equinor BIL;FE1;M Sport 17+;5:58.0;0:23.2;2018-09-23T12:22:32.3360000;Harstad
7;58;Arne;Radmann;M;NOR;Sti5;FE1;M Sport 17+;5:58.2;0:23.4;2018-09-23T12:22:43.9490000;Kabelv携
8;61;Lars;Gabrielsen;M;NOR;Tromsø Enduro;FE1;M Sport 17+;6:02.6;0:27.8;2018-09-23T12:34:31.1260000;Krokelvdalen
9;48;Jon Håvard;H.appelkvist;M;NOR;IL Stjørdals-Blink;FE1;M Sport 17+;6:06.6;0:31.8;2018-09-23T12:26:37.4690000;Tromsø
10;60;Frans;Meijers;M;NOR;Tromsø Enduro;FE1;M Sport 17+;6:07.7;0:32.9;2018-09-23T12:35:41.3040000;Tromsø
11;28;Christoffer;Borge Olsen;M;NOR;Aron Skiklubb / Aron SK;FE1;M Sport 17+;6:09.2;0:34.4;2018-09-23T12:39:52.0430000;Mjøndalen
12;54;Markus;Nore Kveim;M;NOR;Nissedal Stisykkel;FE1;M Sport 17+;6:12.3;0:37.5;2018-09-23T12:27:03.5100000;Tromsø
13;63;Rickard;Wessberg;M;SWE;Tromsø Enduro/Consto AS;FE1;M Sport 17+;6:16.5;0:41.7;2018-09-23T12:29:15.3200000;Tromsø
14;17;Lars A.;Uttakleiv;M;NOR;HARSTAD;FE1;M Sport 17+;6:19.7;0:44.9;2018-09-23T12:33:07.9820000;Harstad
15;19;Stian;Hallén;M;NOR;HARSTAD;FE1;M Sport 17+;6:21.4;0:46.6;2018-09-23T12:23:26.5780000;Harstad
16;24;Carles;Debart;M;ESP;;FE1;M Sport 17+;6:24.1;0:49.3;2018-09-23T12:29:54.4180000;
17;42;Stian Kristoffer;Evensen;M;NOR;Harstad CK;FE1;M Sport 17+;6:25.7;0:50.9;2018-09-23T12:19:43.2180000;Harstad
18;26;Gisle;Enge;M;NOR;HARSTAD;FE1;M Sport 17+;6:31.4;0:56.6;2018-09-23T12:44:08.9810000;Harstad
19;52;Jørn;Hanssen;M;NOR;Lofoten Ekstremsportklubb;FE1;M Sport 17+;6:33.4;0:58.6;2018-09-23T12:43:05.7880000;Leknes
20;23;Martin;Liane;M;NOR;HARSTAD;FE1;M Sport 17+;6:34.2;0:59.4;2018-09-23T12:31:46.3090000;Harstad
21;47;Aleksander;Dysterud;M;NOR;Harstad Cyckel Klubb;FE1;M Sport 17+;6:34.4;0:59.6;2018-09-23T12:31:08.7160000;RAMSUND
22;67;Anders;S Bråten;M;NOR;Vollstadheia Krankklubb;FE1;M Sport 17+;6:34.6;0:59.8;2018-09-23T12:45:26.5500000;Sørvik
23;21;Finn;Kuntze;M;NOR;HARSTAD;FE1;M Sport 17+;6:37.2;1:02.4;2018-09-23T12:39:14.7430000;Harstad
24;59;Samuel;Geiseler;M;GER;Tromsø Enduro;FE1;M Sport 17+;6:40.6;1:05.8;2018-09-23T12:37:24.3650000;Tromsø
25;39;Øyvind;Frønum;M;NOR;Harstad CK;FE1;M Sport 17+;6:41.9;1:07.1;2018-09-23T12:29:04.3260000;Harstad
26;65;Audun;Domaas Pedersen;M;NOR;Tromsø Sti&Helse;FE1;M Sport 17+;6:52.7;1:17.9;2018-09-23T12:43:57.8880000;Tromsø
27;57;Joar;Nilsen;M;NOR;Joar Nilsen / Ofoten Rør og Enduro;FE1;M Sport 17+;6:58.8;1:24.0;2018-09-23T12:41:14.3270000;Narvik
28;56;Leon;Molund;M;NOR;NOR Cykleklubb / Leon Sport;FE1;M Sport 17+;7:00.7;1:25.9;2018-09-23T12:40:09.6710000;Evenskjer
29;33;Joachim;Aas;M;NOR;Harstad;FE1;M Sport 17+;7:01.4;1:26.6;2018-09-23T12:34:21.5370000;Harstad
