bib;name;gender;Club;Class;FE1 Pos;FE1;FE2 Pos;FE2;FE3 Pos;FE3;FE4 Pos;FE4;FE5 Pos;FE5;chiptime;;
7;Hilde Strædet;F;KCK;Kvinner senior;2;0:08:09;1;0:04:11;1;0:03:28;1;0:05:27;1;0:04:35;00:25:50;;
5;Alice Grindheim;F;Team Ibis Norge;Kvinner senior;3;0:08:21;2;0:04:11;2;0:03:35;2;0:05:52;2;0:04:44;00:26:43;;
1;Anette Røssum Bastnes;F;Team Ibis Norge;Kvinner senior;4;0:08:26;4;0:04:32;4;0:03:53;3;0:06:17;4;0:05:08;00:28:16;;
2;Vera Leivsdottir;F;BMK;Kvinner senior;1;0:07:45;3;0:04:14;3;0:03:35;10;0:08:33;3;0:04:50;00:28:57;;
8;Mille Johnset;F;NTG Lillehammer;Kvinner senior;5;0:09:00;5;0:04:57;5;0:04:18;4;0:06:51;9;0:06:53;00:31:59;;
6;Berglind Adalsteinsdottir;F;Santa Cruz Norge;Kvinner senior;6;0:10:04;6;0:05:12;6;0:04:47;5;0:07:13;5;0:05:52;00:33:08;;
4;Elin Eng;F;;Kvinner senior;7;0:11:00;7;0:05:32;8;0:05:05;6;0:07:49;6;0:06:10;00:35:36;;
10;Ida Rydland Nærum;F;CK Nittedal;Kvinner senior;8;0:11:53;9;0:06:08;7;0:04:54;7;0:08:02;7;0:06:23;00:37:20;;
3;Ingun Ståhl;F;Göteborgs Stigcyklister;Kvinner senior;9;0:12:01;8;0:05:48;9;0:05:24;8;0:08:19;10;0:06:54;00:38:26;;
9;Mari Guton Olsen;F;Aron SK;Kvinner senior;10;0:12:50;10;0:06:18;10;0:05:47;9;0:08:31;8;0:06:40;00:40:06;;
134;Zakarias Johansen;M;Cube Action team ;Menn senior;1;0:06:01;1;0:03:17;1;0:02:44;1;0:04:18;1;0:03:44;00:20:04;;
135;Robin Wallner;M;Ibis cycles;Menn senior;2;0:06:13;4;0:03:26;3;0:02:50;3;0:04:28;3;0:03:52;00:20:49;;
94;Dillon Santos;M;Ibis;Menn senior;3;0:06:17;5;0:03:29;2;0:02:50;2;0:04:26;2;0:03:51;00:20:53;;
127;Espen Bergli-johnsen;M;BMK;Menn senior;4;0:06:20;2;0:03:26;6;0:02:55;4;0:04:30;4;0:03:56;00:21:07;;
141;Simen Smestad;M;SK Rye;Menn senior;5;0:06:25;3;0:03:26;4;0:02:53;5;0:04:35;7;0:04:04;00:21:23;;
136;Niklas Wallner;M;#sponsorme;Menn senior;6;0:06:29;6;0:03:30;5;0:02:54;6;0:04:37;5;0:03:57;00:21:27;;
137;Adrian Hörnqvist;M;Svenska dansband;Menn senior;8;0:06:41;9;0:03:35;7;0:02:58;9;0:04:48;6;0:04:01;00:22:03;;
129;Michael Cook;M;IK HERO;Menn senior;9;0:06:43;8;0:03:34;12;0:03:08;8;0:04:43;10;0:04:09;00:22:17;;
44;Magnus Slinger Sørli;M;Svelvik SK;Menn senior;10;0:06:50;7;0:03:32;8;0:03:02;7;0:04:41;32;0:04:40;00:22:45;;
138;Simon Carlsson;M;Trosabygdens OK;Menn senior;11;0:06:50;10;0:03:38;15;0:03:11;17;0:05:10;9;0:04:09;00:22:58;;
133;Jon Bokrantz;M;Norrøna / Specialized;Menn senior;12;0:07:04;12;0:03:41;19;0:03:15;13;0:04:55;8;0:04:08;00:23:03;;
142;Anders Skarstein;M;Santa Cruz Norge;Menn senior;14;0:07:16;21;0:03:54;14;0:03:11;10;0:04:50;11;0:04:11;00:23:22;;
139;Daniel Bagge;M;CK master;Menn senior;17;0:07:18;14;0:03:43;17;0:03:13;20;0:05:14;14;0:04:15;00:23:43;;
126;Atle Laakso;M;NTG Lillehammer;Menn senior;19;0:07:21;33;0:04:04;13;0:03:08;14;0:05:05;13;0:04:14;00:23:52;;
