bib;name;Class;gender;FE1 Pos;FE1;FE2 Pos;FE2;FE3 Pos;FE3;FE4 Pos;FE4;FE5 Pos;FE5;FE6 Pos;FE6;Club
3;Hilde Strædet;Kvinner senior;F;2;0:03:17;1;0:02:03;3;0:02:04;2;0:02:22;1;0:02:09;1;0:01:25;Kristiansand cykleklubb
1;Vera Leivsdottir;Kvinner senior;F;4;0:03:27;2;0:02:04;1;0:01:58;1;0:02:21;2;0:02:12;2;0:01:25;Bergen MTB
2;Anette Røssum Bastnes;Kvinner senior;F;3;0:03:21;4;0:02:10;2;0:02:03;3;0:02:25;3;0:02:18;3;0:01:28;Team Ibis
8;Anna Littorin-Sandbu;Kvinner senior;F;5;0:03:36;6;0:02:12;7;0:02:21;5;0:02:34;5;0:02:25;4;0:01:28;SK Rye
4;Else Bratteland;Kvinner senior;F;6;0:03:40;5;0:02:10;4;0:02:07;6;0:02:49;6;0:02:28;5;0:01:32;SK Rye
12;Stina Bondehagen;Kvinner senior;F;1;0:03:15;3;0:02:05;9;0:02:48;4;0:02:29;4;0:02:25;8;0:01:44;SK Rye
9;Linda Lønmo;Kvinner senior;F;7;0:03:41;7;0:02:23;8;0:02:25;7;0:02:50;7;0:02:33;6;0:01:40;Aron SK
6;Ida Rydland Nærum;Kvinner senior;F;8;0:03:48;8;0:02:26;5;0:02:12;8;0:03:02;8;0:02:38;7;0:01:44;CK Nittedal
7;Sinimarja Vainio;Kvinner senior;F;10;0:04:43;10;0:02:48;6;0:02:13;10;0:03:24;9;0:03:02;10;0:01:58;
14;Kirstin Leiren;Kvinner senior;F;9;0:04:23;9;0:02:35;11;0:03:11;9;0:03:08;11;0:03:13;9;0:01:54;Sagene IF sykkel 
13;Elise Bugge;Kvinner senior;F;11;0:04:58;11;0:03:02;10;0:02:50;11;0:03:44;10;0:03:12;11;0:02:03;
145;Magnus Slinger Sørli;Menn senior;M;6;0:02:48;4;0:01:42;4;0:01:41;3;0:02:01;1;0:01:47;1;0:01:10;Team Santa Cruz
141;Simon Carlsson;Menn senior;M;5;0:02:47;2;0:01:41;2;0:01:40;5;0:02:03;3;0:01:50;3;0:01:12;Trosabygdens OK
143;Espen Bergli-johnsen;Menn senior;M;1;0:02:41;1;0:01:41;9;0:01:45;2;0:02:00;2;0:01:48;16;0:01:18;Bergen MTB
149;Anton Karlsson;Menn senior;M;7;0:02:48;3;0:01:42;7;0:01:41;4;0:02:03;5;0:01:52;2;0:01:11;Ulricehamn CK 
142;Andreas Øhrn;Menn senior;M;2;0:02:45;5;0:01:43;6;0:01:41;14;0:02:14;4;0:01:50;5;0:01:14;Oppdal SK
146;Gard Brovold;Menn senior;M;10;0:02:50;9;0:01:48;8;0:01:45;6;0:02:03;24;0:02:09;4;0:01:12;Maridalen skiklubb
156;Bård Stærkebye Pettersen;Menn senior;M;4;0:02:47;27;0:01:57;10;0:01:45;8;0:02:07;8;0:01:57;7;0:01:14;Team Sykleriet
90;Jostein Hole;Menn senior;M;11;0:02:52;8;0:01:48;5;0:01:41;7;0:02:05;23;0:02:09;11;0:01:16;Aron SK
153;Pontus Olofsson;Menn senior;M;17;0:03:00;7;0:01:48;15;0:01:47;9;0:02:08;6;0:01:56;9;0:01:15;Göteborgs Stigcyklister
151;Andreas Aalby;Menn senior;M;14;0:02:56;12;0:01:50;12;0:01:47;10;0:02:10;9;0:02:00;8;0:01:14;Asker CK
144;Anders Skarstein;Menn senior;M;8;0:02:49;11;0:01:50;13;0:01:47;12;0:02:13;18;0:02:07;10;0:01:16;Team Santa Cruz
158;Baard Hellebostad;Menn senior;M;12;0:02:55;14;0:01:51;19;0:01:51;26;0:02:17;7;0:01:57;12;0:01:17;Aron SK
136;Arne Varhaug;Menn senior;M;9;0:02:49;13;0:01:50;1;0:01:40;17;0:02:15;65;0:02:33;6;0:01:14;
147;Niklas Bergström;Menn senior;M;24;0:03:06;18;0:01:53;16;0:01:51;15;0:02:14;13;0:02:03;18;0:01:19;
86;Bastian Haug;Menn senior;M;19;0:03:04;25;0:01:57;29;0:01:55;24;0:02:16;11;0:02:02;14;0:01:17;Team Follo Ung
155;Kristoffer Engen;Menn senior;M;32;0:03:11;15;0:01:51;23;0:01:53;13;0:02:13;15;0:02:03;21;0:01:20;Hemsedal IL sykkel
169;Joffrey Thevenon;Menn senior;M;18;0:03:03;22;0:01:56;28;0:01:54;25;0:02:16;12;0:02:02;31;0:01:22;BMC
154;Erlend Hegrum Askjer;Menn senior;M;20;0:03:04;21;0:01:56;18;0:01:51;27;0:02:18;16;0:02:05;32;0:01:22;Horten OCK
152;Pontus Bard;Menn senior;M;27;0:03:09;32;0:01:58;25;0:01:53;21;0:02:15;25;0:02:09;20;0:01:20;NSK
93;Eirik Jelstad;Menn senior;M;35;0:03:13;20;0:01:55;14;0:01:47;49;0:02:29;10;0:02:01;22;0:01:20;
165;Jonas Olsson;Menn senior;M;21;0:03:04;26;0:01:57;37;0:01:57;29;0:02:18;19;0:02:07;37;0:01:24;SK Rye
107;Fredrik Minde;Menn senior;M;29;0:03:09;35;0:02:01;22;0:01:52;30;0:02:20;21;0:02:08;23;0:01:20;Bergen MTB
159;Harald Brekke;Menn senior;M;34;0:03:13;31;0:01:58;36;0:01:57;19;0:02:15;17;0:02:06;30;0:01:22;Team Ibis
161;Ola Ranes;Menn senior;M;26;0:03:09;33;0:01:59;33;0:01:56;34;0:02:22;26;0:02:09;27;0:01:20;Bergen MTB
164;Simen Kalnæs Danielsen;Menn senior;M;13;0:02:56;16;0:01:52;26;0:01:54;61;0:02:34;51;0:02:22;13;0:01:17;Drøbak sk
89;Arild Heimli Johnsen;Menn senior;M;33;0:03:12;24;0:01:56;17;0:01:51;22;0:02:16;59;0:02:27;25;0:01:20;
137;Thomas Velde;Menn senior;M;22;0:03:04;19;0:01:55;21;0:01:52;16;0:02:14;72;0:02:37;26;0:01:20;Drøbak-Frognn IL sykkel
162;Niklas Halvorsen;Menn senior;M;50;0:03:21;29;0:01:57;49;0:02:02;23;0:02:16;20;0:02:08;29;0:01:21;KCK
104;Johannes Lund;Menn senior;M;23;0:03:05;23;0:01:56;80;0:02:28;20;0:02:15;14;0:02:03;17;0:01:19;Sogn CK
61;Ole André Tveit;Menn senior;M;37;0:03:14;34;0:02:01;35;0:01:57;36;0:02:24;28;0:02:10;34;0:01:22;Kragerø Sykkelklubb
170;Tage Rickard Sundell;Menn senior;M;56;0:03:23;36;0:02:01;24;0:01:53;33;0:02:22;31;0:02:11;15;0:01:18;Sogn CK
