bib;name;Class;club;FE1 Pos;FE1;FE2 Pos;FE2;FE3 Pos;FE3;FE4 Pos;FE4;chiptime;Pos Klasse;gender
18;Berit Nordsæter Resell;Kvinner;TVK;1;0:04:27;1;0:03:37;1;0:06:10;1;0:04:20;;;F
11;Anette Røssum Bastnes;Kvinner;Team Ibis Norge og SK Rye;2;0:04:27;2;0:03:40;2;0:06:11;2;0:04:22;;;F
17;Else Bratteland;Kvinner;Sk Rye/Atomic speed goats;4;0:04:34;5;0:03:54;4;0:06:57;4;0:04:35;;;F
15;Martine Stenbro;Kvinner;Team Milslukern;3;0:04:32;3;0:03:44;9;0:07:22;3;0:04:30;;;F
13;Lene Snerk Pettersen;Kvinner;Eidanger GROMS;5;0:04:50;4;0:03:54;3;0:06:44;5;0:04:52;;;F
19;Anna Littorin-Sandbu;Kvinner;Sk Rye;6;0:04:56;10;0:04:16;6;0:07:11;6;0:05:07;;;F
14;Ida Rydland Nærum;Kvinner;CK Nittedal;10;0:05:21;6;0:04:07;5;0:07:07;7;0:05:18;;;F
10;Linda Lønmo;Kvinner;Aron SK;8;0:05:14;7;0:04:09;8;0:07:13;10;0:05:35;;;F
12;Silje Holmsen;Kvinner;Aron SK;9;0:05:19;8;0:04:14;7;0:07:13;9;0:05:25;;;F
16;Maria Bergli;Kvinner;Aron SK Sykkel;7;0:05:02;9;0:04:16;10;0:07:29;8;0:05:24;;;F
3;Kristine Skeie;Kvinner;CK Nittedal;11;0:05:54;11;0:04:28;11;0:08:20;11;0:05:49;;;F
8;Mari Langehaug;Kvinner;;13;0:06:29;12;0:04:56;15;0:08:47;12;0:06:09;;;F
9;Elin K Morgan;Kvinner;Letth;12;0:06:18;13;0:05:01;12;0:08:32;15;0:06:35;;;F
7;Cecilie Bergli;Kvinner;Aron SK;14;0:06:33;14;0:05:01;14;0:08:36;13;0:06:28;;;F
6;Elise Bugge;Kvinner;;16;0:06:36;15;0:05:02;13;0:08:35;14;0:06:34;;;F
1;Siv Elisabeth Nygaard;Kvinner; Gresvik IF Stisyklister;17;0:06:47;17;0:05:19;16;0:08:50;16;0:06:38;;;F
5;Kari Gulden Olstad;Kvinner;CK Nittedal;15;0:06:35;16;0:05:14;18;0:09:34;18;0:07:16;;;F
