"Bib","Firstname","Surname","NameFormatted","Gender","Nation","Club","Team","ClubTeamFormatted","Chips","EventName","ClassName","GroupdName","RaceName","PointName","PointNumber","Lap","Status","Communique","Penalty","PassingTime","AccumulatedTime","TimeFormatted","NetTime","NetTimeFormatted","TimeSmoothed","TimeSmoothedFormatted","LapTime","LapTimeFormatted","LapNetTime","LapNetTimeFormatted","LapTimeSmoothed","RankTotal","DiffTimeTotal","DiffTimeTotalFormatted","DiffRoundsTotal","RankClass","DiffTimeClass","DiffTimeClassFormatted","DiffRoundsClass","RankGender","DiffTimeGender","DiffTimeGenderFormatted","DiffRoundsGender","Starttime","StarttimeFormatted","Wavestart","WavestartFormatted","IOC Code","SplitTime","SplitRankTotal","SplitRankGender","SplitRankClass","TrendTotal","TrendGender","TrendClass","Region","Points","SplitKm","SplitSpeed","RoleKm", "RoleFinish","ValidationTime","ValidationTimeFormatted"
28,"Anders","Røkenes","Anders Røkenes","M","NO","Harstad CK","","Harstad CK","3925328;;","Harstad Enduro Race 2019_FE4","MMaster","Harstad Enduro 5 etapper","Harstad Enduro 2019 5 etapper","Mål FE4",2,1,"TIME","","","2019-08-25T13:41:51.8810000",229000,"3:49.0",229000,"3:49.0",229000,"2019-08-25T13:41:51.8810000",229000,"3:49.0",229000,"3:49.0",229000,1,0,"0:00.0",0,1,0,"0:00.0",0,1,0,"0:00.0",0,"2019-08-25T13:38:02.808000","13:38:02","","","NOR",229000,0,0,0,0,0,0,"NCF Region Nord",0,0,0,0,"True",0,0,"3:49.0",0,"no",0,""
39,"Stian","Storeng","Stian Storeng","M","NO","Harstad CK","","Harstad CK","3926342;;","Harstad Enduro Race 2019_FE4","MMaster","Harstad Enduro 5 etapper","Harstad Enduro 2019 5 etapper","Mål FE4",2,1,"TIME","","","2019-08-25T13:40:29.3640000",235400,"3:55.4",235400,"3:55.4",235400,"2019-08-25T13:40:29.3640000",235400,"3:55.4",235400,"3:55.4",235400,2,6400,"0:06.4",0,2,6400,"0:06.4",0,2,6400,"0:06.4",0,"2019-08-25T13:36:33.911000","13:36:33","","","NOR",235400,0,0,0,0,0,0,"NCF Region Nord",0,0,0,0,"True",0,0,"3:55.4",0,"no",0,""
25,"William","Salminen","William Salminen","M","NO","Harstad CK","","Harstad CK","3924701;;","Harstad Enduro Race 2019_FE4","MMaster","Harstad Enduro 5 etapper","Harstad Enduro 2019 5 etapper","Mål FE4",2,1,"TIME","","","2019-08-25T13:39:47.4800000",254800,"4:14.8",254800,"4:14.8",254800,"2019-08-25T13:39:47.4800000",254800,"4:14.8",254800,"4:14.8",254800,8,25800,"0:25.8",0,3,25800,"0:25.8",0,8,25800,"0:25.8",0,"2019-08-25T13:35:32.654000","13:35:32","","","NOR",254800,0,0,0,0,0,0,"NCF Region Nord",0,0,0,0,"True",0,0,"4:14.8",0,"no",0,""
14,"Reidar","Melå Sæterhaug","Reidar Melå Sæterhaug","M","NO","","","Chickenrun","3195294;;","Harstad Enduro Race 2019_FE4","MMaster","Harstad Enduro 5 etapper","Harstad Enduro 2019 5 etapper","Mål FE4",2,1,"TIME","","","2019-08-25T13:59:31.4130000",268500,"4:28.5",268500,"4:28.5",268500,"2019-08-25T13:59:31.4130000",268500,"4:28.5",268500,"4:28.5",268500,17,39500,"0:39.5",0,4,39500,"0:39.5",0,17,39500,"0:39.5",0,"2019-08-25T13:55:02.838000","13:55:02","","","NOR",268500,0,0,0,0,0,0,"",0,0,0,0,"True",0,0,"4:28.5",0,"no",0,""
37,"Arnulf O.","Prestbakmo","Arnulf O. Prestbakmo","M","NO","Harstad CK","","Harstad CK / HCK","3925724;;","Harstad Enduro Race 2019_FE4","MMaster","Harstad Enduro 5 etapper","Harstad Enduro 2019 5 etapper","Mål FE4",2,1,"TIME","","","2019-08-25T14:01:09.3200000",276700,"4:36.7",276700,"4:36.7",276700,"2019-08-25T14:01:09.3200000",276700,"4:36.7",276700,"4:36.7",276700,22,47700,"0:47.7",0,5,47700,"0:47.7",0,22,47700,"0:47.7",0,"2019-08-25T13:56:32.620000","13:56:32","","","NOR",276700,0,0,0,0,0,0,"NCF Region Nord",0,0,0,0,"True",0,0,"4:36.7",0,"no",0,""
33,"Bjørn-Ståle","Larsen","Bjørn-Ståle Larsen","M","NO","Lofoten Ekstremsportklubb","","Lofoten Ekstremsportklubb","3911799;;","Harstad Enduro Race 2019_FE4","MMaster","Harstad Enduro 5 etapper","Harstad Enduro 2019 5 etapper","Mål FE4",2,1,"TIME","","","2019-08-25T13:51:14.4100000",281700,"4:41.7",281700,"4:41.7",281700,"2019-08-25T13:51:14.4100000",281700,"4:41.7",281700,"4:41.7",281700,24,52700,"0:52.7",0,6,52700,"0:52.7",0,24,52700,"0:52.7",0,"2019-08-25T13:46:32.643000","13:46:32","","","NOR",281700,0,0,0,0,0,0,"NCF Region Nord",0,0,0,0,"True",0,0,"4:41.7",0,"no",0,""
2,"Frode","Bredesen","Frode Bredesen","M","NO","Harstad CK","","Harstad CK","3194024;;","Harstad Enduro Race 2019_FE4","MMaster","Harstad Enduro 5 etapper","Harstad Enduro 2019 5 etapper","Mål FE4",2,1,"TIME","","","2019-08-25T13:53:49.8170000",286000,"4:46.0",286000,"4:46.0",286000,"2019-08-25T13:53:49.8170000",286000,"4:46.0",286000,"4:46.0",286000,28,57000,"0:57.0",0,7,57000,"0:57.0",0,28,57000,"0:57.0",0,"2019-08-25T13:49:03.744000","13:49:03","","","NOR",286000,0,0,0,0,0,0,"NCF Region Nord",0,0,0,0,"True",0,0,"4:46.0",0,"no",0,""
46,"Tommy","Sørensen","Tommy Sørensen","M","NO","Harstad CK","","Harstad CK","3600814;;","Harstad Enduro Race 2019_FE4","MMaster","Harstad Enduro 5 etapper","Harstad Enduro 2019 5 etapper","Mål FE4",2,1,"TIME","","","2019-08-25T13:55:48.4960000",288100,"4:48.1",288100,"4:48.1",288100,"2019-08-25T13:55:48.4960000",288100,"4:48.1",288100,"4:48.1",288100,29,59100,"0:59.1",0,8,59100,"0:59.1",0,29,59100,"0:59.1",0,"2019-08-25T13:51:00.361000","13:51:00","","","NOR",288100,0,0,0,0,0,0,"NCF Region Nord",0,0,0,0,"True",0,0,"4:48.1",0,"no",0,""
24,"Lars-Erik M.","Solheim","Lars-Erik M. Solheim","M","NO","","","Chickenrun","3926631;;","Harstad Enduro Race 2019_FE4","MMaster","Harstad Enduro 5 etapper","Harstad Enduro 2019 5 etapper","Mål FE4",2,1,"TIME","","","2019-08-25T14:00:22.6310000",288600,"4:48.6",288600,"4:48.6",288600,"2019-08-25T14:00:22.6310000",288600,"4:48.6",288600,"4:48.6",288600,30,59600,"0:59.6",0,9,59600,"0:59.6",0,30,59600,"0:59.6",0,"2019-08-25T13:55:33.997000","13:55:33","","","NOR",288600,0,0,0,0,0,0,"",0,0,0,0,"True",0,0,"4:48.6",0,"no",0,""
9,"Lars A.","Uttakleiv","Lars A. Uttakleiv","M","NO","Harstad CK","","Harstad CK","3196920;;","Harstad Enduro Race 2019_FE4","MMaster","Harstad Enduro 5 etapper","Harstad Enduro 2019 5 etapper","Mål FE4",2,1,"TIME","","","2019-08-25T13:55:02.3510000",298500,"4:58.5",298500,"4:58.5",298500,"2019-08-25T13:55:02.3510000",298500,"4:58.5",298500,"4:58.5",298500,35,69500,"1:09.5",0,10,69500,"1:09.5",0,35,69500,"1:09.5",0,"2019-08-25T13:50:03.775000","13:50:03","","","NOR",298500,0,0,0,0,0,0,"NCF Region Nord",0,0,0,0,"True",0,0,"4:58.5",0,"no",0,""
