"Bib","Firstname","Surname","NameFormatted","Gender","Nation","Club","Team","ClubTeamFormatted","Chips","EventName","ClassName","GroupdName","RaceName","PointName","PointNumber","Lap","Status","Communique","Penalty","PassingTime","AccumulatedTime","TimeFormatted","NetTime","NetTimeFormatted","TimeSmoothed","TimeSmoothedFormatted","LapTime","LapTimeFormatted","LapNetTime","LapNetTimeFormatted","LapTimeSmoothed","RankTotal","DiffTimeTotal","DiffTimeTotalFormatted","DiffRoundsTotal","RankClass","DiffTimeClass","DiffTimeClassFormatted","DiffRoundsClass","RankGender","DiffTimeGender","DiffTimeGenderFormatted","DiffRoundsGender","Starttime","StarttimeFormatted","Wavestart","WavestartFormatted","IOC Code","SplitTime","SplitRankTotal","SplitRankGender","SplitRankClass","TrendTotal","TrendGender","TrendClass","Region","Points","SplitKm","SplitSpeed","RoleKm", "RoleFinish","ValidationTime","ValidationTimeFormatted"
7,"Edvard","Vea Iversen","Edvard Vea Iversen","M","NO","","","TERRÅK","3199445;;","Harstad Enduro Race 2019_FE5","M Sport 17- 39","Harstad Enduro 5 etapper","Harstad Enduro 2019 5 etapper","Mål FE5",2,1,"TIME","","","2019-08-25T14:30:18.4840000",135500,"2:15.5",135500,"2:15.5",135500,"2019-08-25T14:30:18.4840000",135500,"2:15.5",135500,"2:15.5",135500,1,0,"0:00.0",0,1,0,"0:00.0",0,1,0,"0:00.0",0,"2019-08-25T14:28:02.946000","14:28:02","","","NOR",135500,0,0,0,0,0,0,"",0,0,0,0,"True",0,0,"2:15.5",0,"no",0,""
43,"Einar","Frønum","Einar Frønum","M","NO","Harstad CK","","Harstad CK","3925351;;","Harstad Enduro Race 2019_FE5","M Sport 17- 39","Harstad Enduro 5 etapper","Harstad Enduro 2019 5 etapper","Mål FE5",2,1,"TIME","","","2019-08-25T14:39:33.6260000",139900,"2:19.9",139900,"2:19.9",139900,"2019-08-25T14:39:33.6260000",139900,"2:19.9",139900,"2:19.9",139900,4,4400,"0:04.4",0,2,4400,"0:04.4",0,4,4400,"0:04.4",0,"2019-08-25T14:37:13.653000","14:37:13","","","NOR",139900,0,0,0,0,0,0,"NCF Region Nord",0,0,0,0,"True",0,0,"2:19.9",0,"no",0,""
16,"Christoffer Borge","Olsen","Christoffer Borge Olsen","M","NO","Aron Skiklubb","","Aron Skiklubb","3198744;;","Harstad Enduro Race 2019_FE5","M Sport 17- 39","Harstad Enduro 5 etapper","Harstad Enduro 2019 5 etapper","Mål FE5",2,1,"TIME","","","2019-08-25T14:30:08.1460000",144900,"2:24.9",144900,"2:24.9",144900,"2019-08-25T14:30:08.1460000",144900,"2:24.9",144900,"2:24.9",144900,6,9400,"0:09.4",0,3,9400,"0:09.4",0,6,9400,"0:09.4",0,"2019-08-25T14:27:43.230000","14:27:43","","","NOR",144900,0,0,0,0,0,0,"NCF Region TeVeBu",0,0,0,0,"True",0,0,"2:24.9",0,"no",0,""
66,"Håvard","Torvanger","Håvard Torvanger","M","NO","Harstad CK","","Harstad CK","4045910;;","Harstad Enduro Race 2019_FE5","M Sport 17- 39","Harstad Enduro 5 etapper","Harstad Enduro 2019 5 etapper","Mål FE5",2,1,"TIME","","","2019-08-25T14:32:28.5710000",145400,"2:25.4",145400,"2:25.4",145400,"2019-08-25T14:32:28.5710000",145400,"2:25.4",145400,"2:25.4",145400,7,9900,"0:09.9",0,4,9900,"0:09.9",0,7,9900,"0:09.9",0,"2019-08-25T14:30:03.155000","14:30:03","","","NOR",145400,0,0,0,0,0,0,"NCF Region Nord",0,0,0,0,"True",0,0,"2:25.4",0,"no",0,""
34,"Tord","Nese","Tord Nese","M","NO","","","Tromsø Enduro/Bjørn Bygg","3926326;;","Harstad Enduro Race 2019_FE5","M Sport 17- 39","Harstad Enduro 5 etapper","Harstad Enduro 2019 5 etapper","Mål FE5",2,1,"TIME","","","2019-08-25T14:35:09.1330000",146500,"2:26.5",146500,"2:26.5",146500,"2019-08-25T14:35:09.1330000",146500,"2:26.5",146500,"2:26.5",146500,8,11000,"0:11.0",0,5,11000,"0:11.0",0,8,11000,"0:11.0",0,"2019-08-25T14:32:42.596000","14:32:42","","","NOR",146500,0,0,0,0,0,0,"",0,0,0,0,"True",0,0,"2:26.5",0,"no",0,""
10,"Vidar","Wensel","Vidar Wensel","M","NO","Senja CK","","Senja CK / Enduro","3197001;;","Harstad Enduro Race 2019_FE5","M Sport 17- 39","Harstad Enduro 5 etapper","Harstad Enduro 2019 5 etapper","Mål FE5",2,1,"TIME","","","2019-08-25T14:36:48.9120000",147300,"2:27.3",147300,"2:27.3",147300,"2019-08-25T14:36:48.9120000",147300,"2:27.3",147300,"2:27.3",147300,9,11800,"0:11.8",0,6,11800,"0:11.8",0,9,11800,"0:11.8",0,"2019-08-25T14:34:21.564000","14:34:21","","","NOR",147300,0,0,0,0,0,0,"NCF Region Nord",0,0,0,0,"True",0,0,"2:27.3",0,"no",0,""
40,"Ole-Martin","Kjellmo","Ole-Martin Kjellmo","M","NO","","","BARDUFOSS","3926599;;","Harstad Enduro Race 2019_FE5","M Sport 17- 39","Harstad Enduro 5 etapper","Harstad Enduro 2019 5 etapper","Mål FE5",2,1,"TIME","","","2019-08-25T14:36:29.6640000",148000,"2:28.0",148000,"2:28.0",148000,"2019-08-25T14:36:29.6640000",148000,"2:28.0",148000,"2:28.0",148000,10,12500,"0:12.5",0,7,12500,"0:12.5",0,10,12500,"0:12.5",0,"2019-08-25T14:34:01.626000","14:34:01","","","NOR",148000,0,0,0,0,0,0,"",0,0,0,0,"True",0,0,"2:28.0",0,"no",0,""
81,"Armands","Zarins","Armands Zarins","M","LV","","","Velosolutions we Build Parks","4047502;;","Harstad Enduro Race 2019_FE5","M Sport 17- 39","Harstad Enduro 5 etapper","Harstad Enduro 2019 5 etapper","Mål FE5",2,1,"TIME","","","2019-08-25T14:38:51.8300000",148800,"2:28.8",148800,"2:28.8",148800,"2019-08-25T14:38:51.8300000",148800,"2:28.8",148800,"2:28.8",148800,11,13300,"0:13.3",0,8,13300,"0:13.3",0,11,13300,"0:13.3",0,"2019-08-25T14:36:22.981000","14:36:22","","","LAT",148800,0,0,0,0,0,0,"",0,0,0,0,"True",0,0,"2:28.8",0,"lv",0,""
12,"Martin","Liane","Martin Liane","M","NO","Harstad CK","","Harstad CK","3197407;;","Harstad Enduro Race 2019_FE5","M Sport 17- 39","Harstad Enduro 5 etapper","Harstad Enduro 2019 5 etapper","Mål FE5",2,1,"TIME","","","2019-08-25T14:31:54.9700000",152000,"2:32.0",152000,"2:32.0",152000,"2019-08-25T14:31:54.9700000",152000,"2:32.0",152000,"2:32.0",152000,12,16500,"0:16.5",0,9,16500,"0:16.5",0,12,16500,"0:16.5",0,"2019-08-25T14:29:22.933000","14:29:22","","","NOR",152000,0,0,0,0,0,0,"NCF Region Nord",0,0,0,0,"True",0,0,"2:32.0",0,"no",0,""
17,"Knut","Joramo","Knut Joramo","M","NO","","","Bardufoss","3198942;;","Harstad Enduro Race 2019_FE5","M Sport 17- 39","Harstad Enduro 5 etapper","Harstad Enduro 2019 5 etapper","Mål FE5",2,1,"TIME","","","2019-08-25T14:37:34.0680000",152200,"2:32.2",152200,"2:32.2",152200,"2019-08-25T14:37:34.0680000",152200,"2:32.2",152200,"2:32.2",152200,13,16700,"0:16.7",0,10,16700,"0:16.7",0,13,16700,"0:16.7",0,"2019-08-25T14:35:01.843000","14:35:01","","","NOR",152200,0,0,0,0,0,0,"",0,0,0,0,"True",0,0,"2:32.2",0,"no",0,""
