"Bib","Firstname","Surname","NameFormatted","Gender","Nation","Club","Team","ClubTeamFormatted","Chips","EventName","ClassName","GroupdName","RaceName","PointName","PointNumber","Lap","Status","Communique","Penalty","PassingTime","AccumulatedTime","TimeFormatted","NetTime","NetTimeFormatted","TimeSmoothed","TimeSmoothedFormatted","LapTime","LapTimeFormatted","LapNetTime","LapNetTimeFormatted","LapTimeSmoothed","RankTotal","DiffTimeTotal","DiffTimeTotalFormatted","DiffRoundsTotal","RankClass","DiffTimeClass","DiffTimeClassFormatted","DiffRoundsClass","RankGender","DiffTimeGender","DiffTimeGenderFormatted","DiffRoundsGender","Starttime","StarttimeFormatted","Wavestart","WavestartFormatted","IOC Code","SplitTime","SplitRankTotal","SplitRankGender","SplitRankClass","TrendTotal","TrendGender","TrendClass","Region","Points","SplitKm","SplitSpeed","RoleKm", "RoleFinish","ValidationTime","ValidationTimeFormatted"
74,"Odd Brage","Skog","Odd Brage Skog","M","NO","Mosjøen og Omegn CK","","Mosjøen og Omegn CK","4043881;;","Harstad Enduro Race 2019_FE5","Junior 15-16","Harstad Enduro Junior","Harstad Enduro Race Junior","Mål FE5",2,1,"TIME","","","2019-08-25T14:21:35.7910000",152900,"2:32.9",152900,"2:32.9",152900,"2019-08-25T14:21:35.7910000",152900,"2:32.9",152900,"2:32.9",152900,1,0,"0:00.0",0,1,0,"0:00.0",0,1,0,"0:00.0",0,"2019-08-25T14:19:02.883000","14:19:02","","","NOR",152900,0,0,0,0,0,0,"NCF Region Midt",0,0,0,0,"True",0,0,"2:32.9",0,"no",0,""
75,"Thomas","Hansen","Thomas Hansen","M","NO","Harstad CK","","Harstad CK / Hatstad Cykelklubb","4047528;;","Harstad Enduro Race 2019_FE5","Junior 15-16","Harstad Enduro Junior","Harstad Enduro Race Junior","Mål FE5",2,1,"TIME","","","2019-08-25T14:23:52.8520000",189500,"3:09.5",189500,"3:09.5",189500,"2019-08-25T14:23:52.8520000",189500,"3:09.5",189500,"3:09.5",189500,2,36600,"0:36.6",0,2,36600,"0:36.6",0,2,36600,"0:36.6",0,"2019-08-25T14:20:43.314000","14:20:43","","","NOR",189500,0,0,0,0,0,0,"NCF Region Nord",0,0,0,0,"True",0,0,"3:09.5",0,"no",0,""
76,"Sebastian Molund","Enoksen","Sebastian Molund Enoksen","M","NO","Harstad CK","","Harstad CK / Leon Sport","4043980;;","Harstad Enduro Race 2019_FE5","Junior 13-14","Harstad Enduro Junior","Harstad Enduro Race Junior","Mål FE5",2,1,"TIME","","","2019-08-25T14:23:23.3380000",180000,"3:00.0",180000,"3:00.0",180000,"2019-08-25T14:23:23.3380000",180000,"3:00.0",180000,"3:00.0",180000,"",27100,"0:27.1",0,"",0,"0:00.0",0,"",27100,"0:27.1",0,"2019-08-25T14:20:23.303000","14:20:23","","","NOR",180000,"","","","","","","NCF Region Nord",0,0,0,0,"True",0,0,"3:00.0",0,"no",0,""
70,"Ida","Haugsmark","Ida Haugsmark","F","NO","Harstad CK","","Harstad CK","4045357;;","Harstad Enduro Race 2019_FE5","Junior 11-12","Harstad Enduro Junior","Harstad Enduro Race Junior","Mål FE5",2,1,"TIME","","","2019-08-25T14:27:34.9180000",291300,"4:51.3",291300,"4:51.3",291300,"2019-08-25T14:27:34.9180000",291300,"4:51.3",291300,"4:51.3",291300,"",138400,"2:18.4",0,"",0,"0:00.0",0,"",0,"0:00.0",0,"2019-08-25T14:22:43.566000","14:22:43","","","NOR",291300,"","","","","","","NCF Region Nord",0,0,0,0,"True",0,0,"4:51.3",0,"no",0,""
78,"Jakob Dreyer","Holen","Jakob Dreyer Holen","M","NO","","","Narvik Slalåmklubb","4047783;;","Harstad Enduro Race 2019_FE5","Junior 11-12","Harstad Enduro Junior","Harstad Enduro Race Junior","Mål FE5",2,1,"TIME","","","2019-08-25T14:22:40.1040000",176200,"2:56.2",176200,"2:56.2",176200,"2019-08-25T14:22:40.1040000",176200,"2:56.2",176200,"2:56.2",176200,"",23300,"0:23.3",0,"",-115100,"1:55.1",0,"",23300,"0:23.3",0,"2019-08-25T14:19:43.817000","14:19:43","","","NOR",176200,"","","","","","","",0,0,0,0,"True",0,0,"2:56.2",0,"no",0,""
73,"Einar S","Instanes","Einar S Instanes","M","NO","","","Harstad CK","4043956;;","Harstad Enduro Race 2019_FE5","Junior 11-12","Harstad Enduro Junior","Harstad Enduro Race Junior","Mål FE5",2,1,"TIME","","","2019-08-25T14:25:58.2070000",214800,"3:34.8",214800,"3:34.8",214800,"2019-08-25T14:25:58.2070000",214800,"3:34.8",214800,"3:34.8",214800,"",61900,"1:01.9",0,"",-76500,"1:16.5",0,"",61900,"1:01.9",0,"2019-08-25T14:22:23.357000","14:22:23","","","NOR",214800,"","","","","","","",0,0,0,0,"True",0,0,"3:34.8",0,"no",0,""
77,"Roel-Johan","Johansen","Roel-Johan Johansen","M","NO","Lofoten Ekstremsportklubb","","Lofoten Ekstremsportklubb","4048146;;","Harstad Enduro Race 2019_FE5","Junior 13-14","Harstad Enduro Junior","Harstad Enduro Race Junior","Mål FE5",2,1,"TIME","","","2019-08-25T14:25:45.1320000",221400,"3:41.4",221400,"3:41.4",221400,"2019-08-25T14:25:45.1320000",221400,"3:41.4",221400,"3:41.4",221400,"",68500,"1:08.5",0,"",41400,"0:41.4",0,"",68500,"1:08.5",0,"2019-08-25T14:22:03.654000","14:22:03","","","NOR",221400,"","","","","","","NCF Region Nord",0,0,0,0,"True",0,0,"3:41.4",0,"no",0,""
69,"Sigurd Tevik","Klefstad","Sigurd Tevik Klefstad","M","NO","Harstad CK","","Harstad CK","4045977;;","Harstad Enduro Race 2019_FE5","Junior 13-14","Harstad Enduro Junior","Harstad Enduro Race Junior","Mål FE5",2,1,"TIME","","","2019-08-25T14:24:22.4060000",199700,"3:19.7",199700,"3:19.7",199700,"2019-08-25T14:24:22.4060000",199700,"3:19.7",199700,"3:19.7",199700,"",46800,"0:46.8",0,"",19700,"0:19.7",0,"",46800,"0:46.8",0,"2019-08-25T14:21:02.620000","14:21:02","","","NOR",199700,"","","","","","","NCF Region Nord",0,0,0,0,"True",0,0,"3:19.7",0,"no",0,""
71,"Vebjørn","Lunde","Vebjørn Lunde","M","NO","Narvik CK","","Narvik CK","4044335;;","Harstad Enduro Race 2019_FE5","Junior 13-14","Harstad Enduro Junior","Harstad Enduro Race Junior","Mål FE5",2,1,"TIME","","","2019-08-25T14:22:19.4610000",175200,"2:55.2",175200,"2:55.2",175200,"2019-08-25T14:22:19.4610000",175200,"2:55.2",175200,"2:55.2",175200,"",22300,"0:22.3",0,"",-4800,"0:04.8",0,"",22300,"0:22.3",0,"2019-08-25T14:19:24.173000","14:19:24","","","NOR",175200,"","","","","","","NCF Region Nord",0,0,0,0,"True",0,0,"2:55.2",0,"no",0,""
67,"Amund","Røkenes","Amund Røkenes","M","NO","Harstad CK","","Harstad CK","4045969;;","Harstad Enduro Race 2019_FE5","Junior 11-12","Harstad Enduro Junior","Harstad Enduro Race Junior","Mål FE5",2,1,"TIME","","","2019-08-25T14:23:03.6550000",180700,"3:00.7",180700,"3:00.7",180700,"2019-08-25T14:23:03.6550000",180700,"3:00.7",180700,"3:00.7",180700,"",27800,"0:27.8",0,"",-110600,"1:50.6",0,"",27800,"0:27.8",0,"2019-08-25T14:20:02.867000","14:20:02","","","NOR",180700,"","","","","","","NCF Region Nord",0,0,0,0,"True",0,0,"3:00.7",0,"no",0,""
