rank;bib;Class;name;Club;Time;Gap;FE1;FE1 Pos;FE2;FE2 Pos;FE3;FE3 Pos;FE4;FE4 Pos;FE5;FE5 Pos;FE6;FE6 Pos;gender
1;21;Gutter 15-16;William Scheele;SK Rye;00:14:06;;00:02:03;1;00:02:14;1;00:01:45;5;00:01:56;2;00:04:06;1;00:02:02;1;M
2;9;Gutter 15-16;Per Einar Brovold;IL Heming;00:14:24;+00:00:18;00:02:10;4;00:02:21;2;00:01:41;1;00:01:53;1;00:04:09;4;00:02:10;2;M
3;22;Gutter 15-16;Theodor Bakken;Aron SK;00:14:47;+00:00:41;00:02:13;8;00:02:24;3;00:01:42;2;00:01:56;2;00:04:20;5;00:02:12;3;M
4;16;Gutter 15-16;Kevin Scott Johnsen;;00:14:53;+00:00:47;00:02:04;2;00:02:25;5;00:01:44;3;00:02:04;8;00:04:24;7;00:02:12;3;M
5;20;Gutter 15-16;Simen Brekke;Heming;00:15:00;+00:00:54;00:02:06;3;00:02:24;3;00:01:44;3;00:01:58;4;00:04:30;9;00:02:18;9;M
6;17;Gutter 15-16;Mads Langeland;KCK Sykleklubb;00:15:23;+00:01:17;00:02:11;5;00:02:35;8;00:01:54;12;00:02:00;7;00:04:29;8;00:02:14;6;M
7;24;Gutter 15-16;William Rø;;00:15:33;+00:01:27;00:02:27;13;00:02:38;9;00:01:48;7;00:02:04;8;00:04:20;5;00:02:16;8;M
8;26;Gutter 15-16;Alexander Sandengen;Kongens berg sti og landeveis røvere;00:15:39;+00:01:33;00:02:15;9;00:02:28;6;00:01:46;6;00:02:07;11;00:04:33;10;00:02:30;11;M
9;15;Gutter 15-16;Even Western;;00:15:59;+00:01:53;00:02:21;10;00:02:38;9;00:01:48;7;00:02:06;10;00:04:43;12;00:02:23;10;M
10;27;Gutter 15-16;Petter Brochmann;Nittedal ck;00:16:26;+00:02:20;00:02:12;7;00:02:47;11;00:01:52;10;00:01:58;4;00:04:34;11;00:03:03;15;M
11;13;Gutter 15-16;Mads Henrik R. Kjemperud;;00:17:25;+00:03:19;00:02:24;11;00:03:06;13;00:02:10;15;00:02:25;13;00:04:49;13;00:02:31;12;M
12;14;Gutter 15-16;Oscar Holst;;00:17:32;+00:03:26;00:02:24;11;00:02:51;12;00:02:09;14;00:02:19;12;00:05:18;15;00:02:31;12;M
13;19;Gutter 15-16;Sebastien Amat;CKN;00:18:28;+00:04:22;00:02:30;14;00:03:27;14;00:02:03;13;00:02:39;14;00:05:11;14;00:02:38;14;M
14;18;Gutter 15-16;Mikkel Pedersen;IF Frøy;00:18:45;+00:04:39;00:06:09;15;00:02:29;7;00:01:49;9;00:01:59;6;00:04:07;2;00:02:12;3;M
15;12;Gutter 15-16;Aleksander Nilsen;IF Frøy;00:24:44;+00:10:38;00:02:11;5;00:04:02;15;00:01:52;10;00:10:18;15;00:04:07;2;00:02:14;6;M
1;51;Menn junior;Kristian Holiman;SK RYE/Team santa cruz sykler;00:13:09;;00:01:54;1;00:02:01;1;00:01:29;1;00:01:48;1;00:03:57;2;00:02:00;1;M
2;46;Menn junior;Jonas Olsson;Sk Rye;00:13:50;+00:00:41;00:01:57;2;00:02:14;3;00:01:42;5;00:01:54;3;00:04:00;4;00:02:03;2;M
3;53;Menn junior;Tobias Sandengen;Horten OCK;00:14:00;+00:00:51;00:02:03;4;00:02:11;2;00:01:39;4;00:01:54;3;00:04:06;5;00:02:07;3;M
4;47;Menn junior;Sigve Ulleland;Molde CK;00:14:05;+00:00:56;00:02:13;7;00:02:18;6;00:01:38;3;00:01:50;2;00:03:54;1;00:02:12;5;M
5;50;Menn junior;Henrik Langeland Nielsen;Kristiansand CK;00:14:14;+00:01:05;00:02:12;6;00:02:16;4;00:01:42;5;00:01:54;3;00:03:58;3;00:02:12;5;M
6;49;Menn junior;Aslak Lindsetmo;Asker CK;00:14:54;+00:01:45;00:02:02;3;00:02:16;4;00:01:37;2;00:02:02;6;00:04:49;8;00:02:08;4;M
7;45;Menn junior;Lukas Ellingsen;SK Rye Sykkel;00:15:04;+00:01:55;00:02:04;5;00:02:27;7;00:01:55;8;00:02:02;6;00:04:24;7;00:02:12;5;M
8;44;Menn junior;Audun Gaptjern;Nesbyen IL Sykkel;00:16:40;+00:03:31;00:02:15;8;00:02:31;8;00:01:54;7;00:03:24;8;00:04:22;6;00:02:14;8;M
1;32;Kvinner master;Marte Lund;CK Nittedal;00:17:14;;00:02:37;2;00:02:43;1;00:02:05;1;00:02:13;1;00:05:05;1;00:02:31;1;F
