Pos klasse;Total;Diff;name;bib;FE1;FE1 Pos;FE2;FE2 Pos;FE3;FE3 Pos;FE4;FE4 Pos;FE5;FE5 Pos;club;Class;gender
1;23:08;;Hedda Brenningen Bjørklund;13;00:07:11;1;00:01:30;1;00:06:49;1;00:02:56;1;00:04:42;1;Lillehammer CK;U21 Kvinner 17-20 år;F
2;25:46:00;02:38;Anna Littorin-Sandbu;12;00:08:09;2;00:01:33;2;00:07:36;2;00:03:04;2;00:05:24;2;Lillehammer CK;U21 Kvinner 17-20 år;F
3;28:18:00;05:10;Ingeborg Øvreeide;15;00:08:46;3;00:01:47;3;00:08:14;3;00:03:29;3;00:06:02;3;Rye;U21 Kvinner 17-20 år;F
4;33:02:00;09:54;Hanne emilie Tannun;1;00:09:21;4;00:01:49;4;00:09:13;4;00:03:41;4;00:08:58;4;Rye;U21 Kvinner 17-20 år;F
1; 24:55;;Vera Leivsdottir;14;00:07:42;1;00:01:33;1;00:07:33;1;00:03:10;1;00:04:57;1;Bergen MTB klubb;Kvinner senior;F
2; 27:25;02:30;Stine Torgersbråten;8;00:08:29;2;00:01:40;2;00:08:02;2;00:03:22;2;00:05:52;2;Team Letth;Kvinner senior;F
3; 31:29;06:34;Embla Stol Øyan;10;00:08:54;3;00:01:47;3;00:09:09;3;00:03:49;4;00:07:50;6;;Kvinner senior;F
4; 32:01;07:06;Eline Eide Bye;9;00:09:46;6;00:01:53;4;00:09:19;4;00:03:46;3;00:07:17;3;;Kvinner senior;F
5; 32:46;07:51;Tonje Sameien;3;00:09:35;4;00:01:58;6;00:09:37;5;00:03:53;5;00:07:43;4;BIFF;Kvinner senior;F
6; 34:10;09:15;Anne Jorun Gudmestad;4;00:09:41;5;00:01:55;5;00:09:44;6;00:04:06;7;00:08:44;7;;Kvinner senior;F
7; 34:12;09:17;Solveig Mostad;7;00:10:12;7;00:01:59;7;00:10:08;7;00:04:06;6;00:07:47;5;;Kvinner senior;F
8; 37:19;12:24;Charlotte Rapp;5;00:10:59;8;00:02:07;8;00:10:38;8;00:04:26;8;00:09:09;8;Saltsjöbaden CK;Kvinner senior;F
9; 42:01;17:06;Synne Hoggen Nybø;6;00:12:53;10;00:02:13;9;00:10:46;9;00:05:07;9;00:11:02;9;;Kvinner senior;F
DNF;;;Gry Svantesvold;138;00:11:00;9;;DNS;;DNS;;DNS;;DNS;Nesbyen IL;Kvinner senior;F
1; 31:11;; Elinborg Olafsdottir;11;00:09:43;1; 0:01:56 ;1; 0:09:16;1; 0:03:43;1; 0:06:33;1;Bergen MTB klubb;Kvinner master;F
1; 21:54;;Jannik Eschler;17;00:06:54;2;00:01:24;2;00:06:24;1;00:02:43;2;00:04:29;1;BigFriends MTB Team;Gutter 15-16 år;M
2; 22:14;00:20;William Scheele;18;00:06:56;3;00:01:23;1;00:06:32;2;00:02:49;4;00:04:34;2;SK Rye/Team Santa Cruz Sykler;Gutter 15-16 år;M
3; 22:27;00:33;Falk Håkenstad-Bråten;22;00:06:50;1;00:01:25;3;00:06:54;3;00:02:43;3;00:04:35;3;Lillehammer Ck;Gutter 15-16 år;M
4; 23:21;01:27;Eivind Fougner;19;00:06:56;4;00:01:26;5;00:06:55;4;00:02:42;1;00:05:22;9;SK RYE;Gutter 15-16 år;M
5; 24:07;02:13;Kevin Scott Johnsen;24;00:07:19;5;00:01:26;4;00:07:07;5;00:02:59;5;00:05:16;7;;Gutter 15-16 år;M
6; 24:29;02:35;August Mauritzen Presthus;20;00:07:41;6;00:01:34;8;00:07:14;6;00:03:07;9;00:04:53;4;Hafrsfjord Sykkelklubb;Gutter 15-16 år;M
7; 25:07;03:13;Vetle Gikling Borthne;28;00:07:52;9;00:01:34;7;00:07:25;7;00:03:04;7;00:05:12;5;GB Enduro Team;Gutter 15-16 år;M
8; 25:14;03:20;Alexander Bredesen;23;00:07:45;8;00:01:29;6;00:07:40;8;00:03:02;6;00:05:18;8;Yeti cycles norge;Gutter 15-16 år;M
9; 26:48;04:54;Jonas Pablo Sletten Gomez;16;00:08:24;10;00:01:44;10;00:08:20;10;00:03:04;8;00:05:16;6;Bergen MTB klubb;Gutter 15-16 år;M
10;28:30:00;06:36;Jesper Vea Halvorsen;27;00:09:18;13;00:01:46;11;00:08:09;9;00:03:20;11;00:05:57;11;printing;Gutter 15-16 år;M
11;28:34:00;06:40;Sebastien Amat;21;00:08:52;11;00:01:44;9;00:08:53;12;00:03:39;12;00:05:26;10;CK Nittedal;Gutter 15-16 år;M
12;29:17:00;07:23;Ola Trøan;26;00:08:55;12;00:01:56;12;00:08:49;11;00:03:17;10;00:06:20;12;Printing;Gutter 15-16 år;M
DNF;;;Didrik Rundfloen;29;00:07:42;7;00:05:24;13;;DNS;;DNS;;DNS;Trysil;Gutter 15-16 år;M
1; 21:47;;Johan Schjerve;30;00:06:41;1;00:01:23;2;00:06:26;1;00:02:50;2;00:04:27;1;Team nava;Menn master;M
2; 22:16;00:29;Kenneth Lømo;42;00:06:43;2;00:01:28;5;00:06:41;3;00:02:48;1;00:04:36;5;CK Elverum;Menn master;M
3; 22:28;00:41;Are Tallaksrud;31;00:06:53;4;00:01:27;3;00:06:41;4;00:02:52;4;00:04:35;4;ARON SK / Team Santa Cruz Sykler;Menn master;M
4; 22:29;00:42;Fredrik Lysakerrud;127;00:06:44;3;00:01:30;6;00:06:52;7;00:02:51;3;00:04:32;3;Odal SK;Menn master;M
5; 22:40;00:53;Alexander Wellington;45;00:07:00;5;00:01:21;1;00:06:44;5;00:02:57;6;00:04:38;6;Trysil Stisykkellaug;Menn master;M
6; 22:41;00:54;Bjørn Ballangrud;36;00:07:15;6;00:01:27;4;00:06:34;2;00:02:56;5;00:04:29;2;Lillehammer CK;Menn master;M
7; 25:30;03:43;Jo Christer Frysjøenden;38;00:07:52;8;00:01:36;9;00:07:29;8;00:03:15;10;00:05:18;8;Glåmdal SK;Menn master;M
8; 25:40;03:53;Arild Gravdal;126;00:08:00;11;00:01:36;10;00:07:44;10;00:03:10;9;00:05:10;7;Bergen MTB Klubb;Menn master;M
9; 25:54;04:07;Torbjørn Presthus;43;00:07:52;9;00:01:36;8;00:07:36;9;00:03:06;8;00:05:44;10;Hafrsfjord sykkelklubb;Menn master;M
10;26:51:00;05:04;Jan Henrik Høilund;35;00:08:03;12;00:01:42;11;00:08:04;11;00:03:27;15;00:05:35;9;Njård;Menn master;M
