place;bib;name;Country;FE1;FE1 Pos;FE2;FE2 Pos;FE3;FE3 Pos;total time;diff;Class;gender
1;1;Hilde Strædet;NOR;4:51.65;1;1:15.86;1;3:25.50;1;9:33.01;;Kvinner senior;F
2;2;Vera Leivsdottir;NOR;5:04.97;2;1:22.25;3;3:26.04;2;9:53.26;20.25;Kvinner senior;F
4;4;Emily Nerland;NOR;5:38.45;4;1:22.13;2;3:55.16;3;10:55.74;1:22.73;Kvinner senior;F
3;3;Eline Moen;NOR;5:33.19;3;1:23.99;4;3:57.50;4;10:54.68;1:21.67;Kvinner senior;F
5;8;Anne Bergesen;NOR;5:50.04;5;1:26.09;5;4:27.55;5;11:43.68;2:10.67;Kvinner senior;F
6;7;Vilde Veum;NOR;6:35.13;6;1:33.77;6;4:29.96;6;12:38.86;3:05.85;Kvinner senior;F
7;9;Nicole Portheim;NOR;7:00.86;7;1:38.99;7;4:45.33;7;13:25.18;3:52.17;Kvinner senior;F
9;5;Klara Gunnarson;SWE;7:05.26;8;1:51.34;9;5:53.24;9;14:49.84;5:16.83;Kvinner senior;F
8;6;Vigdis Hove;NOR;7:06.03;9;1:50.17;8;4:51.98;8;13:48.18;4:15.17;Kvinner senior;F
1;43;Noah Holmefjord-Dalland;NOR;4:51.95;1;1:11.87;1;3:18.42;1;9:22.24;;Menn junior;M
1;22;Preben Nøkleby;NOR;4:15.19;1;1:05.16;1;2:50.22;1;8:10.57;;Menn senior;M
2;21;Kristoffer Apeland;NOR;4:40.85;4;1:08.84;6;2:53.44;2;8:43.13;32.56;Menn senior;M
3;20;Adrian Hilde;NOR;4:36.86;2;1:06.90;2;3:03.26;3;8:47.02;36.45;Menn senior;M
4;25;William Gibson;GBR;4:39.57;3;1:11.41;7;3:04.36;4;8:55.34;44.77;Menn senior;M
7;23;Tom Custers Nedrebø;NOR;5:05.20;17;1:06.94;3;3:05.43;5;9:17.57;1:07.00;Menn senior;M
9;30;Vetle Dirdal;NOR;4:53.09;12;1:17.00;14;3:14.21;6;9:24.30;1:13.73;Menn senior;M
12;36;Lars-Georg S. Paulsen;NOR;4:55.78;13;1:14.55;11;3:17.13;7;9:27.46;1:16.89;Menn senior;M
10;32;Kristoffer Rakneberg;NOR;4:47.52;9;1:20.27;18;3:17.76;8;9:25.55;1:14.98;Menn senior;M
6;24;Håkon Skålnes;NOR;4:44.95;7;1:07.93;4;3:19.71;9;9:12.59;1:02.02;Menn senior;M
8;44;Vegard Voll Bøyum;NOR;4:45.44;8;1:14.14;10;3:20.45;10;9:20.03;1:09.46;Menn senior;M
5;54;Andrew Jephcott;AUS;4:41.43;5;1:08.13;5;3:21.67;11;9:11.23;1:00.66;Menn senior;M
15;56;Mikel Latorre;;4:57.46;15;1:25.10;27;3:24.25;12;9:46.81;1:36.24;Menn senior;M
