rank;bib;name;club;FE1;FE1 Pos;FE2;FE2 Pos;FE3;FE3 Pos;FE4;FE4 Pos;FE5;FE5 Pos;FE6;FE6 Pos;chiptime;diff;gender;Class;Pos klasse
1st;4;Tobias Hoel Sandengen;Aron Skiklubb;00:05:29;1;00:03:20;2;00:03:19;2;00:03:38;4;00:05:24;1;00:04:02;1;00:25:12;;M;Menn junior;
2nd;10;Jannik Eschler;Bigfriends MTB Team;00:05:39;3;00:03:26;5;00:03:21;3;00:03:30;2;00:05:29;2;00:04:05;2;00:25:30;+00:00:18;M;Menn junior;
3rd;8;Henrik Langeland Nielsen;Kristiansands CK;00:06:01;6;00:03:38;7;00:03:34;5;00:03:50;8;00:06:00;3;00:04:31;6;00:27:34;+00:02:22;M;Menn junior;
4th;2;Mikkel Pedersen;IF Frøy;00:06:02;7;00:03:41;8;00:03:38;7;00:03:49;7;00:06:00;3;00:04:25;4;00:27:35;+00:02:23;M;Menn junior;
5th;6;Leo Solland;SK Rye sykkel;00:05:45;5;00:03:25;4;00:03:34;5;00:03:42;5;00:06:48;7;00:04:51;7;00:28:05;+00:02:53;M;Menn junior;
6th;9;Kevin Bunes Scott Johnsen;;00:06:26;9;00:03:37;6;00:03:32;4;00:03:45;6;00:06:23;6;00:04:30;5;00:28:13;+00:03:01;M;Menn junior;
7th;7;Oscar Saksvik;Asker CK Enduro;00:08:15;11;00:03:43;9;00:03:39;8;00:03:52;9;00:06:01;5;00:04:13;3;00:29:43;+00:04:31;M;Menn junior;
8th;1;Felix Østby;SK Rye sykkel;00:06:07;8;00:04:06;11;00:03:58;9;00:03:56;10;00:06:50;8;00:05:11;8;00:30:08;+00:04:56;M;Menn junior;
9th;3;Sander Andersen;;00:06:59;10;00:04:00;10;00:04:03;10;00:04:10;11;00:06:54;9;00:05:52;9;00:31:58;+00:06:46;M;Menn junior;
;5;William Scheele;SK Rye sykkel;00:05:39;3;00:03:20;2;00:03:16;1;00:03:28;1;;DNF;;DNS;;;M;Menn junior;
;11;Erlend Tegneby Vegstø;Soon CK;00:05:38;2;00:03:18;1;00:04:22;11;00:03:30;2;;DNF;;DNS;;;M;Menn junior;
