Pos Klasse;name;bib;club;Class;chiptime;FE1 Pos;FE1;FE2 Pos;FE2;FE3 Pos;FE3;FE4 Pos;FE4;FE5 Pos;FE5;gender;
1;Anna Littorin-Sandbu;11;Lillehammer CK;Kvinner Senior;13:55;1;0:03:10;1;0:01:31;1;0:03:39;1;0:01:26;1;0:04:09;F;
2;Solveig Mostad;8;;Kvinner Senior;17:27;2;0:03:59;2;0:01:56;2;0:04:31;2;0:01:45;2;0:05:16;F;
3;Gintare Kalkauskaite;7;;Kvinner Senior;19:21;3;0:04:33;3;0:02:03;3;0:05:01;3;0:01:53;3;0:05:51;F;
4;Anna Grande;6;;Kvinner Senior;20:56;4;0:04:52;4;0:02:13;4;0:05:32;4;0:01:55;4;0:06:24;F;
1;Kristine Skeie;3;CK Nittedal;Kvinner Master;18:11;1;0:04:10;1;0:01:58;1;0:04:46;1;0:01:46;1;0:05:31;F;
2;Anne Jorun Gudmestad;5;;Kvinner Master;19:35;2;0:04:12;2;0:02:02;2;0:05:03;4;0:02:05;3;0:06:13;F;
3;Maria Theander;4;Trysil sykkelklubb;Kvinner Master;20:29;3;0:04:35;3;0:02:09;4;0:05:45;2;0:01:57;2;0:06:03;F;
4;Kine Lidsheim;2;CK Nittedal;Kvinner Master;22:05;4;0:05:01;4;0:02:11;3;0:05:28;3;0:02:02;4;0:07:23;F;
1;Jonas Oudalstøl;24;Kristiansand CK;Menn 15-16;11:45;1;0:02:30;1;0:01:21;1;0:02:53;1;0:01:15;1;0:03:46;M;
2;Alexander Sandengen;28;Villesykler.no;Menn 15-16;13:23;3;0:02:55;3;0:01:30;2;0:03:18;3;0:01:25;2;0:04:15;M;
3;Jonas Øien Skare;25;Gauldal Sk;Menn 15-16;13:45;4;0:03:00;2;0:01:29;4;0:03:27;4;0:01:30;3;0:04:19;M;
4;Sindre Sollund;30;Molde Cykleklubb;Menn 15-16;14:06;5;0:03:08;4;0:01:35;5;0:03:29;5;0:01:32;5;0:04:22;M;
5;Håkon Sylte;29;Molde cycleclubb;Menn 15-16;15:57;6;0:03:31;6;0:01:45;6;0:04:06;7;0:01:41;7;0:04:54;M;
6;Daniel Melilla;22;;Menn 15-16;19:59;8;0:03:42;8;0:01:55;7;0:07:18;8;0:01:49;8;0:05:15;M;
