rank;bib;name;club;Cat;Class;FE1;FE1 Pos;FE2;FE2 Pos;FE3;FE3 Pos;FE4;FE4 Pos;FE5;FE5 Pos;FE6;FE6 Pos;chiptime;diff;gender
1st;1;Maren Stærkebye-Ellingsen;Team Sykleriet;;Jenter 13-14;00:08:03;1;00:09:10;1;;;;;00:05:14;1;;;00:22:27;;F
1st;3;Joakim Rø;Kongsberg;;Gutter 13-14;00:05:34;1;00:06:07;1;;;;;00:03:50;1;;;00:15:31;;M
2nd;15;Markus Skeie-Lebreux;CK Nittedal;;Gutter 13-14;00:05:48;3;00:06:19;2;;;;;00:03:52;3;;;00:15:59;+00:00:28;M
3rd;10;Noah Heieren;SK Rye sykkel;;Gutter 13-14;00:05:54;4;00:06:26;4;;;;;00:03:51;2;;;00:16:11;+00:00:40;M
4th;2;Adam O'reilly;Lillehammer CK;;Gutter 13-14;00:05:39;2;00:06:20;3;;;;;00:04:36;11;;;00:16:35;+00:01:04;M
5th;11;Nikolai Braaten;SK Rye sykkel;;Gutter 13-14;00:06:03;7;00:06:36;5;;;;;00:03:57;4;;;00:16:36;+00:01:05;M
6th;8;Lavrans Jøranlo Sundgaar;Lillehammer CK;;Gutter 13-14;00:06:06;8;00:06:56;8;;;;;00:04:07;5;;;00:17:09;+00:01:38;M
7th;16;Sondre Hafskjold;SK Rye sykkel;;Gutter 13-14;00:06:02;6;00:06:44;6;;;;;00:04:23;6;;;00:17:09;+00:01:38;M
9th;4;Marcus Arnesen;;;Gutter 13-14;00:06:10;9;00:06:56;8;;;;;00:04:27;7;;;00:17:33;+00:02:02;M
10th;13;Cornelius Varden Økern;SK Rye sykkel;;Gutter 13-14;00:06:29;10;00:07:07;10;;;;;00:05:32;14;;;00:19:08;+00:03:37;M
11th;9;Einar Andreas Sletten Biør;IF Frøy;;Gutter 13-14;00:06:54;13;00:07:47;11;;;;;00:04:37;12;;;00:19:18;+00:03:47;M
