Rank;Startnumber;Firstname;Surname;Gender;Nat;Club;Race;Class;Total Time;Diff Winner;Status
1;69;Reinis Martins;Prieditis;M;LV;Veloshops;FE1;Menn senior 17-39;2:40.3;0:00.0
1;1;Anders;Røkenes;M;NO;Harstad CK;FE1;Menn master;2:49.8;0:00.0
2;22;Armands;ZARINS;M;LV;Velosolutions Scandinavia;FE1;Menn senior 17-39;2:52.9;0:12.6
3;5;Einar;Frønum;M;NO;Harstad CK;FE1;Menn senior 17-39;2:54.3;0:14.0
4;40;Edvard;Vea Iversen;M;NO;Terråk;FE1;Menn senior 17-39;2:54.6;0:14.3
2;54;Stian;Storeng;M;NO;Harstad CK;FE1;Menn master;2:58.4;0:08.6
5;33;Vidar;Wensel;M;NO;Senja CK;FE1;Menn senior 17-39;2:59.5;0:19.2
6;17;Ole-Martin;Kjellmo;M;NO;BARDUFOSS;FE1;Menn senior 17-39;3:00.8;0:20.5
7;31;Mikael;Vold;M;NO;Bodø Terrengsykkelklubb / Bodø Terrengsykkkelklubb;FE1;Menn senior 17-39;3:02.9;0:22.6
8;2;Fredrik;Leonhardsen;M;NO;HARSTAD;FE1;Menn senior 17-39;3:05.8;0:25.5
9;14;Håvard;Torvanger;M;NO;Harstad CK;FE1;Menn senior 17-39;3:06.8;0:26.5
3;39;William;Salminen;M;NO;Harstad CK;FE1;Menn master;3:07.1;0:17.3
10;35;Viktor;Larsson;M;SE;DUVED;FE1;Menn senior 17-39;3:07.5;0:27.2
11;57;Martin;Klette;M;NO;BODØ;FE1;Menn senior 17-39;3:07.9;0:27.6
12;16;Amund;Korvald;M;NO;SOGNDAL;FE1;Menn senior 17-39;3:08.1;0:27.8
13;27;Tore;Joramo;M;NO;BARDUFOSS;FE1;Menn senior 17-39;3:10.3;0:30.0
14;3;Håvard;Krey Hansen;M;NO;Senja CK;FE1;Menn senior 17-39;3:16.1;0:35.8
15;29;Espen;Karlsen;M;NO;BFT;FE1;Menn senior 17-39;3:16.2;0:35.9
16;53;Knut;Joramo;M;NO;BARDUFOSS;FE1;Menn senior 17-39;3:16.5;0:36.2
17;24;Thomas;Ebeltoft;M;NO;STOKMARKNES;FE1;Menn senior 17-39;3:17.9;0:37.6
18;25;Rickard;Wessberg;M;SE;Consto Nord;FE1;Menn senior 17-39;3:18.6;0:38.3
19;63;Trond;Kleven;M;NO;Harstad CK / HCK;FE1;Menn senior 17-39;3:19.0;0:38.7
20;23;Yngve;Rogstadkjærnet;M;NO;Lofoten Ekstremsportklubb;FE1;Menn senior 17-39;3:22.3;0:42.0
4;59;Frode;Bredesen;M;NO;Harstad CK;FE1;Menn master;3:22.5;0:32.7
21;15;Jan-Ove;Sandnes;M;NO;Bodø Terrengsykkelklubb;FE1;Menn senior 17-39;3:22.7;0:42.4
5;13;Gisle;Enge;M;NO;HARSTAD;FE1;Menn master;3:22.7;0:32.9
22;66;Marius;Stamnes;M;NO;Harstad CK;FE1;Menn senior 17-39;3:23.5;0:43.2
23;42;Tor-Øyvind;Sandnes;M;NO;Bodø Terrengsykkelklubb;FE1;Menn senior 17-39;3:23.9;0:43.6
6;47;Arnulf;Prestbakmo;M;NO;Harstad CK;FE1;Menn master;3:24.3;0:34.5
24;26;Jesper;Stattin;M;DK;Harstad CK;FE1;Menn senior 17-39;3:24.4;0:44.1
1;6;Louise;Engan;F;NO;Bodø Terrengsykkelklubb;FE1;Kvinner master;3:27.1;0:00.0
1;37;Linda;Butkus;F;LV;SALASPILS;FE1;Kvinner senior 17-39;3:27.2;0:00.0
7;7;Jonas;Aksmo;M;NO;Lofoten Ekstremsportklubb / Jonas Aksmo;FE1;Menn master;3:27.6;0:37.8
25;55;Erik Eide;Bye;M;NO;NARVIK;FE1;Menn senior 17-39;3:28.2;0:47.9
8;32;Jimmy;Johansen;M;NO;Lofoten Ekstremsportklubb;FE1;Menn master;3:28.5;0:38.7
26;12;Morten Monland;Olavsbråten;M;NO;NARVIK;FE1;Menn senior 17-39;3:29.2;0:48.9
2;64;Iselin;Kaspersen;F;NO;BFT;FE1;Kvinner senior 17-39;3:29.7;0:02.5
9;34;Fred;Olsen;M;NO;Harstad CK;FE1;Menn master;3:32.4;0:42.6
27;45;Andreas;Seger;M;NO;NARVIK;FE1;Menn senior 17-39;3:32.9;0:52.6
28;8;Edgar;Korenkov;M;LV;STOKMARKNES;FE1;Menn senior 17-39;3:33.5;0:53.2
10;21;Peter;Nilsson;M;SE;Vesterålen SK;FE1;Menn master;3:35.9;0:46.1
29;51;Jahn-Erik;Solheim;M;NO;HARSTAD;FE1;Menn senior 17-39;3:39.9;0:59.6
30;10;Espen Henriksen;Harper;M;NO;TROMSØ;FE1;Menn senior 17-39;3:40.9;1:00.6
31;20;Håvar;Marsteen;M;NO;TROMSØ;FE1;Menn senior 17-39;3:43.1;1:02.8
3;9;Marte;Bergmann;F;NO;NARVIK;FE1;Kvinner senior 17-39;3:48.5;0:21.3
32;67;Roger;Berge;M;NO;Harstad CK;FE1;Menn senior 17-39;3:50.6;1:10.3
33;61;Anders;Lagerström;M;SE;HARSTAD;FE1;Menn senior 17-39;3:52.8;1:12.5
34;11;Pål-Gunnar;Skog;M;NO;HARSTAD;FE1;Menn senior 17-39;3:54.3;1:14.0
11;43;Paul;Silester;M;NO;HARSTAD;FE1;Menn master;3:57.6;1:07.8
35;68;Gusts;Osmucnieks;M;LV;Beerduro;FE1;Menn senior 17-39;3:59.9;1:19.6
12;44;Bent;Ebeltoft;M;NO;Vesterålen SK;FE1;Menn master;4:29.9;1:40.1
