Pos Klasse;name;bib;Class;chiptime;FE1;FE1 Pos;FE2;FE2 Pos;FE3;FE3 Pos;FE4;FE4 Pos;FE5;FE5 Pos;gender
1;Gunnar Westholm;11;E-MTB;26:25:00;00:10:56;1;00:03:18;2;00:03:33;1;00:04:03;1;00:04:35;1;M
2;Stian Hammer;12;E-MTB;28:47:00;00:12:15;2;00:03:14;1;00:03:57;2;00:04:23;2;00:04:58;2;M
3;Didrik Haugland;16;E-MTB;31:30:00;00:13:21;3;00:03:58;3;00:04:23;3;00:04:46;3;00:05:02;3;M
1;Teodor Skare;25;Gutter 15/16;18:02;00:10:26;1;00:03:33;1;00:04:03;2;;;;;M
2;Brage Lidsheim;24;Gutter 15/16;19:34;00:11:47;2;00:03:53;2;00:03:54;1;;;;;M
3;Lasse Martinsen Jenserud;26;Gutter 15/16;21:11;00:12:03;3;00:04:25;4;00:04:43;4;;;;;M
4;Ask Gikling Borthne;21;Gutter 15/16;21:33;00:13:07;4;00:04:02;3;00:04:24;3;;;;;M
5;Sindre Ingebretsen Solheim;29;Gutter 15/16;24:29:00;00:14:12;5;00:05:05;5;00:05:12;5;;;;;M
;Jana Meus;7; Explorer;42:05:00;00:16:44;;00:04:50;;00:06:02;;00:07:12;;00:07:17;;F
;Anders T Øfsti;10;Explorer;DNF ;00:17:46;;00:05:48;;00:06:36;;DNS;;DNS;;M
1;William Scheele;57;Menn junior;21:43;00:09:42;2;00:02:28;1;00:02:49;1;00:03:06;1;00:03:38;1;M
2;Mikkel Pedersen;62;Menn junior;23:32;00:10:11;3;00:02:57;4;00:03:08;2;00:03:29;2;00:03:47;2;M
3;Mads Langeland;66;Menn junior;24:51:00;00:10:20;4;00:03:08;7;00:03:20;3;00:03:48;3;00:04:15;4;M
4;Oscar Saksvik;67;Menn junior;25:35:00;00:10:59;5;00:03:08;8;00:03:28;5;00:03:49;4;00:04:11;3;M
5;Per Einar Brovold;69;Menn junior;26:49:00;00:11:27;6;00:03:20;10;00:03:20;4;00:03:56;5;00:04:46;8;M
6;Noah Holmefjord-Dalland;59;Menn junior;27:47:00;00:12:14;9;00:02:54;3;00:03:42;7;00:04:27;8;00:04:30;7;M
7;Mads Henrik Kjemperud;68;Menn junior;28:02:00;00:11:59;8;00:03:14;9;00:03:58;8;00:04:25;7;00:04:26;6;M
8;Vetle Gikling Borthne;58;Menn junior;28:09:00;00:13:10;10;00:02:47;2;00:03:38;6;00:04:13;6;00:04:21;5;M
DNF;Jonas Oudalstol;63;Menn junior;DNF ;00:09:32;1;00:02:58;5;DNS;DNS;DNS;;DNS;;M
DNF;Sigurd Bjørndalen Mathisen;64;Menn junior;DNF ;00:11:31;7;00:03:02;6;00:57:22;9;DNS;;DNS;;M
DNF;Sean Christian Keddy;70;Menn junior;DNF ;00:16:57;11;DNF;;DNS;;DNS;;DNS;;M
1; Simen Kalnæs Danielsen;77;Menn master;23:36;00:10:16;2;00:02:40;1;00:03:08;2;00:03:37;5;00:03:55;1;M
2; Pål Grotnes;76;Menn master;23:46;00:10:15;1;00:02:54;4;00:03:13;3;00:03:28;1;00:03:56;2;M
3; Kim-Erik Larsen;80;Menn master;23:50;00:10:22;3;00:02:42;2;00:03:06;1;00:03:35;4;00:04:05;6;M
4; Fredrik Lysakerrud;85;Menn master;24:25:00;00:10:33;4;00:03:02;8;00:03:16;5;00:03:35;2;00:03:59;3;M
5; Anders Røkenes;83;Menn master;24:57:00;00:11:02;6;00:02:51;3;00:03:18;6;00:03:42;6;00:04:04;5;M
6; Arild Heimli Johnsen;89;Menn master;25:08:00;00:10:36;5;00:02:59;6;00:03:26;7;00:03:45;7;00:04:22;8;M
7; Leiv Tvenning;86;Menn master;25:51:00;00:11:15;7;00:03:02;7;00:03:26;8;00:03:51;8;00:04:17;7;M
8; Bjørn-Kristian Bratlie;72;Menn master;26:59:00;00:11:24;8;00:03:12;11;00:03:41;10;00:04:05;10;00:04:37;9;M
9; Terje Unnerud;122;Menn master;27:23:00;00:11:46;9;00:03:04;9;00:03:43;11;00:04:05;9;00:04:45;12;M
10;William Salminen;82;Menn master;27:25:00;00:11:55;11;00:03:12;12;00:03:31;9;00:04:09;12;00:04:38;10;M
11;Anders Nyhuus;87;Menn master;28:06:00;00:12:23;13;00:03:08;10;00:03:44;12;00:04:07;11;00:04:44;11;M
12;Knut Harald Smette;93;Menn master;29:03:00;00:11:49;10;00:03:30;14;00:04:44;17;00:04:11;13;00:04:49;13;M
13;Martin Liane;88;Menn master;29:22:00;00:12:02;12;00:03:15;13;00:03:53;14;00:04:37;17;00:05:35;17;M
14;Bjørn Inge Larsen;73;Menn master;29:33:00;00:12:44;14;00:03:31;15;00:03:51;13;00:04:20;14;00:05:07;14;M
15;Frode Dalen;90;Menn master;30:30:00;00:12:52;15;00:03:44;17;00:04:14;16;00:04:31;16;00:05:09;15;M
