rank;bib;name;club;FE1;FE1 Pos;FE2;FE2 Pos;FE3;FE3 Pos;chiptime;diff;gender;Class;Pos Klasse
1;22;Håkon Skålnes Samdal;;2:29.96;1;1:41.84;1;47,79;1;4:59.59;;M;Menn senior;
2;28;Jean-Christophe Barbier;;2:30.84;2;1:44.25;2;49,24;5;5:04.33;+4,74;M;Menn senior;
3;49;Mathias Hagen Skrede;;2:32.70;3;1:45.06;3;47,84;2;5:05.60;+6,01;M;Menn senior;
4;39;Bjørnar Heradstveit;;2:37.79;4;1:38.79;4;49,15;4;5:05.73;+6,14;M;Menn senior;
5;25;Noah Holmefjord-Dalland;;2:39.86;5;1:49.29;5;49,32;6;5:18.47;+18,88;M;Menn senior;
6;32;Stian Torgunrud Monsen;;2:41.06;7;1:47.72;7;49,78;7;5:18.56;+18,97;M;Menn senior;
7;38;Daniel Rundereim;;2:42.36;9;1:47.82;9;50,76;9;5:20.94;+21,35;M;Menn senior;
8;45;Ove Tillung;;2:48.50;11;1:48.60;11;49,02;3;5:26.12;+26,53;M;Menn senior;
9;23;Vegard Bøyum;;2:43.68;10;1:49.40;10;53,11;14;5:26.19;+26,60;M;Menn senior;
10;34;Daniel Sapak;;2:41.88;8;1:53.50;8;52,51;11;5:27.89;+28,30;M;Menn senior;
11;36;Jonas Orvik;;2:50.68;12;1:56.10;12;49,95;8;5:36.73;+37,14;M;Menn senior;
12;44;Knut Bolme;;2:40.43;6;2:05.15;6;56,50;19;5:42.08;+42,49;M;Menn senior;
13;41;Geir Storesund;;2:58.35;14;1:56.66;14;53,03;13;5:48.04;+48,45;M;Menn senior;
14;43;Tord Kylling;;3:07.90;16;1:47.57;16;53,15;15;5:48.62;+49,03;M;Menn senior;
15;31;Steffen Johannesen;;2:56.31;13;2:00.80;13;55,39;17;5:52.50;+52,91;M;Menn senior;
16;37;Christopher Hammersland;;3:12.77;17;2:01.16;17;53,00;12;6:06.93;+1:07.34;M;Menn senior;
17;26;Mark Basso;;3:25.13;21;1:57.50;21;50,95;10;6:13.58;+1:13.99;M;Menn senior;
18;24;Vojtech Hejtmanek;;3:05.24;15;2:15.61;15;58,45;21;6:19.30;+1:19.71;M;Menn senior;
19;53;Heine Hagevik Moen;;3:13.69;18;2:10.68;18;55,82;18;6:20.19;+1:20.60;M;Menn senior;
20;50;fredrik Espeland;;3:17.12;19;2:11.30;19;57,67;20;6:26.09;+1:26.50;M;Menn senior;
21;33;Inge Nilsen;;3:39.51;23;2:25.60;23;55,09;16;7:00.20;+2:00.61;M;Menn senior;
22;51;Ole Bakke;;3:35.18;22;2:23.90;22;1:05.79;24;7:04.87;+2:05.28;M;Menn senior;
23;52;Thomas Abrahamsen;;3:51.16;24;2:27.22;24;1:06.77;25;7:25.15;+2:25.56;M;Menn senior;
24;29;Kristoffer Hindseth;;4:08.00;25;2:28.93;25;58,72;22;7:35.65;+2:36.06;M;Menn senior;
25;30;Per Arvid Høyum;;4:25.94;26;2:44.12;26;1:08.29;26;8:18.35;+3:18.76;M;Menn senior;
26;27;Christopher Woldsund;;3:19.23;20;4:41.47;20;59,23;23;8:59.93;+4:00.34;M;Menn senior;
27;48;Audun Leikvoll Melvær;;5:16.19;27;2:55.40;27;1:17.37;27;9:28.96;+4:29.37;M;Menn senior;
1;3;Eskil Hafskjold;;2:21.52;1;1:40.13;1;47,75;1;4:49.40;;M;Gutter 12-17;
2;6;Markus Skeie-Lebreux;;2:38.65;2;1:47.15;2;49,04;2;5:14.84;+25,44;M;Gutter 12-17;
3;2;Sindre Martin Sollund;;2:45.97;3;1:52.11;3;49,18;3;5:27.26;+37,86;M;Gutter 12-17;
4;4;Sondre Hafskjold;;2:50.24;4;1:58.05;4;56,52;6;5:44.81;+55,41;M;Gutter 12-17;
5;1;Amund Groven;;3:10.04;5;2:08.86;5;55,70;5;6:14.60;+1:25.20;M;Gutter 12-17;
6;5;Rasmus MacKenzie;;4:16.34;6;2:14.98;6;54,44;4;7:25.76;+2:36.36;M;Gutter 12-17;
7;8;Eugenio Ferrario;;4:32.96;7;2:54.59;7;1:10.75;7;8:38.30;+3:48.90;M;Gutter 12-17;
1;10;Hilde Strædet;;2:42.92;2;1:44.47;1;48,95;1;5:16.34;;F;Kvinner senior;
2;20;Katarina Jorsback;;2:41.01;1;1:49.87;2;52,32;2;5:23.20;+6,86;F;Kvinner senior;
3;21;Vilde Veum;;3:03.23;3;1:58.64;3;55,56;5;5:57.43;+41,09;F;Kvinner senior;
4;15;Caroline Onarheim;;3:28.81;4;1:59.46;4;53,12;3;6:21.39;+1:05.05;F;Kvinner senior;
5;14;Dominika Adamcová;;3:31.81;6;2:01.03;5;54,43;4;6:27.27;+1:10.93;F;Kvinner senior;
6;12;Margrethe Alm;;3:30.76;5;2:24.59;7;1:01.84;7;6:57.19;+1:40.85;F;Kvinner senior;
7;13;Eline Moen;;3:40.34;7;2:15.45;6;1:03.42;8;6:59.21;+1:42.87;F;Kvinner senior;
8;11;Emily Nerland;;4:00.96;9;2:37.58;8;1:01.30;6;7:39.84;+2:23.50;F;Kvinner senior;
9;18;Nicole Portheim;;4:00.84;8;2:42.03;9;1:07.83;9;7:50.70;+2:34.36;F;Kvinner senior;
