Pos Klasse;bib;name;club;;Class;FE1;FE1 Pos;FE2;FE2 Pos;FE3;FE3 Pos;FE4;FE4 Pos;FE5;FE5 Pos;FE6;FE6 Pos;chiptime;diff;gender
1st;34;Petter Sakshaug-Hansen;Drammen CK;;Gutter 13-14;00:06:25;2;00:01:20;1;00:01:26;1;;;;;;;00:09:11;;M
2nd;21;Christopher Jansen;BOC;;Gutter 13-14;00:06:25;2;00:01:23;2;00:01:28;2;;;;;;;00:09:16;+00:00:05;M
3rd;19;Bård Gujord Røisli;CK Nittedal;;Gutter 13-14;00:06:22;1;00:01:23;2;00:01:35;9;;;;;;;00:09:20;+00:00:09;M
4th;22;Even Stensland;Modum CK;;Gutter 13-14;00:06:37;5;00:01:24;4;00:01:29;3;;;;;;;00:09:30;+00:00:19;M
5th;29;Malte Andreas Torp Bure;Gresvik IF;;Gutter 13-14;00:06:36;4;00:01:29;5;00:01:33;5;;;;;;;00:09:38;+00:00:27;M
6th;27;Lars Teigland Støre;Bærum OCK;;Gutter 13-14;00:06:43;6;00:01:32;7;00:01:33;5;;;;;;;00:09:48;+00:00:37;M
7th;38;Sondre Hafskjold;SK Rye sykkel;;Gutter 13-14;00:06:48;7;00:01:34;9;00:01:36;11;;;;;;;00:09:58;+00:00:47;M
8th;39;Sondre Oldervik Andersen;IF Frøy;;Gutter 13-14;00:06:52;9;00:01:33;8;00:01:35;9;;;;;;;00:10:00;+00:00:49;M
9th;31;Niklas Tronstad Lia;Kristiansands CK;;Gutter 13-14;00:06:54;10;00:01:30;6;00:01:37;13;;;;;;;00:10:01;+00:00:50;M
10th;41;Wilhelm Klemet Kollerud;Asker CK;;Gutter 13-14;00:06:51;8;00:01:34;9;00:01:38;14;;;;;;;00:10:03;+00:00:52;M
11th;30;Martin Glamsland Stoveland;Kristiansands CK;;Gutter 13-14;00:06:55;11;00:01:36;11;00:01:34;7;;;;;;;00:10:05;+00:00:54;M
12th;23;Felix Tho Sveva;Sandefjord SK;;Gutter 13-14;00:07:05;12;00:01:36;11;00:01:31;4;;;;;;;00:10:12;+00:01:01;M
13th;37;Sivert Groven;IF Frøy;;Gutter 13-14;00:07:11;13;00:01:38;13;00:01:36;11;;;;;;;00:10:25;+00:01:14;M
14th;40;Tobias Haugen Opsahl;Asker CK;;Gutter 13-14;00:07:19;15;00:01:40;15;00:01:43;15;;;;;;;00:10:42;+00:01:31;M
15th;24;Iver Brunborg;Aron Sportsklubb;;Gutter 13-14;00:07:15;14;00:01:43;17;00:01:44;16;;;;;;;00:10:42;+00:01:31;M
16th;33;Peder Lid-Strand;IF Frøy;;Gutter 13-14;00:07:45;16;00:01:42;16;00:01:45;17;;;;;;;00:11:12;+00:02:01;M
