Pos Klasse;bib;name;club;Class;FE1;FE1 Pos;FE2;FE2 Pos;FE3;FE3 Pos;FE4;FE4 Pos;chiptime;diff;gender
1st;3;Lise Pettersen;Eidanger IL;Kvinner elduro;4:33.43;1;4:10.22;1;6:16.20;1;4:54.46;1;19:54.31;;F
2nd;2;Marna Omre;Herja Endurolaug;Kvinner elduro;5:12.53;2;4:42.43;2;7:02.60;2;5:16.55;2;22:14.11;+2:19.80;F
3rd;1;Szandra Szucs;Herja Endurolaug;Kvinner elduro;8:39.78;3;7:25.30;3;10:47.56;3;8:05.40;3;34:58.04;+15:03.73;F
1st;5;Kari Olstad;Hadeland CK/ Herja;Kvinner Master;5:05.13;1;4:32.09;1;7:21.57;1;5:19.79;1;22:18.58;;F
1st;16;Lene Pettersen;Eidanger IL;Kvinner senior;4:17.25;1;3:56.55;2;5:58.07;1;4:14.83;1;18:26.70;;F
2nd;7;Millie Cafe;;Kvinner senior;4:25.53;2;3:52.02;1;5:58.45;2;4:21.05;2;18:37.05;+0:10.35;F
3rd;19;Joline Johansson;Hadeland CK;Kvinner senior;4:32.18;3;4:09.60;3;6:06.17;3;4:33.45;3;19:21.40;+0:54.70;F
4th;15;Maria Bergli;Aron Sportsklubb;Kvinner senior;4:40.80;4;4:18.80;4;6:28.59;4;4:34.75;4;20:02.94;+1:36.24;F
5th;9;Lone Gilje;;Kvinner senior;5:13.07;6;4:29.35;6;6:35.72;5;4:52.36;5;21:10.50;+2:43.80;F
6th;10;Nina Foerster-Massey;DTBS;Kvinner senior;4:58.67;5;4:25.95;5;7:01.78;6;5:04.65;6;21:31.05;+3:04.35;F
7th;8;Ida Sandvand;;Kvinner senior;5:40.98;8;4:29.58;7;7:13.82;7;5:22.50;7;22:46.88;+4:20.18;F
8th;17;Ida Rydland Nærum;Eidanger IL;Kvinner senior;5:36.80;7;4:49.65;10;7:25.79;9;5:22.73;8;23:14.97;+4:48.27;F
9th;18;Anna Brandsdal;Romeriksåsen SK;Kvinner senior;5:44.45;9;4:38.27;9;7:19.06;8;5:54.28;10;23:36.06;+5:09.36;F
10th;14;Maren Aarthun Wangen;IF Frøy;Kvinner senior;5:56.83;10;4:36.82;8;7:29.95;10;5:32.78;9;23:36.38;+5:09.68;F
11th;11;Dorte Lyngsvg;;Kvinner senior;6:19.35;11;5:26.88;11;8:00.32;11;6:33.38;11;26:19.93;+7:53.23;F
;13;Ida Kristine Sletta;Aron SK;Kvinner senior;;DNS;;DNS;;DNS;;DNS;;;F
;12;Valerie Colleou;;Kvinner senior;;DNS;;DNS;DNS;DNS;;DNS;;;F
1st;190;Mikkel Pedersen;IF Frøy;Menn 17-19;3:41.38;1;3:17.34;1;4:59.44;1;3:37.20;1;15:35.36;;M
2nd;191;Sindre Martin Moe Sollund;Molde CK;Menn 17-19;3:49.88;3;3:23.19;2;5:08.28;2;3:44.25;2;16:05.60;+0:30.24;M
3rd;192;Jim-Runar Hansen;Horten og Omegn's Cykleklubb;Menn 17-19;3:48.60;2;3:24.70;3;5:10.93;3;3:53.60;4;16:17.83;+0:42.47;M
4th;193;Oskar Brækhus;Kongsberg IF Sykkel;Menn 17-19;4:01.43;4;3:28.66;4;5:12.55;4;3:49.38;3;16:32.02;+0:56.66;M
1st;185;Andre Aamot;;Menn elduro;3:28.73;1;3:07.80;1;4:39.65;1;3:26.08;1;14:42.26;;M
2nd;62;Kristoffer Rakneberg;Bergen MTB Klubb;Menn elduro;3:41.53;3;3:14.60;2;4:48.34;2;3:36.32;2;15:20.79;+0:38.53;M
3rd;63;Lasse Eriksen Årnes;Aron Sportsklubb;Menn elduro;3:39.83;2;3:16.48;3;4:52.75;3;3:40.55;4;15:29.61;+0:47.35;M
4th;61;Kristian Dyrset;Andebarkji TSK;Menn elduro;3:44.25;6;3:23.11;5;4:54.45;4;3:42.00;6;15:43.81;+1:01.55;M
5th;53;Daniel Schjørlien;The Dads Club;Menn elduro;3:43.55;5;3:21.51;4;5:07.50;7;3:39.62;3;15:52.18;+1:09.92;M
6th;57;Kjetil Fjeldheim;The Dads Club;Menn elduro;3:43.20;4;3:31.20;6;5:04.48;5;3:41.57;5;16:00.45;+1:18.19;M
7th;56;Jurgen Dehlin;The Dads Club;Menn elduro;3:57.98;8;3:31.77;7;5:05.43;6;3:44.32;7;16:19.50;+1:37.24;M
8th;55;Gunnar Westholm;Hemsedal IL Sykkel;Menn elduro;3:46.73;7;4:00.19;15;5:19.53;8;3:56.18;8;17:02.63;+2:20.37;M
9th;64;Sondre Arneberg;Aron Sportsklubb;Menn elduro;4:01.90;9;3:35.05;9;5:35.76;11;4:04.87;9;17:17.58;+2:35.32;M
