rank;bib;name;club;Class;FE1;FE1 Pos;FE2;FE2 Pos;FE3;FE3 Pos;FE4;FE4 Pos;chiptime;diff;gender
1;115;Olav Engen;Lillehammer Sport;Menn åpen klasse 17+;02:16;1;05:25;1;02:26;3;02:52;1;00:12:59;00:00;M
1;76;Ethan Hamer;Rubber Dinghy Rapids;Menn åpen klasse 17+;02:20;1;05:27;2;02:29;3;02:53;1;00:13:09;00:00;M
2;85;William Gibson;any Excuse to Ride Norway as;Menn åpen klasse 17+;02:20;3;05:34;2;02:25;2;02:54;2;00:13:13;00:14;M
3;86;Anders Ruud Gundersen;Flytsti;Menn åpen klasse 17+;02:17;2;05:38;3;02:23;1;02:55;3;00:13:13;00:14;M
2;78;Adrian Hilde;Kristiansands CK;Menn åpen klasse 17+;02:35;5;05:23;1;02:20;1;02:55;2;00:13:13;00:04;M
3;73;Jens Vold;SK Rye sykkel;Menn åpen klasse 17+;02:21;2;05:36;4;02:28;2;02:58;4;00:13:23;00:14;M
4;75;Jasper Albrecht;Rubber Dinghy Rapids;Menn åpen klasse 17+;02:31;3;05:33;3;02:32;4;02:56;3;00:13:32;00:23;M
1;94;Sigmund Andreas Akselsen Ringdal;Scandisirkus;Menn åpen klasse 17+;02:22;1;05:39;2;02:33;1;03:02;2;00:13:36;00:00;M
2;105;Christopher Christophersen;Mississippiskogen sti & Terrengsykkellag;Menn åpen klasse 17+;02:22;1;05:40;3;02:34;2;03:04;4;00:13:40;00:04;M
3;116;Kristian Pedersen;Samadet;Menn åpen klasse 17+;02:28;3;05:38;1;02:46;8;03:06;5;00:13:58;00:22;M
4;91;Fredrik Foerster-Massey;Zensykkel.No;Menn åpen klasse 17+;02:29;4;05:49;4;02:35;4;03:06;5;00:13:59;00:23;M
5;111;Tommy Jørgensen;OPPEGÅRD;Menn åpen klasse 17+;02:29;4;05:56;5;02:34;2;03:12;8;00:14:11;00:35;M
1;112;Laurits Høgset;Molde CK;Åpen klasse M15-16;02:26;1;05:54;1;02:41;1;03:15;1;00:14:16;00:00;M
6;96;Bjørn Ankre;Zensykkel.No;Menn åpen klasse 17+;02:37;8;06:00;8;02:44;7;03:10;7;00:14:31;00:55;M
7;103;Fredrik Krey Berntz;Asker CK;Menn åpen klasse 17+;02:34;7;06:16;12;02:38;6;03:03;3;00:14:31;00:55;M
8;82;Tor Ivan Rudi;Vårsol Velocipedclub;Menn åpen klasse 17+;02:31;6;06:08;10;02:36;5;03:35;15;00:14:50;01:14;M
9;84;Arne Hanto Moen;Team Egg&Bacon;Menn åpen klasse 17+;02:42;11;05:57;6;02:48;10;03:25;12;00:14:52;01:16;M
4;114;Eskil Koldre;VESTBY;Menn åpen klasse 17+;02:49;4;06:09;4;02:44;4;03:16;4;00:14:58;01:59;M
10;87;Christopher Condrup;Riviera Rumblers;Menn åpen klasse 17+;02:38;9;06:20;13;02:51;12;03:12;8;00:15:01;01:25;M
5;74;Felix Østby;SK Rye sykkel;Menn åpen klasse 17+;02:33;4;06:09;5;02:42;5;03:43;7;00:15:07;01:58;M
1;98;Thor Dustin;Rubber Dinghy Rapids;Åpen klasse menn Junior;02:53;1;06:12;1;02:53;1;03:28;1;00:15:26;00:00;M
11;89;Adam Tumidajewicz;Oslomarka Croissant- og Cruxeklubb;Menn åpen klasse 17+;03:07;16;06:24;14;02:47;9;03:24;11;00:15:42;02:06;M
12;83;Henrik Gulsrud;Stavanger SK / GAV;Menn åpen klasse 17+;03:01;14;06:12;11;03:10;14;03:38;17;00:16:01;02:25;M
5;81;Niclas Johansen;Zen Sykkel;Menn åpen klasse 17+;03:23;5;06:21;5;02:55;5;03:25;5;00:16:04;03:05;M
13;93;Gaute Sandnes;OSLO;Menn åpen klasse 17+;03:02;15;06:32;15;02:59;13;03:32;14;00:16:05;02:29;M
14;113;Markus Tveito Taxerås;IF Frøy;Menn åpen klasse 17+;03:32;17;06:33;16;02:48;10;03:16;10;00:16:09;02:33;M
1;109;Berg Skeie Bjørnsson;Kristiansands CK;Åpen klasse M13-14;02:57;1;06:46;2;03:09;1;03:26;2;00:16:18;00:00;M
6;72;Nanne Kuiperi;HEGGEDAL;Menn åpen klasse 17+;03:26;7;07:01;7;02:46;6;03:11;5;00:16:24;03:15;M
7;117;Sivert Strømman;Matrand IL sykkel;Menn åpen klasse 17+;04:24;8;06:16;6;02:47;7;03:26;6;00:16:53;03:44;M
1;120;Mats Aspaas;;Menn Elduro;03:29;1;06:51;1;03:08;1;03:56;1;00:17:24;00:00;M
2;108;Eskil Oudalstøl;KRISTIANSAND S;Åpen klasse M13-14;02:58;2;06:22;1;04:42;2;03:23;1;00:17:25;01:07;M
8;71;Yuriy Lianguzov;Riviera Rumblers;Menn åpen klasse 17+;03:13;6;07:07;8;03:28;8;03:59;8;00:17:47;04:38;M
15;119;Bjørn-Thomas Stenersen;Bærum OCK;Menn åpen klasse 17+;04:24;18;06:49;17;03:25;17;04:05;18;00:18:43;05:07;M
16;97;Aleksander Imset Wassum;Oslomarka Croissant- og Cruxeklubb;Menn åpen klasse 17+;05:24;19;06:51;18;03:11;15;03:25;12;00:18:51;05:15;M
17;118;Anders Seim;SK Rye sykkel / Team Skeno Sfit Helse;Menn åpen klasse 17+;02:41;10;05:57;6;09:31;19;02:59;1;00:21:08;07:32;M
1;79;Klara Gunnarson;Any Excuse to Ride;Kvinner åpen klasse 17+;04:40;1;07:58;1;03:50;1;04:43;1;00:21:11;00:00;F
18;101;Martin Strøm;ASKER;Menn åpen klasse 17+;02:44;12;06:06;9;09:13;18;03:37;16;00:21:40;08:04;M
19;106;Dimitri Rocher;OSLO;Menn åpen klasse 17+;05:51;20;09:36;19;03:22;16;04:17;19;00:23:06;09:30;M
2;104;Lise Marie Sundsbø;OSLO;Kvinner Elduro;09:02;2;07:52;2;03:47;2;04:45;2;00:25:26;08:02;F
;77;Even Bjørheim;Skarphedin IL;Menn åpen klasse 17+;00:00;DNS;00:00;DNS;00:00;DNS;00:00;DNS;DNS;;M
;95;Fredrik Flatland;OSLO;Menn Elduro;03:41;3;06:36;3;03:57;3;00:00;DNF;DNF;;M
;92;Aleksei Anufriev;STRØMMEN;Menn åpen klasse 17+;06:28;21;10:35;20;05:09;20;00:00;DNF;DNF;;M
;100;Magnus Berger;ASKER;Menn åpen klasse 17+;00:00;DNS;00:00;DNS;00:00;DNS;00:00;DNS;DNS;;M
;88;Fredrik Lia;Horten Høkk & Pøkk;Menn åpen klasse 17+;00:00;DNS;00:00;DNS;00:00;DNS;00:00;DNS;DNS;;M
