Pos Klasse;bib;name;club;Class;FE1;FE1 Pos;FE2;FE2 Pos;FE3;FE3 Pos;FE4;FE4 Pos;FE5;FE5 Pos;FE6;FE6 Pos;FE7;FE7 Pos;FE8;FE8 Pos;chiptime;diff;gender
1st;276;Pål Grotnes;Gresvik IF;EL-sykkel;00:01:15;1;00:02:09;1;00:02:02;1;00:01:38;1;00:02:55;1;00:01:06;1;00:02:20;1;00:00:33;1;00:13:58;;M
2nd;278;Lasse Eriksen Årnes;Aron Sportsklubb;EL-sykkel;00:01:17;2;00:02:11;2;00:02:27;8;00:01:42;2;00:03:21;5;00:01:10;2;00:02:28;2;00:00:36;2;00:15:12;+00:01:14;M
3rd;277;Frode Kristian Møller Ditlefsen;SK Rye sykkel;EL-sykkel;00:01:20;3;00:02:19;4;00:02:14;4;00:01:48;3;00:03:12;3;00:01:14;4;00:02:35;3;00:00:38;6;00:15:20;+00:01:22;M
4th;279;Sondre Arneberg;Aron Sportsklubb;EL-sykkel;00:01:24;6;00:02:18;3;00:02:14;4;00:01:48;3;00:03:10;2;00:01:10;2;00:02:39;5;00:00:40;7;00:15:23;+00:01:25;M
5th;273;Tomm Eivind Bjørneseth-Hermansen;;EL-sykkel;00:01:22;4;00:02:25;7;00:02:13;3;00:01:51;5;00:03:20;4;00:01:14;4;00:02:35;3;00:00:37;5;00:15:37;+00:01:39;M
6th;274;Arne Diederik Kildahl;Bø Idretslag;EL-sykkel;00:01:25;7;00:02:22;6;00:02:16;6;00:01:52;7;00:03:25;7;00:01:16;7;00:02:47;6;00:00:36;2;00:15:59;+00:02:01;M
7th;272;Stephen Glazebrook;;EL-sykkel;00:01:22;4;00:02:20;5;00:02:10;2;00:01:51;5;00:03:22;6;00:01:15;6;00:03:14;9;00:00:36;2;00:16:10;+00:02:12;M
8th;271;Olav Tresland;Eidanger IL;EL-sykkel;00:01:27;8;00:02:33;8;00:03:08;10;00:01:53;8;00:03:40;8;00:01:22;8;00:02:48;7;00:00:42;9;00:17:33;+00:03:35;M
9th;270;Rufus Preiss;Kragerø SK;EL-sykkel;00:01:28;9;00:02:36;9;00:02:26;7;00:01:53;8;00:04:18;9;00:01:22;8;00:03:06;8;00:00:41;8;00:17:50;+00:03:52;M
10th;275;Lise Pettersen;Eidanger IL;EL-sykkel;00:01:32;10;00:02:39;10;00:02:30;9;00:02:00;10;00:06:02;10;00:01:27;10;00:03:38;10;00:00:47;10;00:20:35;+00:06:37;F
