Pos Klasse;chiptime;bib;name;Class;club;FE1 Pos;FE1;FE2;FE2 Pos;FE3 Pos;FE3;FE4 Pos;FE4;FE5 Pos;FE5;gender
1;22:06.410;715;Tatiana Furnes;Jenter 15-16;BOC;1;0:04:27.619;;;1;0:05:49.949;1;0:10:50.489;1;0:00:58.353;F
1;22:54.666;728;Kristine Skeie;Kvinner Master (35+);CK Nittedal;1;0:04:22.271;;;1;0:06:03.054;2;0:11:29.381;1;0:00:59.960;F
2;23:44.705;720;Louise Irtelius;Kvinner Master (35+);SK Rye Team Letth;3;0:04:53.530;;;2;0:06:18.461;1;0:11:25.344;4;0:01:07.370;F
3;24:17.970;723;Kristel Karlsen-Mulelid;Kvinner Master (35+);If Frøy/ Team Letth;2;0:04:42.683;;;3;0:06:40.243;3;0:11:51.126;3;0:01:03.918;F
4;25:42.065;722;Pernille Aas;Kvinner Master (35+);Team Letth/BOC;5;0:05:03.498;;;4;0:06:55.347;5;0:12:39.968;2;0:01:03.252;F
5;26:12.839;724;Ida Karine Nesbø;Kvinner Master (35+);Siggerud IL Team Letth;4;0:04:56.918;;;5;0:07:26.098;4;0:12:37.722;5;0:01:12.101;F
1;18:52.004;735;Hedda Brenningen Bjørklund;Kvinner Senior (19+);Lillehammer Cykleklubb;1;0:03:28.916;;;1;0:04:41.364;2;0:09:51.425;1;0:00:50.299;F
2;19:23.032;741;Anette Røssum Bastnes;Kvinner Senior (19+);Aron SK og Team Ibis Norge;2;0:03:38.853;;;3;0:05:02.126;1;0:09:47.685;3;0:00:54.368;F
3;19:31.512;740;Helena Nyhus;Kvinner Senior (19+);If Frøy;3;0:03:40.873;;;2;0:04:54.355;3;0:10:01.000;4;0:00:55.284;F
4;20:49.885;738;Silje Kreken Almeland;Kvinner Senior (19+);Bærum og omegn cykleklubb;6;0:04:04.621;;;5;0:05:25.997;4;0:10:21.215;5;0:00:58.052;F
5;20:53.787;745;Nora Stang;Kvinner Senior (19+);Rye IL / Herja / $tilig;5;0:03:56.184;;;4;0:05:24.027;5;0:10:41.080;2;0:00:52.496;F
