rank;bib;name;gender;club;Class;chiptime;diff;FE1;FE1 Pos;FE2;FE2 Pos;FE3;FE3 Pos
1;30;Håkon Skålnes;M;;Menn senior;08:14,3;0;01:44,3;1;03:22,7;1;03:07,2;5
2;6;karl Da;M;;Menn senior;08:18,7;4,41;01:47,5;3;03:26,8;2;03:04,5;3
3;37;Gjermund Dalland;M;;Menn senior;08:23,0;8,68;01:47,4;2;03:34,5;3;03:01,0;2
4;39;Kristoffer Apeland;M;;Menn senior;08:30,0;15,77;01:52,0;4;03:50,1;5;02:48,0;1
5;25;Daniel Rundereim;M;;Menn senior;08:49,1;34,81;01:53,3;5;03:50,8;6;03:05,0;4
6;32;Knut Bolme;M;;Menn senior;09:13,8;59,52;02:01,4;13;03:55,8;8;03:16,6;7
7;18;Hilde Strædet;F;;Kvinner senior;09:14,2;59,95;01:57,1;7;03:48,2;4;03:28,8;13
8;38;Vegard Voll;M;;Menn senior;09:15,0;01:00,7;01:59,7;10;03:56,3;10;03:18,9;10
9;33;Anders Ekkje;M;;Menn senior;09:15,5;01:01,2;02:00,0;11;03:58,1;11;03:17,5;9
10;40;Jørgen Jackobsen;M;;Menn senior;09:24,9;01:10,7;01:57,4;8;04:10,4;17;03:17,1;8
11;27;Jon Ivar;M;;Menn senior;09:28,8;01:14,5;02:03,0;16;03:56,2;9;03:29,6;15
12;1;Sondre Hafskjold;M;;Gutter junior 12-17;09:33,9;01:19,6;02:03,7;18;03:59,5;12;03:30,6;16
13;36;Jan Laksesvela;M;;Menn senior;09:43,3;01:29,0;02:02,4;15;04:07,3;15;03:33,6;17
14;9;Susanne Beijer;F;;Kvinner senior;09:49,8;01:35,5;01:59,7;9;04:05,3;13;03:44,8;21
15;24;Tord Kylling;M;;Menn senior;09:52,3;01:38,0;02:23,2;24;04:16,2;21;03:12,8;6
16;31;Christopher Hammersland;M;;Menn senior;09:55,5;01:41,2;02:08,1;21;04:24,2;23;03:23,2;11
17;3;Rasmus Mackenzie;M;;Gutter junior 12-17;09:55,7;01:41,4;02:03,4;17;04:28,2;25;03:24,0;12
18;13;Vilde Veum;F;;Kvinner senior;09:56,7;01:42,4;01:57,1;6;04:06,5;14;03:53,0;23
19;29;Geir Storesund;M;;Menn senior;10:00,3;01:46,0;02:00,6;12;04:14,8;18;03:44,9;22
20;15;Dominika Adamcova;F;;Kvinner senior;10:03,9;01:49,6;02:07,3;19;04:15,0;19;03:41,7;19
21;23;Herman Dahle;M;;Menn senior;10:08,6;01:54,3;02:29,9;25;04:09,8;16;03:28,8;14
22;22;Andreas Brekken;M;;Menn senior;10:12,2;01:57,9;02:07,4;20;04:28,1;24;03:36,7;18
23;34;Sigurd Lindland;M;;Menn senior;10:25,5;02:11,2;02:09,1;22;04:16,3;22;04:00,1;24
24;26;Sander Blikberg;M;;Menn senior;10:44,2;02:29,9;02:13,5;23;04:46,6;26;03:44,2;20
25;12;Katarina Jorsback;F;;Kvinner senior;10:55,7;02:41,4;02:38,2;27;04:15,9;20;04:01,6;25
26;5;Izabela Lidzbarska;F;;Kvinner junior 12-17;11:45,5;03:31,2;02:40,5;28;04:59,8;27;04:05,3;26
27;19;Veronika Ask;F;;Kvinner senior;12:42,6;04:28,3;02:56,1;32;05:18,1;29;04:28,4;27
28;14;Emma Marita;F;;Kvinner senior;12:50,1;04:35,8;02:46,0;30;05:23,8;30;04:40,3;29
29;10;Mari Røen;F;;Kvinner senior;13:04,6;04:50,4;02:31,9;26;05:13,6;28;05:19,1;31
30;17;Aino Sunniva;F;;Kvinner senior;13:54,4;05:40,1;02:41,1;29;06:21,6;32;04:51,8;30
31;35;Anton Chruickshank;M;;Menn senior;14:35,0;06:20,8;03:20,9;33;06:39,8;33;04:34,3;28
32;21;Nicolay Lileng;M;;Menn senior;15:20,4;07:06,1;02:55,2;31;05:33,6;31;06:51,7;34
33;20;Jolisa van;F;;Kvinner senior;16:45,4;08:31,1;03:27,6;34;07:11,8;34;06:06,0;33
34;16;Christina Kolbu;F;;Kvinner senior;16:59,1;08:44,8;03:45,1;35;07:29,1;35;05:44,8;32
-;28;Noah Holmefjord-Dalland;M;;Menn senior;-;-;02:02,0;-;03:50,9;-;DNF;-
-;7;Ida Marie;F;;Kvinner senior;DNS;-;DNS;DNS;DNS;DNS;DNS;DNS
-;8;Marie Karlsson;F;;Kvinner senior;DNS;-;DNS;DNS;DNS;DNS;DNS;DNS
-;2;Eskil Hafskjold;M;;Gutter junior 12-17;DNS;-;DNS;DNS;DNS;DNS;DNS;DNS
-;4;Sivert Groven;M;;Gutter junior 12-17;DNS;-;DNS;DNS;DNS;DNS;DNS;DNS
-;11;Léna Brocard;F;;Kvinner senior;DNS;-;DNS;DNS;DNS;DNS;DNS;DNS
