Startnumber;Firstname;Surname;Gender;Club;Class;Race;Status;Total Time;Rank;Diff Winner
43;Håvard;Røisland;M;Lillehammer CK;M15-16;FE1;1;2:17.6;1;0:00.0
52;Lavrans Jøranli;Sundgaard;M;Lillehammer CK;M15-16;FE1;1;2:21.9;2;0:04.3
37;Silas;Vanbuggenhout-Mogensen;M;Lillehammer CK;M13-14;FE1;1;2:31.6;1;0:00.0
36;Fredrik Funderud;Wedum;M;Lillehammer Sykkelklubb;M13-14;FE1;1;2:40.2;2;0:08.6
42;Varg;Finstad;M;Lillehammer CK;M15-16;FE1;1;2:44.2;3;0:26.6
45;Mats;Laeskogen;M;Bøverbru;M15-16;FE1;1;2:49.2;4;0:31.6
44;Sondre;Medby;M;Lillehammer;M15-16;FE1;1;2:49.3;5;0:31.7
46;Olav;Dahlen;M;Lillehammer;M15-16;FE1;1;2:51.7;6;0:34.1
35;Max;Hansen;M;Eidsvoll SK;M13-14;FE1;1;2:55.3;3;0:23.7
47;Olav;Daugaard;M;Lillehammer;M15-16;FE1;1;2:58.5;7;0:40.9
27;Ville Langgård;Munch;F;Lillehammer CK Enduro;K13-14;FE1;1;3:00.4;1;0:00.0
18;Sondre;Aasen;M;Lillehammer CK;M11-12;FE1;1;3:02.1;1;0:00.0
23;Henry;Cummings;M;Hafjell Freeride Klubb;M11-12;FE1;1;3:03.1;2;0:01.0
56;Edvald Smogeli;Opsann;M;Lillehammer CK;M17-18;FE1;1;3:03.3;1;0:00.0
49;Markus Feldt;Nytun;M;Lillehammer Cykleklubb;M15-16;FE1;1;3:04.6;8;0:47.0
50;Mikkel;Wilkens;M;Lillehammer CK;M15-16;FE1;1;3:08.3;9;0:50.7
32;Fredrik;Stensby;M;Eidsvoll SK;M13-14;FE1;1;3:11.6;4;0:40.0
51;Elias;Vanzanten;M;Lillehammer CK;M15-16;FE1;1;3:14.2;10;0:56.6
15;Elias;Johansen;M;Ringerike SK;M11-12;FE1;1;3:15.1;3;0:13.0
38;Nordal;Røsjø;M;Ringerike SK;M13-14;FE1;1;3:16.9;5;0:45.3
24;Eirik;Andreassen;M;Ringerike SK;M11-12;FE1;1;3:17.7;4;0:15.6
16;Emil;Lundedale;M;Lillehammer CK;M11-12;FE1;1;3:33.1;5;0:31.0
14;Jonas Håvimb;Sperstad;M;Lillehammer CK;M11-12;FE1;1;3:38.9;6;0:36.8
33;Leopold Klemet;Kollerud;M;Lillehammer CK;M13-14;FE1;1;3:39.6;6;1:08.0
34;Tobias;Staff-Hansen;M;Eidsvoll SK;M13-14;FE1;1;3:40.8;7;1:09.2
21;Magnus;Thingelstad;M;Ringerike SK;M11-12;FE1;1;3:55.5;7;0:53.4
19;Sverre;Heen;M;Ringerike SK;M11-12;FE1;1;4:03.2;8;1:01.1
22;Markus;Venstad;M;Lillehammer;M11-12;FE1;1;4:07.1;9;1:05.0
9;Karoline;Selbæk;F;Lillehammer CK;K11-12;FE1;1;4:54.5;1;0:00.0
28;Anna;Dahlen;F;Lillehammer CK;K13-14;FE1;1;5:16.8;2;2:16.4
4;Sondre;Andreassen;M;Ringerike SK;M10;FE1;1;5:24.8;;0:00.0
2;Jakob Steira;Bjerkli;M;CK Nittedal;M10;FE1;1;5:03.1;;0:21.7
5;Henrik;Sandbakken;M;Nittedal;M10;FE1;1;4:47.0;;0:37.8
1;Kristian;Sandbakken;M;Nittedal;M10;FE1;1;4:59.9;;0:24.9
3;Simen;Trøan;M;CK Nittedal;M10;FE1;1;4:27.0;;0:57.8
25;Henrik;Haugseth;M;Eidsvoll SK;M11-12;FE1;OK;6:18.9;10;3:16.8
10;Evelina Fredrika;Kollerud;F;Lillehammer CK;K11-12;FE1;OK;5:45.0;2;0:50.5
17;Sigurd;Stensby;M;Eidsvoll SK;M11-12;FE1;OK;5:09.9;11;2:07.8
20;Jonatan;Staff-Hansen;M;Eidsvoll SK;M11-12;FE1;DNS;0:00.0;12;3:02.0
48;Florian;Vanbuggenhout-Mogensen;M;Lillehammer CK;M15-16;FE1;DNS;0:00.0;11;2:17.5
43;Håvard;Røisland;M;Lillehammer CK;M15-16;FE2;1;4:28.9;1;0:00.0
52;Lavrans Jøranli;Sundgaard;M;Lillehammer CK;M15-16;FE2;1;4:43.2;2;0:14.3
37;Silas;Vanbuggenhout-Mogensen;M;Lillehammer CK;M13-14;FE2;1;5:06.9;1;0:00.0
36;Fredrik Funderud;Wedum;M;Lillehammer Sykkelklubb;M13-14;FE2;1;5:12.4;2;0:05.5
42;Varg;Finstad;M;Lillehammer CK;M15-16;FE2;1;5:16.4;3;0:47.5
44;Sondre;Medby;M;Lillehammer;M15-16;FE2;1;5:17.4;4;0:48.5
45;Mats;Laeskogen;M;Bøverbru;M15-16;FE2;1;5:20.4;5;0:51.5
46;Olav;Dahlen;M;Lillehammer;M15-16;FE2;1;5:27.5;6;0:58.6
47;Olav;Daugaard;M;Lillehammer;M15-16;FE2;1;5:29.8;7;1:00.9
56;Edvald Smogeli;Opsann;M;Lillehammer CK;M17-18;FE2;1;5:37.4;1;0:00.0
49;Markus Feldt;Nytun;M;Lillehammer Cykleklubb;M15-16;FE2;1;5:43.6;8;1:14.7
27;Ville Langgård;Munch;F;Lillehammer CK Enduro;K13-14;FE2;1;5:44.8;1;0:00.0
35;Max;Hansen;M;Eidsvoll SK;M13-14;FE2;1;5:47.6;3;0:40.7
18;Sondre;Aasen;M;Lillehammer CK;M11-12;FE2;1;5:48.1;1;0:00.0
15;Elias;Johansen;M;Ringerike SK;M11-12;FE2;1;5:53.7;2;0:05.6
23;Henry;Cummings;M;Hafjell Freeride Klubb;M11-12;FE2;1;6:00.1;3;0:12.0
50;Mikkel;Wilkens;M;Lillehammer CK;M15-16;FE2;1;6:00.3;9;1:31.4
32;Fredrik;Stensby;M;Eidsvoll SK;M13-14;FE2;1;6:03.6;4;0:56.7
51;Elias;Vanzanten;M;Lillehammer CK;M15-16;FE2;1;6:08.4;10;1:39.5
24;Eirik;Andreassen;M;Ringerike SK;M11-12;FE2;1;6:11.0;4;0:22.9
38;Nordal;Røsjø;M;Ringerike SK;M13-14;FE2;1;6:16.8;5;1:09.9
16;Emil;Lundedale;M;Lillehammer CK;M11-12;FE2;1;6:25.0;5;0:36.9
34;Tobias;Staff-Hansen;M;Eidsvoll SK;M13-14;FE2;1;6:45.6;6;1:38.7
33;Leopold Klemet;Kollerud;M;Lillehammer CK;M13-14;FE2;1;6:49.2;7;1:42.3
14;Jonas Håvimb;Sperstad;M;Lillehammer CK;M11-12;FE2;1;6:59.8;6;1:11.7
21;Magnus;Thingelstad;M;Ringerike SK;M11-12;FE2;1;7:00.9;7;1:12.8
19;Sverre;Heen;M;Ringerike SK;M11-12;FE2;1;7:22.6;8;1:34.5
22;Markus;Venstad;M;Lillehammer;M11-12;FE2;1;7:53.5;9;2:05.4
9;Karoline;Selbæk;F;Lillehammer CK;K11-12;FE2;1;9:03.3;1;0:00.0
28;Anna;Dahlen;F;Lillehammer CK;K13-14;FE2;1;9:17.2;2;3:32.4
4;Sondre;Andreassen;M;Ringerike SK;M10;FE2;1;8:48.3;;0:00.0
2;Jakob Steira;Bjerkli;M;CK Nittedal;M10;FE2;1;9:15.8;;0:27.5
5;Henrik;Sandbakken;M;Nittedal;M10;FE2;1;8:52.5;;0:04.2
1;Kristian;Sandbakken;M;Nittedal;M10;FE2;1;9:02.5;;0:14.2
3;Simen;Trøan;M;CK Nittedal;M10;FE2;1;8:13.2;;0:35.1
25;Henrik;Haugseth;M;Eidsvoll SK;M11-12;FE2;OK;11:50.8;10;6:02.7
10;Evelina Fredrika;Kollerud;F;Lillehammer CK;K11-12;FE2;OK;11:03.0;2;1:59.7
17;Sigurd;Stensby;M;Eidsvoll SK;M11-12;FE2;OK;9:31.8;11;3:43.7
20;Jonatan;Staff-Hansen;M;Eidsvoll SK;M11-12;FE2;DNS;0:00.0;12;5:48.0
48;Florian;Vanbuggenhout-Mogensen;M;Lillehammer CK;M15-16;FE2;DNS;0:00.0;11;4:28.8
43;Håvard;Røisland;M;Lillehammer CK;M15-16;FE3;1;6:07.6;1;0:00.0
52;Lavrans Jøranli;Sundgaard;M;Lillehammer CK;M15-16;FE3;1;6:28.4;2;0:20.8
37;Silas;Vanbuggenhout-Mogensen;M;Lillehammer CK;M13-14;FE3;1;7:01.3;1;0:00.0
44;Sondre;Medby;M;Lillehammer;M15-16;FE3;1;7:09.8;3;1:02.2
36;Fredrik Funderud;Wedum;M;Lillehammer Sykkelklubb;M13-14;FE3;1;7:12.1;2;0:10.8
45;Mats;Laeskogen;M;Bøverbru;M15-16;FE3;1;7:12.7;4;1:05.1
42;Varg;Finstad;M;Lillehammer CK;M15-16;FE3;1;7:14.9;5;1:07.3
46;Olav;Dahlen;M;Lillehammer;M15-16;FE3;1;7:25.7;6;1:18.1
56;Edvald Smogeli;Opsann;M;Lillehammer CK;M17-18;FE3;1;7:34.4;1;0:00.0
47;Olav;Daugaard;M;Lillehammer;M15-16;FE3;1;7:37.6;7;1:30.0
49;Markus Feldt;Nytun;M;Lillehammer Cykleklubb;M15-16;FE3;1;7:39.4;8;1:31.8
27;Ville Langgård;Munch;F;Lillehammer CK Enduro;K13-14;FE3;1;7:48.2;1;0:00.0
35;Max;Hansen;M;Eidsvoll SK;M13-14;FE3;1;7:58.6;3;0:57.3
18;Sondre;Aasen;M;Lillehammer CK;M11-12;FE3;1;7:59.2;1;0:00.0
50;Mikkel;Wilkens;M;Lillehammer CK;M15-16;FE3;1;8:05.2;9;1:57.6
15;Elias;Johansen;M;Ringerike SK;M11-12;FE3;1;8:06.8;2;0:07.6
23;Henry;Cummings;M;Hafjell Freeride Klubb;M11-12;FE3;1;8:07.6;3;0:08.4
32;Fredrik;Stensby;M;Eidsvoll SK;M13-14;FE3;1;8:11.8;4;1:10.5
24;Eirik;Andreassen;M;Ringerike SK;M11-12;FE3;1;8:18.9;4;0:19.7
51;Elias;Vanzanten;M;Lillehammer CK;M15-16;FE3;1;8:23.1;10;2:15.5
38;Nordal;Røsjø;M;Ringerike SK;M13-14;FE3;1;8:25.4;5;1:24.1
16;Emil;Lundedale;M;Lillehammer CK;M11-12;FE3;1;8:46.8;5;0:47.6
34;Tobias;Staff-Hansen;M;Eidsvoll SK;M13-14;FE3;1;8:55.9;6;1:54.6
33;Leopold Klemet;Kollerud;M;Lillehammer CK;M13-14;FE3;1;9:17.8;7;2:16.5
21;Magnus;Thingelstad;M;Ringerike SK;M11-12;FE3;1;9:26.4;6;1:27.2
19;Sverre;Heen;M;Ringerike SK;M11-12;FE3;1;9:52.2;7;1:53.0
14;Jonas Håvimb;Sperstad;M;Lillehammer CK;M11-12;FE3;1;10:03.1;8;2:03.9
22;Markus;Venstad;M;Lillehammer;M11-12;FE3;1;10:39.1;9;2:39.9
9;Karoline;Selbæk;F;Lillehammer CK;K11-12;FE3;1;12:36.2;1;0:00.0
28;Anna;Dahlen;F;Lillehammer CK;K13-14;FE3;1;12:49.0;2;5:00.8
4;Sondre;Andreassen;M;Ringerike SK;M10;FE3;1;11:33.7;;0:00.0
2;Jakob Steira;Bjerkli;M;CK Nittedal;M10;FE3;1;12:39.2;;1:05.5
5;Henrik;Sandbakken;M;Nittedal;M10;FE3;1;12:10.7;;0:37.0
1;Kristian;Sandbakken;M;Nittedal;M10;FE3;1;26:08.6;;14:34.9
3;Simen;Trøan;M;CK Nittedal;M10;FE3;1;11:11.1;;0:22.6
25;Henrik;Haugseth;M;Eidsvoll SK;M11-12;FE3;OK;16:13.4;10;8:14.2
