Pos Klasse;bib;name;Class;Club;FE1;FE1 Pos;FE2;FE2 Pos;FE3;FE3 Pos;FE4;FE4 Pos;FE5;FE5 Pos;chiptime;diff;gender
;1;Oscar Emilian Kristiansen Kjos;Gutter 10;CK Nittedal;00:01:35;1;00:00:46;1;00:01:35;1;00:02:12;1;;;00:06:08;;M
;2;Sondre Andreassen;Gutter 10;Ringerike SK;00:01:50;3;00:00:51;2;00:01:39;2;00:02:15;3;;;00:06:35;;M
;7;Elliot Nyheim-Thorsen;Gutter 10;IF Frøy;00:01:41;2;00:00:57;7;00:01:50;4;00:02:14;2;;;00:06:42;;M
;6;Simen Trøan;Gutter 10;CK Nittedal;00:01:54;6;00:00:55;5;00:01:51;5;00:02:31;5;;;00:07:11;;M
;5;Kristian Sandbakken;Gutter 10;CK Nittedal;00:01:50;4;00:00:56;6;00:01:52;6;00:02:34;6;;;00:07:12;;M
;4;Henrik Sandbakken;Gutter 10;CK Nittedal;00:01:53;5;00:00:54;4;00:02:02;7;00:02:42;7;;;00:07:31;;M
;8;Jakob Steira Bjerkli;Gutter 10;CK Nittedal;00:02:30;8;00:00:53;3;00:01:48;3;00:02:26;4;;;00:07:37;;M
;9;Fredrik Konow Verlo Larsen;Gutter 10;CK Nittedal;00:02:11;7;00:01:11;8;00:02:16;8;00:02:53;8;;;00:08:31;;M
1st;27;Sondre Aasen;Gutter 11-12;Lillehammer CK;00:01:14;1;00:02:07;1;00:00:37;1;00:01:22;5;00:01:48;1;00:07:08;;M
2nd;23;Theo Stokkebokjær Hjelseth;Gutter 11-12;SK Rye sykkel;00:01:14;1;00:02:07;1;00:00:37;1;00:01:17;1;00:01:57;4;00:07:12;00:00:04;M
3rd;31;Sondre Loeng Svendsen;Gutter 11-12;SK Rye sykkel;00:01:15;3;00:02:16;3;00:00:37;1;00:01:19;3;00:01:57;5;00:07:24;00:00:16;M
4th;17;Emil Lundedale;Gutter 11-12;Lillehammer CK;00:01:21;4;00:02:26;5;00:00:38;4;00:01:18;2;00:01:51;2;00:07:34;00:00:26;M
5th;28;Elias Johansen;Gutter 11-12;Ringerike SK;00:01:22;5;00:02:24;4;00:00:41;6;00:01:25;6;00:01:54;3;00:07:46;00:00:38;M
6th;18;Eirk Andreassen;Gutter 11-12;Ringerike SK;00:01:26;9;00:02:37;8;00:00:40;5;00:01:20;4;00:01:59;6;00:08:02;00:00:54;M
7th;21;John Vaagland;Gutter 11-12;Frøy;00:01:23;6;00:02:29;6;00:00:44;8;00:01:26;7;00:02:05;7;00:08:07;00:00:59;M
8th;25;Marlon Nyheim-Thorsen;Gutter 11-12;IF Frøy;00:01:25;8;00:02:34;7;00:00:46;13;00:01:28;9;00:02:05;8;00:08:18;00:01:10;M
9th;29;Magnus Thingelstad;Gutter 11-12;Ringerike SK;00:01:27;10;00:02:38;9;00:00:44;9;00:01:27;8;00:02:14;14;00:08:30;00:01:22;M
10th;26;William Goldenheim;Gutter 11-12;IF Frøy;00:01:24;7;00:02:48;13;00:00:44;10;00:01:35;13;00:02:06;10;00:08:37;00:01:29;M
11th;14;Aksel Valen-Sendstad;Gutter 11-12;CK Nittedal;00:01:34;11;00:02:47;12;00:00:47;14;00:01:29;10;00:02:10;11;00:08:47;00:01:39;M
