rank;bib;name;club;Class;gender;chiptime;diff;FE1;FE1 Pos;FE2;FE2 Pos;FE3;FE3 Pos
1;14;Oscar Solbakk;;Gutter 12-17;M;11:28,2;;02:06,7;1;05:59,9;1;03:21,6;1
1;3;Dominika Adamcova;;Kvinner senior;F;08:33,7;;01:32,6;2;04:31,6;1;02:29,4;1
2;9;Hilde Strædet;;Kvinner senior;F;08:43,1;;01:32,2;1;04:35,2;2;02:35,7;2
3;4;Vilde Målsnes Veum;;Kvinner senior;F;09:40,3;;01:55,3;3;05:02,9;3;02:42,1;3
4;2;Veronika Stuksrud;;Kvinner senior;F;10:12,9;;02:01,1;4;05:28,0;4;02:43,8;4
5;11;Aino Sunniva Otervik;;Kvinner senior;F;10:56,9;;02:08,9;5;05:39,6;5;03:08,4;6
6;10;Kamilla Sporsheim;;Kvinner senior;F;11:01,2;;02:15,7;6;05:50,3;6;02:55,2;5
7;5;Ella Fasting;;Kvinner senior;F;13:39,5;;03:02,8;7;07:10,7;7;03:25,9;7
8;13;Malin Hunderi;;Kvinner senior;F;14:42,1;;04:00,1;9;07:12,2;8;03:29,8;8
9;12;Christina Kolbu;;Kvinner senior;F;15:05,4;;03:12,8;8;08:06,9;9;03:45,7;9
1;39;Håkon Samdal;;Menn Elduro;M;07:37,7;;01:27,7;1;04:04,2;1;02:05,9;1
2;40;Jonathan Frossard;;Menn Elduro;M;09:44,3;;01:56,8;2;05:10,1;2;02:37,3;2
1;32;Jean-christophe Barbier;;Menn senior;M;07:51,5;;01:24,0;1;04:15,9;2;02:11,6;1
4;27;Jostein Litlere;;Menn senior;M;08:38,5;;01:30,5;3;04:53,0;9;02:15,0;2
3;31;Jon Ivar Nedkvitne;;Menn senior;M;08:29,6;;01:35,1;6;04:37,5;5;02:17,0;3
11;28;Mikal Dyngeland Vik;;Menn senior;M;09:28,7;;02:53,4;20;04:14,4;1;02:21,0;4
2;33;Anders Ekkje Slettebø;;Menn senior;M;08:29,3;;01:30,0;2;04:37,3;4;02:22,0;5
6;38;Kjetil Bø Omarstrand;;Menn senior;M;08:44,1;;01:37,5;7;04:44,4;8;02:22,2;6
5;19;Eskil Berge;;Menn senior;M;08:43,7;;01:44,3;10;04:35,8;3;02:23,6;7
8;25;Jan Laksesvela;;Menn senior;M;08:53,0;;01:40,4;8;04:43,1;7;02:29,4;8
7;16;Emilien Luyton;;Menn senior;M;08:44,2;;01:32,4;5;04:40,7;6;02:31,1;9
10;15; Sigurd Lindland;;Menn senior;M;09:20,5;;01:45,4;11;05:03,6;11;02:31,4;10
21;24;Tord Irgens Kylling;;Menn senior;M;15:48,8;;01:48,3;12;11:17,6;21;02:42,9;11
9;30;Steffen Johannesen;;Menn senior;M;09:12,6;;01:31,2;4;04:57,3;10;02:44,1;12
12;18;Herman Dahle;;Menn senior;M;09:50,7;;01:43,9;9;05:22,1;13;02:44,8;13
16;36;Kristoffer Brandsrud;;Menn senior;M;11:30,9;;02:39,5;18;06:05,9;18;02:45,5;14
13;22;Sander Blikberg;;Menn senior;M;10:10,3;;01:50,9;14;05:33,4;14;02:45,9;15
18;20;Olav Bøland;;Menn senior;M;11:54,2;;02:39,6;19;06:23,8;19;02:50,8;16
17;37;Patrick Stünkel;;Menn senior;M;11:50,9;;02:54,7;21;06:05,3;17;02:50,9;17
15;34;Torbjørn Kalleklev;;Menn senior;M;11:01,9;;02:19,1;16;05:51,3;16;02:51,5;18
14;29;Jone Helle;;Menn senior;M;10:43,8;;01:59,3;15;05:39,5;15;03:05,0;19
20;21;Trygve Litlere;;Menn senior;M;14:06,9;;02:20,1;17;08:35,3;20;03:11,5;20
19;26;Markus Hersvik;;Menn senior;M;12:14,6;;01:50,7;13;05:10,7;12;05:13,2;21
