bib;name;gender;Club;Class;Pos Klasse;chiptime;diff;FE1;FE1 Pos;FE2;FE2 Pos;FE3;FE3 Pos;FE4;FE4 Pos;FE5;FE5 Pos
1;Ola Løkstad Kristoffersen;M;Senja CK;Gutter 13-14;1;11:32.3;0:00.000;;;4:19.5;1;4:15.2;1;2:09.4;1;0:48.2;1
2;Emil Wiik;M;;Gutter 13-14;2;13:18.6;1:46.300;;;5:08.9;4;4:54.1;2;2:23.3;2;0:52.3;2
3;Lucas Kaspersen;M;Mosjøen og Omegn CK;Gutter 13-14;3;13:33.8;2:01.500;;;4:58.0;3;5:05.2;3;2:28.4;3;1:02.2;5
4;Ask Søreng;M;Harstad CK;Gutter 13-14;4;13:57.4;2:25.100;;;5:18.2;6;5:05.2;4;2:32.7;5;1:01.3;4
5;Jonathan Pettersen;M;Harstad CK;Gutter 13-14;5;14:30.5;2:58.200;;;5:15.8;5;5:40.5;8;2:31.5;4;1:02.7;6
6;Aksel Levoll-Schulz;M;Harstad CK;Gutter 13-14;6;14:32.7;3:00.400;;;5:31.4;7;5:15.8;5;2:34.5;6;1:11.0;8
7;Olav Sjøblom;M;;Gutter 13-14;7;15:23.6;3:51.300;;;5:56.6;9;5:19.2;6;3:04.0;10;1:03.8;7
8;Viljar Johansen;M;Harstad CK;Gutter 13-14;8;15:24.3;3:52.000;;;5:54.0;8;5:20.1;7;2:54.7;9;1:15.5;9
9;Ingvald Olsen;M;Harstad CK;Gutter 13-14;9;15:26.8;3:54.500;;;4:25.6;2;7:20.5;13;2:47.1;7;0:53.6;3
10;Ian Matthew Andrews;M;Harstad CK;Gutter 13-14;10;17:40.8;6:08.500;;;6:50.2;12;6:20.9;10;3:12.3;13;1:17.4;10
11;Tommy Sandberg Addis;M;Harstad CK;Gutter 13-14;11;17:50.8;6:18.500;;;6:40.9;10;6:45.4;12;2:48.5;8;1:36.0;12
12;Jonathan Antonsen;M;Harstad CK;Gutter 13-14;12;17:58.7;6:26.400;;;6:49.9;11;6:36.9;11;3:11.7;12;1:20.2;11
13;Emil Søreng Mørken;M;;Gutter 13-14;13;18:13.4;6:41.100;;;6:56.1;13;6:20.2;9;3:10.8;11;1:46.3;13
14;Trym Varland;M;Skrubbsår og Skratt;Menn 17-23;1;17:24.7;0:00.000;4:17.5;1;4:45.5;1;4:59.3;1;2:26.6;1;0:55.8;1
15;Isak Uri;M;HCK;Menn 17-23;2;18:57.6;1:32.900;4:41.8;2;5:40.5;2;5:08.7;2;2:28.8;2;0:57.8;2
16;Einar Frønum;M;Harstad CK;Menn 40-49;1;15:00.2;0:00.000;3:57.8;3;4:03.8;1;4:04.6;1;2:06.9;2;0:47.1;1
17;Vidar Wensel;M;Senja CK;Menn 40-49;2;15:04.6;0:04.400;3:34.0;1;4:16.4;2;4:14.3;2;2:05.4;1;0:54.5;5
18;Martin Liane;M;Harstad CK;Menn 40-49;3;16:50.9;1:50.700;4:29.2;4;4:28.9;3;4:37.3;3;2:21.8;5;0:53.7;4
19;Rickard Wessberg Solli;M;Consto;Menn 40-49;4;16:52.8;1:52.600;3:51.7;2;4:51.2;7;4:44.7;6;2:26.5;8;0:58.7;10
20;Karl Marius Brobak;M;Narvik CK;Menn 40-49;5;17:15.9;2:15.700;4:31.4;5;4:42.9;6;4:43.1;5;2:22.2;6;0:56.3;6
21;Martin Mathisen;M;Harstad CK;Menn 40-49;6;17:36.4;2:36.200;4:53.9;9;4:41.1;5;4:46.0;7;2:16.9;4;0:58.5;9
22;Trond Kleven;M;HCK;Menn 40-49;7;18:14.5;3:14.300;4:40.9;7;5:13.6;12;4:57.7;11;2:24.5;9;0:57.8;8
23;Arnulf Prestbakmo;M;Harstad CK;Menn 40-49;8;18:26.1;3:25.900;4:38.7;6;5:16.4;13;4:55.5;10;2:28.7;11;1:06.8;12
24;Ole-Martin Jakobsen;M;;Menn 40-49;9;18:47.2;3:47.000;4:50.4;8;5:03.9;11;5:14.3;13;2:32.3;12;1:06.3;11
