Pos Klasse;bib;name;Club;Class;FE1;FE1 Pos;FE2;FE2 Pos;FE3;FE3 Pos;FE4;FE4 Pos;FE5;FE5 Pos;chiptime;diff;gender
1st;2;Mie Spilleth;Oppdal SK;K13-14;5:12.28;1;5:42.25;1;2:55.38;1;3:33.81;1;;;17:23.72;;F
;3;Adelin Bjerknes;Eidsvoll SK;K13-14;7:16.58;2;8:26.52;2;;;DNF;DNF;;;DNF;;F
1st;26;Elias Grutle Hassellund;SK Rye sykkel;M13-14;3:36.40;1;3:44.61;3;2:00.06;3;1:55.66;2;;;11:16.73;+0:04.94;M
2nd;38;Martin Harlem Henriksen;SK Rye sykkel;M13-14;3:42.58;3;3:42.81;1;1:59.68;2;1:56.60;3;;;11:21.67;+0:09.26;M
3rd;32;Mikkel Skotte Lauritzen;SK Rye sykkel;M13-14;3:44.81;4;3:43.25;2;1:59.18;1;1:58.75;4;;;11:25.99;+0:09.74;M
4th;29;Storm Rødby Eilertsen;CK Nittedal;M13-14;3:40.82;2;3:49.65;4;2:04.75;4;1:51.25;1;;;11:26.47;+0:50.01;M
5th;21;Emil Hernes;SK Rye sykkel;M13-14;3:51.67;5;4:01.48;5;2:08.92;5;2:04.67;6;;;12:06.74;+1:07.31;M
6th;20;Martin Ødegård;Eidsvoll SK;M13-14;4:01.44;6;4:06.39;6;2:11.96;7;2:04.25;5;;;12:24.04;+1:30.65;M
7th;31;Max Hansen;Eidsvoll sykkelklubb;M13-14;4:14.57;7;4:14.75;7;2:11.37;6;2:06.69;7;;;12:47.38;+2:20.33;M
8th;25;Nicolai Øvensen;SK Rye sykkel;M13-14;4:42.23;15;4:34.15;8;2:12.73;8;2:07.95;8;;;13:37.06;+2:40.27;M
9th;36;Noa Valbjørk;Gresvik IF;M13-14;4:35.36;11;4:38.23;10;2:19.54;10;2:23.87;11;;;13:57.00;+2:49.51;M
10th;19;Mikkel August Myrvold;SK Rye sykkel;M13-14;4:32.83;10;4:42.78;11;2:23.60;12;2:27.03;12;;;14:06.24;+3:50.66;M
11th;37;Ludvik Lærum Bentzen;SK Rye sykkel;M13-14;5:08.55;17;5:13.04;13;2:26.58;14;2:19.22;9;;;15:07.39;+3:55.06;M
12th;35;Edvald Bang-Johansen;IF Frøy;M13-14;4:39.13;13;5:23.01;15;2:22.93;11;2:46.72;15;;;15:11.79;+3:55.10;M
13th;39;John Vaagland;IF Frøy;M13-14;4:41.37;14;4:55.56;12;2:41.67;16;2:53.23;17;;;15:11.83;+4:10.77;M
14th;23;Aksel Valen-Sendstad;CK Nittedal;M13-14;4:49.72;16;5:13.38;14;2:39.92;15;2:44.48;14;;;15:27.50;+4:20.80;M
15th;18;Trym Halvorsen;Eidsvoll SK;M13-14;5:10.95;18;5:26.04;16;2:26.40;13;2:34.14;13;;;15:37.53;+6:24.42;M
16th;28;Sverre Granviken;SK Rye sykkel;M13-14;6:36.33;19;5:29.50;17;2:44.37;17;2:50.95;16;;;17:41.15;+11:01.70;M
17th;34;Tobias Staff-Hansen;Eidsvoll SK;M13-14;4:25.49;8;13:11.75;19;2:19.02;9;2:22.17;10;;;22:18.43;;M
;22;Aron Nicholai Granholt;Eidsvoll SK;M13-14;4:36.27;12;4:36.06;9;;;DNF;DNF;;;DNF;;M
1st;4;Emily Skeie-Lebreux;CK Nittedal;K15-16;4:26.71;1;4:30.47;1;2:29.73;1;2:23.72;1;4:15.73;1;18:06.36;;F
1st;6;Tatiana Furnes;SK Rye sykkel;K17-18;4:08.85;1;4:38.60;1;2:27.22;1;2:18.15;1;4:00.50;2;17:33.32;;F
2nd;5;Nellie Aabech;Bærum OCK;K17-18;4:47.38;2;5:07.39;2;2:36.65;2;2:24.90;2;5:46.38;1;20:42.70;+3:09.38;F
1st;58;Bård Gujord Røisli;CK Nittedal;M15-16;3:39.54;2;3:40.44;1;2:05.62;1;1:59.70;3;3:25.98;1;14:51.28;;M
2nd;40;Sondre Oldervik Andersen;IF Frøy;M15-16;3:43.50;3;3:53.06;5;2:06.43;2;1:58.13;1;3:31.93;4;15:13.05;+0:21.77;M
3rd;61;Simen Føsker;Lørenskog CK;M15-16;3:34.61;1;3:49.30;2;2:11.67;7;2:04.52;8;3:34.50;6;15:14.60;+0:23.32;M
4th;56;Ola Ølnes Ødegårdstuen;SK Rye sykkel;M15-16;3:52.85;8;3:49.91;3;2:07.18;3;2:02.43;6;3:37.63;5;15:30.00;+0:38.72;M
5th;50;Mathias Skeie-Nilsen;CK Elverum;M15-16;3:51.13;7;3:59.40;7;2:15.91;13;2:00.30;4;3:36.34;2;15:43.08;+0:51.80;M
6th;46;Mats Laeskogen;n/a;M15-16;3:56.89;12;4:03.78;9;2:09.72;5;1:59.41;2;3:33.65;3;15:43.45;+0:52.17;M
7th;45;Markus Lia Reenskaug;IF Frøy;M15-16;4:06.38;15;3:50.70;4;2:11.05;6;2:01.67;5;3:34.13;10;15:43.93;+0:52.65;M
