Pos Klasse;bib;name;Club;Class;FE1;FE1 Pos;FE2;FE2 Pos;FE3;FE3 Pos;FE4;FE4 Pos;FE5;FE5 Pos;chiptime;diff;gender
1;35;Storm Rødby Eilertsen;Aron Sportsklubb;G13-14;00:01:11;2;00:01:07;2;00:05:08;1;00:01:18;2;00:02:46;2;00:11:30;;M
2;45;Mikkel Skotte Lauritzen;SK Rye sykkel;G13-14;00:01:10;1;00:01:05;1;00:05:22;2;00:01:16;1;00:02:44;1;00:11:37;+00:00:07;M
3;47;Emil Hernes;SK Rye sykkel;G13-14;00:01:11;2;00:01:09;4;00:05:29;3;00:01:23;3;00:02:53;3;00:12:05;+00:00:35;M
4;34;Olav Holmøy Sevaldson;SK Rye sykkel;G13-14;00:01:13;4;00:01:10;5;00:05:45;4;00:01:34;8;00:03:05;5;00:12:47;+00:01:17;M
5;86;Mio Alexander Grubbli;CK Nittedal;G13-14;00:01:14;6;00:01:13;7;00:05:53;5;00:01:31;6;00:03:06;6;00:12:57;+00:01:27;M
6;38;Gustav Strand Gulsrud;SK Rye sykkel;G13-14;00:01:22;14;00:01:13;7;00:06:00;6;00:01:24;4;00:03:00;4;00:12:59;+00:01:29;M
7;51;Magnus Thingelstad;Ringerike SK;G13-14;00:01:16;8;00:01:13;7;00:06:12;7;00:01:34;8;00:03:16;8;00:13:31;+00:02:01;M
8;54;Sixten Magnus Schybergson;SK Rye sykkel;G13-14;00:01:13;4;00:01:08;3;00:06:22;8;00:02:20;18;00:03:13;7;00:14:16;+00:02:46;M
9;49;Sverre Heen;Ringerike SK;G13-14;00:01:17;10;00:01:17;10;00:06:41;10;00:01:40;10;00:03:24;9;00:14:19;+00:02:49;M
10;42;Ludvik Lærum Bentzen;SK Rye sykkel;G13-14;00:01:16;8;00:01:18;11;00:06:38;9;00:01:33;7;00:03:34;11;00:14:19;+00:02:49;M
11;43;Nicolai Øvensen;SK Rye sykkel;G13-14;00:01:15;7;00:01:11;6;00:07:04;12;00:01:26;5;00:03:52;12;00:14:48;+00:03:18;M
12;50;Elias Johansen;Ringerike SK;G13-14;00:01:24;16;00:01:20;12;00:06:53;11;00:01:43;11;00:03:32;10;00:14:52;+00:03:22;M
13;39;John Vaagland;IF Frøy;G13-14;00:01:22;14;00:01:24;16;00:07:04;12;00:01:44;12;00:04:06;14;00:15:40;+00:04:10;M
14;55;Iver Bjella Unneberg;IF Frøy;G13-14;00:01:27;20;00:01:26;18;00:07:38;15;00:01:52;14;00:04:02;13;00:16:25;+00:04:55;M
15;40;Atle Schjøtt Bakken;Romeriksåsen SK;G13-14;00:01:25;18;00:01:33;20;00:07:38;15;00:01:59;17;00:04:24;15;00:16:59;+00:05:29;M
16;87;August Bøyesen Kvalheim;;G13-14;00:01:45;22;00:01:42;21;00:08:09;17;00:01:57;16;00:04:31;17;00:18:04;+00:06:34;M
17;52;Hugo Kolstad;CK Nittedal;G13-14;00:01:21;13;00:01:30;19;00:08:41;19;00:01:53;15;00:04:41;18;00:18:06;+00:06:36;M
18;41;Mikkel Johansen;IF Frøy;G13-14;00:01:43;21;00:01:53;22;00:08:21;18;00:02:28;19;00:04:24;15;00:18:49;+00:07:19;M
DNF;37;Aksel Valen-Sendstad;CK Nittedal;G13-14;00:01:26;19;00:01:23;14;00:07:10;14;00:01:48;13;;DNF;DNF;;M
DNF;56;Sondre Loeng Svendsen;SK Rye sykkel;G13-14;00:01:24;16;00:01:20;12;;DNF;;DNS;;DNS;DNF;;M
DNF;48;Nordal Røsjø;Ringerike SK;G13-14;00:01:19;12;00:01:23;14;;DNF;;DNS;;DNS;DNF;;M
DNF;36;Sindre Hynne-Øye;CK Nittedal;G13-14;00:01:17;10;00:01:24;16;;DNF;;DNS;;DNS;DNF;;M
1;57;Mille Krohn;Fossum IF Sykkel;J13-14;00:01:49;1;00:01:57;1;00:09:39;1;00:02:11;1;00:06:13;1;00:21:49;;F
1;59;Marius Lindøe Enger;Driv Idrettslag;G15-16;00:01:10;1;;;00:04:30;2;00:04:28;1;00:06:13;2;00:16:21;;M
2;68;Marius Nakken;Molde CK;G15-16;00:01:13;3;;;00:04:28;1;00:04:29;2;00:06:14;3;00:16:24;+00:00:03;M
3;58;David Risberg;Sandefjord SK;G15-16;00:01:13;3;;;00:04:38;3;00:04:44;4;00:06:16;5;00:16:51;+00:00:30;M
4;72;Bård Gujord Røisli;CK Nittedal;G15-16;00:01:14;8;;;00:05:00;8;00:04:39;3;00:06:11;1;00:17:04;+00:00:43;M
5;71;Simen Føsker;Lørenskog CK;G15-16;00:01:14;8;;;00:04:58;6;00:05:04;10;00:06:15;4;00:17:31;+00:01:10;M
6;63;Tallak Hustoft;CK Nittedal;G15-16;00:01:11;2;;;00:04:58;6;00:04:47;5;00:06:41;8;00:17:37;+00:01:16;M
7;73;Teodor Johnsen Alexander;IF Frøy;G15-16;00:01:13;3;;;00:04:54;5;00:04:52;7;00:06:39;6;00:17:38;+00:01:17;M
8;69;Markus Lia Reenskaug;IF Frøy;G15-16;00:01:13;3;;;00:05:11;9;00:04:48;6;00:06:44;9;00:17:56;+00:01:35;M
9;89;Jacob Vebostad;CK Nittedal;G15-16;00:01:18;14;;;00:05:17;10;00:04:52;7;00:06:39;6;00:18:06;+00:01:45;M
10;64;Sondre Oldervik Andersen;IF Frøy;G15-16;00:01:15;10;;;00:05:21;11;00:05:17;14;00:06:54;10;00:18:47;+00:02:26;M
11;88;Ludvig Bang-Johansen;Frøy;G15-16;00:01:17;13;;;00:05:21;11;00:05:09;11;00:07:08;12;00:16:21;;M
12;61;Mats Laeskogen;;G15-16;00:01:16;11;;;00:05:27;13;00:05:32;15;00:06:54;10;00:16:24;+00:00:03;M
13;70;William Johnsen;IF Frøy;G15-16;00:01:13;3;;;00:04:40;4;00:04:53;9;00:08:57;15;00:16:51;+00:00:30;M
14;65;Jasper Johannessen Faurby;CK Nittedal;G15-16;00:01:45;17;;;00:05:56;14;00:05:15;13;00:08:20;14;00:17:04;+00:00:43;M
15;67;Malte Bure;;G15-16;00:01:16;11;;;00:06:15;16;00:05:49;16;00:08:11;13;00:17:31;+00:01:10;M
16;62;Andreas Aaserød Staff;IF Frøy;G15-16;00:01:18;14;;;00:05:57;15;00:05:12;12;00:09:28;16;00:17:37;+00:01:16;M
17;66;Markus Dehli;Hadeland CK;G15-16;00:01:27;16;;;00:11:33;17;00:10:03;17;00:11:11;17;00:17:38;+00:01:17;M
1;75;Emily Skeie-Lebreux;CK Nittedal;J15-16;00:01:18;1;;;00:05:27;1;00:05:21;1;00:07:55;1;00:20:01;;F
1;80;Jo Gujord Røisli;CK Nittedal;G17-18;00:01:10;2;00:01:04;2;;;00:04:12;2;00:05:38;1;00:12:04;;M
2;78;Markus Skeie-Lebreux;CK Nittedal;G17-18;00:01:09;1;00:01:04;2;;;00:04:22;3;00:06:04;2;00:12:39;00:00:35;M
3;76;Eskil Hafskjold;SK Rye sykkel;G17-18;00:01:45;4;00:01:03;1;;;00:04:10;1;00:06:21;3;00:13:19;00:01:15;M
4;79;Marius Fenstad Skjærstad;SK Rye sykkel;G17-18;00:01:12;3;00:01:07;4;;;00:04:38;4;00:06:39;4;00:13:36;00:01:32;M
1;81;Tatiana Furnes;SK Rye sykkel;J17-18;00:01:22;1;00:01:23;1;00:06:10;1;00:06:08;1;00:08:18;1;00:23:21;;F
1;82;Sindre Martin Moe Sollund;Molde CK;Menn U21;00:01:11;1;00:01:06;1;00:04:59;1;00:04:35;1;00:06:35;1;00:18:26;;M
2;83;Ruben Damgaard Johnsrud;CK Nittedal;Menn U21;00:01:32;2;00:01:33;2;00:08:40;2;00:10:33;2;00:11:27;2;00:33:45;+00:15:19;M
