Pos Klasse;bib;name;Club;Class;FE1;FE1 Pos;FE2;FE2 Pos;FE3;FE3 Pos;FE4;FE4 Pos;FE5;FE5 Pos;chiptime;diff;gender;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;84;Storm Rødby Eilertsen;Aron Sportsklubb;Gutter 15-16;3:29.1;2;3:09.2;1;2:03.9;2;3:40.2;2;6:55.3;1;19:17.7;;M;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;109;David Risberg;Sandefjord SK;Gutter 15-16;03:29.9;3;3:18.2;3;2:04.0;3;3:42.0;3;7:14.4;2;19:48.5;;M;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;86;Bård Gujord Røisli;CK Nittedal;Gutter 15-16;03:24.4;1;3:13.9;2;2:07.1;4;3:36.4;1;7:34.4;4;19:56.2;;M;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;87;Marius Nakken;Molde CK;Gutter 15-16;03:37.7;6;3:22.6;5;2:10.0;5;3:44.4;5;7:26.8;3;20:21.5;;M;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;96;Sixten Magnus Schybergson;SK Rye sykkel;Gutter 15-16;03:43.4;8;3:24.9;6;2:01.9;1;3:46.4;8;8:04.2;9;21:00.8;;M;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;90;Tallak Hustoft;CK Nittedal;Gutter 15-16;03:48.0;11;3:30.9;10;2:24.1;14;3:42.3;4;7:36.0;5;21:01.3;;M;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;85;Jacob Vebostad;CK Nittedal;Gutter 15-16;03:38.9;7;3:28.8;7;2:14.0;6;3:47.6;9;8:12.6;11;21:21.9;;M;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;83;Sune Bjerke;SK Rye sykkel;Gutter 15-16;03:47.4;10;3:29.3;8;2:14.7;9;3:44.9;6;8:15.0;12;21:31.3;;M;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;106;Zack Wheatley;SK Rye sykkel;Gutter 15-16;03:37.2;5;3:49.3;17;2:14.2;7;3:59.2;11;7:51.7;6;21:31.6;;M;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;82;Torjus Sandvik-Are;SK Rye sykkel;Gutter 15-16;03:46.9;9;3:40.5;15;2:16.5;10;3:59.2;11;7:58.0;7;21:41.1;;M;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;107;Aadne Førsund Hjelmtvedt;Re SK;Gutter 15-16;04:10.0;18;3:30.8;9;2:14.2;7;3:52.3;10;8:03.7;8;21:51.0;;M;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;81;Matteo Dejong;Værfast Racing;Gutter 15-16;04:08.2;17;3:31.9;11;2:20.1;11;4:15.9;14;8:08.6;10;22:24.7;;M;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;111;Andreas Aaserød Staff;IF Frøy;Gutter 15-16;03:56.4;14;3:49.5;18;2:28.6;16;4:20.3;16;8:31.1;13;23:05.9;;M;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;95;Malte Andreas Torp Bure;Gresvik IF;Gutter 15-16;03:58.5;15;3:38.7;14;2:21.8;12;3:45.3;7;9:23.8;15;23:08.1;;M;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;112;Vetle Tyskerud Breivik;Hafrsfjord Sykkelklubb;Gutter 15-16;03:55.6;13;3:56.7;19;2:35.1;19;4:16.1;15;9:02.2;14;23:45.7;;M;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;99;Ola Vangen Jordet;Savalen SK;Gutter 15-16;04:19.5;20;3:38.3;13;2:33.8;17;4:08.8;13;9:57.3;18;24:37.7;;M;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
