Pos Klasse;bib;name;Club;Class;FE1;FE1 Pos;FE2;FE2 Pos;FE3;FE3 Pos;FE4;FE4 Pos;FE5;FE5 Pos;FE6;FE6 Pos;FE7;FE7 Pos;chiptime;diff;gender
1;;Eline Moen;Voss MTB Klubb / Voss Mtb-Klubb;K 24-39;12:22.1;36;3:27.4;35;2:45.4;34;2:15.5;31;3:14.4;32;5:16.0;30;1:03.7;27;30:24.5;8:34.6;F
2;;Karoline Dallager;NOR Cykleklubb;K 24-39;;DNS;;DNS;;DNS;;DNS;;DNS;;DNS;;DNS;0:00.0;DNS;F
1;;Marianne Sandberg;Harstad CK;K 40-49;12:03.0;34;4:07.6;39;3:04.8;39;2:28.0;40;3:27.9;37;5:31.1;32;1:14.3;39;31:56.7;10:06.8;F
2;;Siv Kristoffersen;Harstad CK;K 40-49;;DNS;;DNS;;DNS;;DNS;;DNS;;DNS;;DNS;0:00.0;DNS;F
1;;Sivert Jacob Uttakleiv;Harstad CK;M 17-23;9:55.1;12;3:04.1;20;2:09.1;15;1:48.1;15;2:48.8;22;4:13.6;22;0:48.1;5;24:46.9;2:57.0;M
1;;Tord Krüger Nese;Harstad CK / Consto BIL;M 24-39;8:44.9;1;2:41.4;1;1:49.3;1;1:43.1;9;2:28.8;2;3:35.1;4;0:47.3;3;21:49.9;0:00.0;M
2;;Martin Borge Olsen;Sande SpKl Sykkel / Aron Sportsklubb;M 24-39;9:16.2;3;2:41.5;2;1:52.9;2;1:37.2;2;2:28.4;1;3:28.9;1;0:48.9;8;22:14.0;0:24.1;M
3;;Kjetil Øygard;Lillehammer CK;M 24-39;9:22.9;5;2:52.0;9;2:02.2;6;1:42.7;8;2:37.9;7;3:42.6;6;0:52.9;14;23:13.2;1:23.3;M
4;;Emil Brandtzæg Hofsmarken;SK Rye sykkel;M 24-39;9:46.1;10;2:47.3;7;2:07.0;13;1:36.7;1;2:44.9;18;3:45.5;9;0:46.8;2;23:34.3;1:44.4;M
5;;Michael Lund;NOR Cykleklubb;M 24-39;10:04.1;16;2:45.3;6;2:04.3;8;1:40.9;5;2:39.4;9;3:37.1;5;0:51.9;12;23:43.0;1:53.1;M
6;;Harald Varhaug;Holum IL;M 24-39;9:38.9;9;3:08.2;22;2:03.0;7;1:50.8;16;2:42.9;15;4:00.1;15;0:55.6;21;24:19.5;2:29.6;M
7;;Edgars Korenkovs;VS;M 24-39;10:03.0;14;2:59.1;16;2:05.7;10;1:44.3;12;2:41.5;14;3:54.5;11;0:53.8;16;24:21.9;2:32.0;M
8;;Fredrik Leonhardsen;Harstad CK / HCK;M 24-39;10:06.8;18;2:59.1;16;2:06.9;12;1:54.4;18;2:47.0;20;3:57.0;12;0:49.9;9;24:41.1;2:51.2;M
