Pos Klasse;bib;name;Club;Class;FE1;FE1 Pos;FE2;FE2 Pos;FE3;FE3 Pos;FE4;FE4 Pos;FE5;FE5 Pos;FE6;FE6 Pos;FE7;FE7 Pos;FE8;FE8 Pos;chiptime;diff;gender
1st;93;Hugo Gabart-Gill;Hafrsfjord SK;Gutter 13-14 år;1:24.07;2;5:20.84;1;1:19.02;1;2:52.10;2;;;;;;;;;10:56.03;;M
2nd;90;Sigurd Stensby;Eidsvoll SK;Gutter 13-14 år;1:26.23;6;5:37.10;2;1:21.23;3;2:54.75;4;;;;;;;;;11:19.31;+0:23.28;M
3rd;97;Lars Halset Torvestad;Hafrsfjord SK;Gutter 13-14 år;1:25.35;4;5:37.13;3;1:22.20;4;2:58.07;5;;;;;;;;;11:22.75;+0:26.72;M
4th;85;Gustav Hoddell;Hafrsfjord CK;Gutter 13-14 år;1:21.23;1;5:44.67;4;1:25.60;7;2:54.13;3;;;;;;;;;11:25.63;+0:29.60;M
5th;95;Aksel Meek Bolstad;IF Frøy;Gutter 13-14 år;1:24.58;3;5:54.10;5;1:23.05;5;2:51.91;1;;;;;;;;;11:33.64;+0:37.61;M
6th;81;Jonas Julton Stark;IF Frøy;Gutter 13-14 år;1:25.76;5;5:58.62;7;1:24.25;6;3:08.30;7;;;;;;;;;11:56.93;+1:00.90;M
7th;96;Felix Andresen;IF Frøy;Gutter 13-14 år;1:34.87;13;5:56.43;6;1:20.80;2;3:13.22;8;;;;;;;;;12:05.32;+1:09.29;M
8th;91;Kristoffer Solberg;IF Frøy;Gutter 13-14 år;1:33.18;10;6:10.10;10;1:30.40;8;3:18.68;9;;;;;;;;;12:32.36;+1:36.33;M
9th;88;Ola Ruud Moen;IF Frøy;Gutter 13-14 år;1:37.28;15;6:06.80;9;1:43.45;15;3:07.60;6;;;;;;;;;12:35.13;+1:39.10;M
10th;86;Thomas Wiel Bjørkøy;CK Nittedal;Gutter 13-14 år;1:36.45;14;6:02.03;8;1:33.32;13;3:40.68;16;;;;;;;;;12:52.48;+1:56.45;M
11th;94;Jonas Songe-Møller;IF Frøy;Gutter 13-14 år;1:26.62;7;6:26.55;11;1:36.20;14;3:27.75;11;;;;;;;;;12:57.12;+2:01.09;M
12th;98;Alexander Syrstad;Kongsberg IF Sykkel;Gutter 13-14 år;1:34.81;12;6:54.53;14;1:30.52;9;3:27.74;10;;;;;;;;;13:27.60;+2:31.57;M
13th;135;Ludvig Høyland;Re SK;Gutter 13-14 år;1:31.68;8;6:54.08;13;1:32.30;11;3:39.22;15;;;;;;;;;13:37.28;+2:41.25;M
14th;83;Henrik Sandbakken;CK Nittedal;Gutter 13-14 år;2:21.35;22;6:44.71;12;1:32.44;12;3:29.65;12;;;;;;;;;14:08.15;+3:12.12;M
15th;92;Kristian Sandbakken;CK Nittedal;Gutter 13-14 år;1:38.93;17;7:17.23;16;1:44.66;17;3:37.29;14;;;;;;;;;14:18.11;+3:22.08;M
16th;82;Theodor Tranby;Modum CK;Gutter 13-14 år;1:33.00;9;7:49.53;19;1:31.70;10;3:36.38;13;;;;;;;;;14:30.61;+3:34.58;M
17th;84;Jakob Steira Bjerkli;CK Nittedal;Gutter 13-14 år;1:37.98;16;7:33.50;18;1:43.66;16;3:41.95;17;;;;;;;;;14:37.09;+3:41.06;M
