Pos Klasse;bib;name;Club;Class;FE1;FE1 Pos;FE2;FE2 Pos;FE3;FE3 Pos;FE4;FE4 Pos;FE5;FE5 Pos;chiptime;diff;gender
1;68;Gustav Hoddell;Hafrsfjord SK;Gutter 13-14;3:51.0;4;3:52.2;2;;;1:50.1;1;7:28.9;1;17:02.2;;M
2;67;Hugo Gabart-Gill;Hafrsfjord SK;Gutter 13-14;3:40.5;2;3:50.5;1;;;2:01.2;2;7:54.3;2;17:26.5;;M
3;70;Lars Halset Torvestad;Hafrsfjord SK;Gutter 13-14;4:07.5;7;3:58.2;4;;;2:08.8;3;8:08.1;3;18:22.6;;M
4;66;Felix Andresen;IF Frøy;Gutter 13-14;3:36.2;1;3:53.6;3;;;2:13.4;4;8:44.7;4;18:27.9;;M
5;64;Jonas Osnes;Oslo;Gutter 13-14;3:50.1;3;3:58.3;5;;;2:20.0;6;9:01.0;7;19:09.4;;M
6;62;Thomas Wiel Bjørkøy;CK Nittedal;Gutter 13-14;3:51.5;5;4:12.0;6;;;2:21.9;7;8:52.5;5;19:17.9;;M
7;61;Aksel Røyrvik Lunde;Molde CK;Gutter 13-14;4:27.6;9;4:12.8;7;;;2:14.9;5;8:53.8;6;19:49.1;;M
8;72;Edward Olsen;Harstad CK;Gutter 13-14;4:01.8;6;4:25.2;9;;;2:44.7;8;9:26.6;8;20:38.3;;M
9;69;Ludvig Høyland;Re SK;Gutter 13-14;4:13.4;8;4:16.9;8;;;2:59.2;9;9:40.9;9;21:10.4;;M
10;71;Tobias Tårneby Løvdal;Gresvik IF;Gutter 13-14;11:06.2;12;4:26.2;10;;;3:09.7;10;10:53.4;10;29:35.5;;M
12;65;Herman Edvardsen Prestmarken;Ringerike SK;Gutter 13-14;5:23.2;11;5:20.6;12;;;6:15.4;12;15:07.1;12;32:06.3;;M
1;78;Storm Rødby Eilertsen;Aron Sportsklubb;Gutter 15-16;3:24.7;5;3:27.4;1;6:25.7;1;1:34.4;1;6:45.1;1;21:37.3;;M
2;93;Emil Hernes;SK Rye sykkel;Gutter 15-16;3:24.3;4;3:34.5;5;6:37.9;3;1:42.6;5;6:49.6;2;22:08.9;;M
3;88;Sixten Magnus Schybergson;SK Rye sykkel;Gutter 15-16;3:24.1;3;3:31.4;3;6:37.4;2;1:42.3;4;6:59.1;4;22:14.3;;M
4;90;Ingvald Olsen;Harstad CK;Gutter 15-16;3:23.0;2;3:34.9;6;6:48.6;7;1:38.2;2;7:01.1;5;22:25.8;;M
5;85;Simen Østraat Hauken;Hafrsfjord SK;Gutter 15-16;3:37.7;9;3:31.1;2;6:44.6;5;1:42.6;5;6:52.9;3;22:28.9;;M
